,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
0,1,11:41.0,,P. Gasol makes 2-pt hook shot from 4 ft,0,2
1,1,11:20.0,W. Matthews misses 3-pt jump shot from 24 ft,,0,2
2,1,11:18.0,,Defensive rebound by P. Gasol,0,2
3,1,11:07.0,,D. Rose makes 2-pt layup from 1 ft,0,4
4,1,10:57.0,Z. Pachulia makes 2-pt jump shot from 17 ft (assist by D. Williams),,2,4
5,1,10:33.0,,T. Snell misses 3-pt jump shot from 23 ft,2,4
6,1,10:32.0,Defensive rebound by D. Williams,,2,4
7,1,10:22.0,D. Williams misses 2-pt jump shot from 7 ft (block by P. Gasol),,2,4
8,1,10:22.0,Offensive rebound by Z. Pachulia,,2,4
9,1,10:22.0,Shooting foul by T. Gibson (drawn by Z. Pachulia),,2,4
10,1,10:22.0,Z. Pachulia misses free throw 1 of 2,,2,4
11,1,10:22.0,Offensive rebound by Team,,2,4
12,1,10:22.0,Z. Pachulia makes free throw 2 of 2,,3,4
13,1,10:01.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Butler),3,6
14,1,9:38.0,C. Parsons misses 2-pt jump shot from 20 ft,,3,6
15,1,9:37.0,,Defensive rebound by T. Gibson,3,6
16,1,9:20.0,,Shooting foul by D. Nowitzki (drawn by T. Gibson),3,6
17,1,9:20.0,,T. Gibson misses free throw 1 of 2,3,6
18,1,9:20.0,,Offensive rebound by Team,3,6
19,1,9:20.0,,T. Gibson makes free throw 2 of 2,3,7
20,1,9:05.0,Turnover by D. Nowitzki (bad pass; steal by D. Rose),,3,7
21,1,9:00.0,,T. Gibson makes 2-pt layup at rim (assist by D. Rose),3,9
22,1,8:34.0,W. Matthews misses 2-pt jump shot from 15 ft,,3,9
23,1,8:33.0,,Defensive rebound by T. Snell,3,9
24,1,8:23.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by J. Butler),3,11
25,1,8:22.0,Dallas full timeout,,3,11
26,1,8:02.0,D. Nowitzki misses 2-pt jump shot from 8 ft,,3,11
27,1,8:01.0,Offensive rebound by Team,,3,11
28,1,7:36.0,W. Matthews misses 3-pt jump shot from 24 ft,,3,11
29,1,7:35.0,,Defensive rebound by T. Snell,3,11
30,1,7:20.0,,D. Rose misses 2-pt layup from 2 ft,3,11
31,1,7:19.0,Defensive rebound by Z. Pachulia,,3,11
32,1,7:07.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,3,11
33,1,7:06.0,,Defensive rebound by T. Gibson,3,11
34,1,6:51.0,,T. Gibson makes 2-pt layup from 3 ft,3,13
35,1,6:43.0,Personal foul by D. Rose (drawn by W. Matthews),,3,13
36,1,6:34.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,3,13
37,1,6:34.0,,Defensive rebound by Team,3,13
38,1,6:23.0,,T. Gibson misses 2-pt jump shot from 13 ft,3,13
39,1,6:22.0,Defensive rebound by Z. Pachulia,,3,13
40,1,6:15.0,Turnover by D. Williams (bad pass; steal by D. Rose),,3,13
41,1,6:10.0,,D. Rose misses 2-pt layup from 1 ft,3,13
42,1,6:09.0,Defensive rebound by C. Parsons,,3,13
43,1,6:02.0,C. Parsons misses 2-pt layup from 2 ft (block by P. Gasol),,3,13
44,1,6:01.0,,Defensive rebound by D. Rose,3,13
45,1,5:52.0,,T. Gibson misses 2-pt dunk at rim,3,13
46,1,5:50.0,Defensive rebound by C. Parsons,,3,13
47,1,5:44.0,C. Parsons misses 3-pt jump shot from 24 ft,,3,13
48,1,5:43.0,,Defensive rebound by T. Snell,3,13
49,1,5:25.0,,T. Snell misses 3-pt jump shot from 22 ft,3,13
50,1,5:25.0,Defensive rebound by Z. Pachulia,,3,13
51,1,5:25.0,Personal foul by P. Gasol (drawn by Z. Pachulia),,3,13
52,1,5:25.0,,K. Hinrich enters the game for T. Gibson,3,13
53,1,5:25.0,,N. Mirotić enters the game for D. Rose,3,13
54,1,5:25.0,D. Powell enters the game for D. Nowitzki,,3,13
55,1,5:25.0,D. Harris enters the game for C. Parsons,,3,13
