,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:46.0,,Turnover by D. Dedmon (lost ball; steal by T. Robinson),0,0
1,1,11:31.0,T. Robinson makes 2-pt layup from 2 ft (assist by B. Lopez),,2,0
2,1,11:19.0,,V. Oladipo misses 2-pt jump shot from 18 ft,2,0
3,1,11:18.0,Defensive rebound by T. Robinson,,2,0
4,1,11:00.0,B. Lopez misses 2-pt jump shot from 7 ft,,2,0
5,1,10:59.0,Offensive rebound by B. Lopez,,2,0
6,1,10:58.0,B. Lopez makes 2-pt layup from 2 ft,,4,0
7,1,10:45.0,,A. Gordon makes 2-pt layup from 1 ft (assist by V. Oladipo),4,2
8,1,10:31.0,S. Larkin makes 2-pt jump shot from 10 ft (assist by T. Robinson),,6,2
9,1,10:19.0,,Turnover by E. Fournier (bad pass; steal by S. Larkin),6,2
10,1,10:15.0,S. Larkin makes 2-pt layup from 2 ft,,8,2
11,1,10:00.0,,E. Fournier makes 2-pt layup from 2 ft (assist by E. Payton),8,4
12,1,9:43.0,Turnover by B. Lopez (bad pass; steal by E. Payton),,8,4
13,1,9:37.0,,E. Fournier misses 3-pt jump shot from 24 ft,8,4
14,1,9:36.0,,Offensive rebound by D. Dedmon,8,4
15,1,9:30.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Fournier),8,7
16,1,9:12.0,T. Robinson makes 2-pt layup from 2 ft (assist by S. Karasev),,10,7
17,1,8:55.0,,V. Oladipo misses 2-pt jump shot from 19 ft,10,7
18,1,8:53.0,Defensive rebound by T. Robinson,,10,7
19,1,8:30.0,B. Bogdanović makes 2-pt jump shot from 12 ft,,12,7
20,1,8:20.0,,Turnover by E. Payton (bad pass),12,7
21,1,7:57.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,12,7
22,1,7:55.0,,Defensive rebound by V. Oladipo,12,7
23,1,7:52.0,,V. Oladipo makes 2-pt jump shot from 15 ft,12,9
24,1,7:39.0,Shooting foul by D. Dedmon (drawn by S. Larkin),,12,9
25,1,7:39.0,S. Larkin makes free throw 1 of 2,,13,9
26,1,7:39.0,S. Larkin makes free throw 2 of 2,,14,9
27,1,7:22.0,,D. Dedmon makes 2-pt layup from 2 ft (assist by E. Payton),14,11
28,1,7:08.0,B. Lopez misses 2-pt jump shot from 13 ft,,14,11
29,1,7:07.0,,Defensive rebound by V. Oladipo,14,11
30,1,6:56.0,,E. Payton misses 2-pt jump shot from 11 ft,14,11
31,1,6:55.0,Defensive rebound by T. Robinson,,14,11
32,1,6:44.0,B. Bogdanović misses 2-pt jump shot from 7 ft,,14,11
33,1,6:43.0,,Defensive rebound by A. Gordon,14,11
34,1,6:31.0,,E. Fournier makes 2-pt layup from 2 ft (assist by V. Oladipo),14,13
35,1,6:07.0,B. Lopez misses 2-pt layup from 2 ft,,14,13
36,1,6:07.0,,Defensive rebound by E. Payton,14,13
37,1,6:07.0,,Personal foul by B. Lopez,14,13
38,1,6:07.0,,Orlando full timeout,14,13
39,1,5:54.0,,D. Dedmon misses 2-pt layup from 2 ft (block by T. Robinson),14,13
40,1,5:51.0,Defensive rebound by B. Lopez,,14,13
41,1,5:44.0,Shooting foul by E. Payton (drawn by B. Bogdanović),,14,13
42,1,5:44.0,B. Bogdanović makes free throw 1 of 2,,15,13
43,1,5:44.0,B. Bogdanović makes free throw 2 of 2,,16,13
