,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),,3,0
1,1,11:28.0,,Personal foul by K. Towns (drawn by D. Jordan),3,0
2,1,11:16.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by J. Redick),3,2
3,1,11:03.0,K. Towns misses 3-pt jump shot from 25 ft,,3,2
4,1,11:02.0,Offensive rebound by A. Wiggins,,3,2
5,1,10:53.0,G. Dieng makes 2-pt hook shot from 6 ft (assist by A. Wiggins),,5,2
6,1,10:39.0,,P. Pierce makes 3-pt jump shot from 25 ft (assist by C. Paul),5,5
7,1,10:17.0,Personal foul by P. Pierce (drawn by G. Dieng),,5,5
8,1,10:11.0,A. Wiggins misses 3-pt jump shot from 27 ft,,5,5
9,1,10:10.0,Offensive rebound by T. Prince,,5,5
10,1,10:03.0,K. Towns misses 2-pt hook shot from 4 ft,,5,5
11,1,10:01.0,,Defensive rebound by P. Pierce,5,5
12,1,9:57.0,,Shooting foul by R. Rubio (drawn by D. Jordan),5,5
13,1,9:57.0,,D. Jordan misses free throw 1 of 2,5,5
14,1,9:57.0,,Offensive rebound by Team,5,5
15,1,9:57.0,,D. Jordan makes free throw 2 of 2,5,6
16,1,9:35.0,T. Prince misses 2-pt hook shot from 4 ft,,5,6
17,1,9:32.0,Offensive rebound by T. Prince,,5,6
18,1,9:32.0,T. Prince makes 2-pt layup at rim,,7,6
19,1,9:18.0,,P. Pierce misses 3-pt jump shot from 25 ft,7,6
20,1,9:17.0,Defensive rebound by G. Dieng,,7,6
21,1,9:07.0,A. Wiggins misses 2-pt jump shot from 17 ft,,7,6
22,1,9:03.0,,Defensive rebound by C. Paul,7,6
23,1,8:56.0,,C. Paul misses 3-pt jump shot from 24 ft,7,6
24,1,8:55.0,,Offensive rebound by L. Mbah a Moute,7,6
25,1,8:47.0,,J. Redick misses 3-pt jump shot from 25 ft,7,6
26,1,8:46.0,Defensive rebound by T. Prince,,7,6
27,1,8:38.0,R. Rubio misses 2-pt layup from 3 ft (block by D. Jordan),,7,6
28,1,8:36.0,,Defensive rebound by P. Pierce,7,6
29,1,8:25.0,,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by P. Pierce),7,9
30,1,8:04.0,R. Rubio misses 3-pt jump shot from 25 ft,,7,9
31,1,8:03.0,,Defensive rebound by D. Jordan,7,9
32,1,7:42.0,,D. Jordan makes 2-pt dunk at rim (assist by P. Pierce),7,11
33,1,7:29.0,K. Towns misses 3-pt jump shot from 25 ft,,7,11
34,1,7:28.0,,Defensive rebound by D. Jordan,7,11
35,1,7:24.0,,Shooting foul by K. Towns (drawn by L. Mbah a Moute),7,11
36,1,7:24.0,,L. Mbah a Moute misses free throw 1 of 2,7,11
37,1,7:24.0,,Offensive rebound by Team,7,11
38,1,7:24.0,D. Rudež enters the game for K. Towns,,7,11
39,1,7:24.0,,L. Mbah a Moute misses free throw 2 of 2,7,11
40,1,7:22.0,Defensive rebound by G. Dieng,,7,11
41,1,7:20.0,Minnesota full timeout,,7,11
42,1,7:11.0,A. Wiggins makes 2-pt layup from 2 ft,,9,11
43,1,6:54.0,,Turnover by J. Redick (bad pass; steal by R. Rubio),9,11
44,1,6:42.0,R. Rubio misses 2-pt jump shot from 16 ft,,9,11
45,1,6:40.0,,Defensive rebound by D. Jordan,9,11
46,1,6:24.0,,J. Redick misses 2-pt layup from 1 ft,9,11
47,1,6:22.0,Defensive rebound by G. Dieng,,9,11
48,1,6:13.0,R. Rubio makes 2-pt layup from 1 ft,,11,11
49,1,5:52.0,,P. Pierce misses 2-pt jump shot from 17 ft,11,11
50,1,5:48.0,,Offensive rebound by D. Jordan,11,11
51,1,5:48.0,,D. Jordan makes 2-pt layup from 2 ft,11,13
52,1,5:25.0,T. Prince makes 2-pt jump shot from 13 ft,,13,13
53,1,5:18.0,,Shooting foul by R. Rubio (drawn by C. Paul),13,13
54,1,5:18.0,,C. Paul makes free throw 1 of 2,13,14
