,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ATLANTA_ACTION,HOUSTON_SCORE,ATLANTA_SCORE
0,1,11:48.0,Turnover by D. Howard (bad pass; steal by K. Bazemore),,0,0
1,1,11:24.0,,A. Horford misses 3-pt jump shot from 23 ft,0,0
2,1,11:23.0,Defensive rebound by J. Harden,,0,0
3,1,11:19.0,T. Ariza misses 2-pt layup from 1 ft (block by A. Horford),,0,0
4,1,11:17.0,,Defensive rebound by P. Millsap,0,0
5,1,11:04.0,,P. Millsap misses 2-pt jump shot from 16 ft,0,0
6,1,10:59.0,Defensive rebound by D. Howard,,0,0
7,1,10:58.0,Shooting foul by P. Millsap (drawn by D. Motiejūnas),,0,0
8,1,10:58.0,D. Motiejūnas makes free throw 1 of 2,,1,0
9,1,10:58.0,D. Motiejūnas makes free throw 2 of 2,,2,0
10,1,10:39.0,,P. Millsap makes 2-pt dunk at rim (assist by K. Bazemore),2,2
11,1,10:22.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),,5,2
12,1,10:10.0,,A. Horford misses 2-pt jump shot from 5 ft,5,2
13,1,10:08.0,,Offensive rebound by A. Horford,5,2
14,1,10:01.0,,K. Bazemore misses 3-pt jump shot from 25 ft,5,2
15,1,9:59.0,Defensive rebound by D. Motiejūnas,,5,2
16,1,9:52.0,J. Harden misses 2-pt jump shot from 9 ft,,5,2
17,1,9:51.0,Offensive rebound by J. Harden,,5,2
18,1,9:38.0,D. Motiejūnas makes 2-pt hook shot from 8 ft (assist by P. Beverley),,7,2
19,1,9:20.0,,A. Horford makes 2-pt layup at rim (assist by J. Teague),7,4
20,1,9:09.0,P. Beverley misses 2-pt layup from 2 ft (block by J. Teague),,7,4
21,1,9:07.0,Offensive rebound by P. Beverley,,7,4
22,1,9:06.0,T. Ariza misses 3-pt jump shot from 23 ft,,7,4
23,1,9:06.0,Offensive rebound by D. Motiejūnas,,7,4
24,1,9:06.0,Shooting foul by A. Horford (drawn by D. Motiejūnas),,7,4
25,1,9:06.0,D. Motiejūnas misses free throw 1 of 2,,7,4
26,1,9:06.0,Offensive rebound by Team,,7,4
27,1,9:06.0,D. Motiejūnas makes free throw 2 of 2,,8,4
28,1,8:53.0,,P. Millsap misses 3-pt jump shot from 23 ft,8,4
29,1,8:52.0,Defensive rebound by D. Howard,,8,4
30,1,8:39.0,P. Beverley makes 2-pt layup from 1 ft,,10,4
31,1,8:30.0,,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Teague),10,7
32,1,8:07.0,Turnover by D. Howard (3 sec),,10,7
33,1,7:44.0,,P. Millsap makes 2-pt layup at rim,10,9
34,1,7:29.0,J. Harden misses 2-pt jump shot from 16 ft,,10,9
35,1,7:28.0,,Defensive rebound by A. Horford,10,9
36,1,7:19.0,,A. Horford makes 2-pt hook shot from 2 ft (assist by K. Korver),10,11
37,1,6:52.0,T. Ariza misses 3-pt jump shot from 24 ft,,10,11
38,1,6:50.0,,Defensive rebound by K. Bazemore,10,11
39,1,6:47.0,,K. Bazemore makes 2-pt layup at rim,10,13
40,1,6:47.0,Houston full timeout,,10,13
41,1,6:30.0,J. Harden misses 2-pt jump shot from 15 ft,,10,13
42,1,6:28.0,Offensive rebound by D. Motiejūnas,,10,13
43,1,6:28.0,D. Motiejūnas misses 2-pt layup at rim,,10,13
44,1,6:27.0,Offensive rebound by D. Howard,,10,13
45,1,6:27.0,Shooting foul by K. Korver (drawn by D. Howard),,10,13
46,1,6:27.0,D. Howard misses free throw 1 of 2,,10,13
47,1,6:27.0,Offensive rebound by Team,,10,13
48,1,6:27.0,D. Howard misses free throw 2 of 2,,10,13
49,1,6:26.0,,Defensive rebound by A. Horford,10,13
50,1,6:03.0,,J. Teague makes 2-pt layup from 1 ft,10,15
51,1,5:50.0,P. Beverley misses 3-pt jump shot from 23 ft,,10,15
52,1,5:49.0,,Defensive rebound by K. Bazemore,10,15
53,1,5:43.0,,J. Teague misses 3-pt jump shot from 22 ft,10,15
54,1,5:41.0,Defensive rebound by P. Beverley,,10,15
55,1,5:34.0,D. Motiejūnas misses 3-pt jump shot from 24 ft,,10,15
56,1,5:32.0,,Defensive rebound by J. Teague,10,15
57,1,5:21.0,,K. Bazemore misses 3-pt jump shot from 23 ft,10,15
58,1,5:20.0,Defensive rebound by D. Howard,,10,15
59,1,4:56.0,D. Howard misses 2-pt jump shot from 4 ft,,10,15
60,1,4:53.0,,Defensive rebound by P. Millsap,10,15
61,1,4:39.0,,K. Humphries enters the game for A. Horford,10,15
62,1,4:39.0,,T. Sefolosha enters the game for K. Bazemore,10,15
63,1,4:39.0,M. Beasley enters the game for D. Motiejūnas,,10,15
64,1,4:39.0,J. Terry enters the game for P. Beverley,,10,15
65,1,4:37.0,,K. Korver misses 2-pt jump shot from 19 ft,10,15
66,1,4:35.0,Defensive rebound by M. Beasley,,10,15
67,1,4:28.0,Shooting foul by K. Humphries (drawn by D. Howard),,10,15
68,1,4:28.0,D. Howard makes 2-pt hook shot from 3 ft (assist by J. Terry),,12,15
69,1,4:28.0,,T. Hardaway enters the game for K. Korver,12,15
