,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:41.0,N. Hilário makes 2-pt hook shot from 11 ft,,2,0
1,1,11:29.0,,Turnover by J. Butler (lost ball; steal by N. Hilário),2,0
2,1,11:15.0,N. Hilário misses 2-pt jump shot from 19 ft,,2,0
3,1,11:14.0,,Defensive rebound by P. Gasol,2,0
4,1,11:05.0,,Turnover by P. Gasol (bad pass),2,0
5,1,10:50.0,J. Wall misses 2-pt jump shot from 19 ft,,2,0
6,1,10:49.0,,Defensive rebound by N. Mirotić,2,0
7,1,10:42.0,,Personal foul by J. Dudley (drawn by T. Gibson),2,0
8,1,10:27.0,,N. Mirotić misses 2-pt jump shot from 9 ft,2,0
9,1,10:27.0,Defensive rebound by Team,,2,0
10,1,10:21.0,O. Porter makes 2-pt dunk at rim (assist by N. Hilário),,4,0
11,1,10:11.0,,D. Rose makes 2-pt layup from 1 ft,4,2
12,1,9:52.0,G. Temple makes 2-pt jump shot from 21 ft (assist by J. Wall),,6,2
13,1,9:32.0,,J. Butler misses 2-pt jump shot from 10 ft (block by G. Temple),6,2
14,1,9:30.0,Defensive rebound by J. Wall,,6,2
15,1,9:28.0,G. Temple makes 2-pt layup from 1 ft (assist by J. Wall),,8,2
16,1,9:15.0,,P. Gasol misses 2-pt jump shot from 5 ft,8,2
17,1,9:15.0,Defensive rebound by Team,,8,2
18,1,9:15.0,,Loose ball foul by T. Gibson (drawn by J. Dudley),8,2
19,1,8:55.0,N. Hilário misses 2-pt jump shot from 17 ft,,8,2
20,1,8:54.0,,Defensive rebound by N. Mirotić,8,2
21,1,8:33.0,,T. Gibson misses 2-pt jump shot from 12 ft,8,2
22,1,8:32.0,Defensive rebound by J. Wall,,8,2
23,1,8:27.0,J. Wall misses 2-pt jump shot from 20 ft,,8,2
24,1,8:26.0,,Defensive rebound by T. Gibson,8,2
25,1,8:17.0,,Shooting foul by G. Temple (drawn by D. Rose),8,2
26,1,8:17.0,,D. Rose makes free throw 1 of 2,8,3
27,1,8:17.0,,D. Rose makes free throw 2 of 2,8,4
28,1,8:08.0,N. Hilário makes 2-pt layup at rim (assist by J. Wall),,10,4
29,1,7:50.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Butler),10,7
30,1,7:41.0,J. Wall misses 2-pt jump shot from 10 ft,,10,7
31,1,7:40.0,,Defensive rebound by P. Gasol,10,7
32,1,7:32.0,,T. Gibson makes 2-pt dunk at rim (assist by J. Butler),10,9
33,1,7:18.0,D. Gooden enters the game for N. Hilário,,10,9
34,1,7:03.0,O. Porter misses 3-pt jump shot from 23 ft,,10,9
35,1,7:01.0,Offensive rebound by D. Gooden,,10,9
36,1,6:57.0,J. Dudley makes 2-pt jump shot from 22 ft (assist by D. Gooden),,12,9
37,1,6:48.0,,Turnover by D. Rose (lost ball; steal by J. Wall),12,9
38,1,6:46.0,J. Wall makes 2-pt dunk at rim (assist by O. Porter),,14,9
39,1,6:46.0,,Chicago full timeout,14,9
40,1,6:36.0,,D. Rose misses 2-pt jump shot from 20 ft,14,9
41,1,6:35.0,,Offensive rebound by Team,14,9
42,1,6:32.0,,N. Mirotić misses 3-pt jump shot from 22 ft,14,9
43,1,6:31.0,Defensive rebound by D. Gooden,,14,9
44,1,6:16.0,G. Temple makes 3-pt jump shot from 22 ft (assist by O. Porter),,17,9
45,1,6:04.0,,P. Gasol makes 2-pt layup from 3 ft (assist by J. Butler),17,11
46,1,5:51.0,J. Wall misses 2-pt jump shot from 9 ft (block by D. Rose),,17,11
47,1,5:50.0,,Defensive rebound by P. Gasol,17,11
48,1,5:39.0,,J. Butler misses 2-pt jump shot from 19 ft,17,11
49,1,5:38.0,,Offensive rebound by J. Butler,17,11
50,1,5:36.0,,P. Gasol makes 2-pt layup from 2 ft (assist by J. Butler),17,13
51,1,5:30.0,,Offensive charge foul by G. Temple (drawn by D. Rose),17,13
52,1,5:30.0,Turnover by G. Temple (offensive foul),,17,13
53,1,5:30.0,K. Oubre enters the game for G. Temple,,17,13
54,1,5:14.0,,Personal foul by D. Gooden (drawn by P. Gasol),17,13
55,1,5:03.0,,Turnover by T. Gibson (bad pass; steal by J. Wall),17,13
56,1,4:52.0,K. Oubre misses 3-pt jump shot from 23 ft,,17,13
57,1,4:50.0,Offensive rebound by J. Dudley,,17,13
58,1,4:44.0,O. Porter misses 3-pt jump shot from 25 ft,,17,13
59,1,4:43.0,,Defensive rebound by J. Butler,17,13
60,1,4:33.0,,Shooting foul by J. Dudley (drawn by D. Rose),17,13
61,1,4:33.0,,D. Rose makes free throw 1 of 2,17,14
62,1,4:33.0,,T. Snell enters the game for N. Mirotić,17,14
63,1,4:33.0,D. Blair enters the game for J. Dudley,,17,14
64,1,4:33.0,,J. Noah enters the game for T. Gibson,17,14
65,1,4:33.0,,D. Rose makes free throw 2 of 2,17,15
66,1,4:19.0,J. Wall makes 3-pt jump shot from 24 ft (assist by D. Blair),,20,15
67,1,4:05.0,,T. Snell misses 3-pt jump shot from 23 ft,20,15
68,1,4:05.0,Defensive rebound by Team,,20,15
69,1,3:53.0,J. Wall makes 2-pt layup from 1 ft,,22,15
70,1,3:53.0,Shooting foul by T. Snell (drawn by J. Wall),,22,15
71,1,3:53.0,J. Wall makes free throw 1 of 1,,23,15
72,1,3:29.0,,Turnover by Team (shot clock),23,15
73,1,3:13.0,D. Gooden misses 3-pt jump shot from 25 ft,,23,15
74,1,3:12.0,,Defensive rebound by J. Noah,23,15
75,1,3:01.0,,T. Snell makes 2-pt dunk at rim (assist by J. Noah),23,17
76,1,2:48.0,D. Blair misses 2-pt jump shot from 7 ft,,23,17
77,1,2:47.0,,Defensive rebound by T. Snell,23,17
78,1,2:36.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),23,19
79,1,2:23.0,J. Wall misses 2-pt jump shot from 21 ft,,23,19
80,1,2:22.0,,Defensive rebound by J. Noah,23,19
81,1,2:06.0,,P. Gasol misses 2-pt jump shot from 4 ft (block by K. Oubre),23,19
82,1,2:03.0,Defensive rebound by D. Gooden,,23,19
83,1,1:57.0,D. Blair makes 2-pt layup from 1 ft (assist by J. Wall),,25,19
84,1,1:43.0,Washington full timeout,,25,19
85,1,1:43.0,,A. Brooks enters the game for D. Rose,25,19
86,1,1:43.0,R. Sessions enters the game for O. Porter,,25,19
87,1,1:43.0,G. Neal enters the game for J. Wall,,25,19
88,1,1:40.0,,J. Butler misses 2-pt jump shot from 21 ft,25,19
89,1,1:38.0,Defensive rebound by R. Sessions,,25,19
90,1,1:25.0,Personal foul by J. Noah (drawn by K. Oubre),,25,19
91,1,1:20.0,Shooting foul by A. Brooks (drawn by R. Sessions),,25,19
92,1,1:20.0,R. Sessions misses free throw 1 of 2,,25,19
93,1,1:20.0,Offensive rebound by Team,,25,19
94,1,1:20.0,R. Sessions makes free throw 2 of 2,,26,19
95,1,1:08.0,Violation by D. Gooden (def goaltending),,26,19
96,1,1:08.0,,P. Gasol makes 2-pt layup from 1 ft (assist by A. Brooks),26,21
97,1,0:47.0,G. Neal misses 2-pt jump shot from 19 ft,,26,21
98,1,0:46.0,,Defensive rebound by J. Noah,26,21
99,1,0:38.0,,Shooting foul by D. Blair (drawn by T. Snell),26,21
