,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW ORLEANS_ACTION,TORONTO_SCORE,NEW ORLEANS_SCORE
0,1,11:48.0,,A. Ajinça misses 2-pt jump shot from 14 ft,0,0
1,1,11:46.0,Defensive rebound by N. Powell,,0,0
2,1,11:23.0,K. Lowry makes 2-pt jump shot from 11 ft,,2,0
3,1,11:04.0,,D. Cunningham makes 2-pt jump shot from 18 ft (assist by T. Douglas),2,2
4,1,10:46.0,K. Lowry makes 2-pt layup from 1 ft (assist by L. Scola),,4,2
5,1,10:33.0,,Def 3 sec tech foul by J. Valančiūnas,4,2
6,1,10:33.0,,T. Douglas makes technical free throw,4,3
7,1,10:22.0,,D. Cunningham misses 2-pt jump shot from 17 ft,4,3
8,1,10:21.0,Defensive rebound by J. Valančiūnas,,4,3
9,1,10:07.0,J. Valančiūnas misses 2-pt jump shot from 14 ft,,4,3
10,1,10:07.0,,Defensive rebound by Ö. Aşık,4,3
11,1,9:52.0,,Turnover by A. Gee (lost ball; steal by K. Lowry),4,3
12,1,9:41.0,Turnover by J. Valančiūnas (lost ball; steal by Ö. Aşık),,4,3
13,1,9:36.0,,T. Douglas misses 3-pt jump shot from 24 ft,4,3
14,1,9:34.0,Defensive rebound by Team,,4,3
15,1,9:10.0,N. Powell misses 3-pt jump shot from 27 ft,,4,3
16,1,9:09.0,,Defensive rebound by A. Gee,4,3
17,1,8:52.0,,Ö. Aşık misses 2-pt layup from 1 ft,4,3
18,1,8:51.0,Defensive rebound by K. Lowry,,4,3
19,1,8:42.0,D. DeRozan makes 2-pt jump shot from 15 ft,,6,3
20,1,8:20.0,,T. Douglas makes 2-pt layup from 1 ft,6,5
21,1,8:02.0,D. DeRozan makes 2-pt jump shot from 19 ft,,8,5
22,1,7:49.0,,A. Ajinça misses 2-pt jump shot from 15 ft,8,5
23,1,7:49.0,Defensive rebound by N. Powell,,8,5
24,1,7:31.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,10,5
25,1,7:16.0,,Ö. Aşık makes 2-pt dunk at rim (assist by A. Ajinça),10,7
26,1,6:54.0,D. DeRozan misses 2-pt jump shot from 12 ft,,10,7
27,1,6:52.0,,Defensive rebound by A. Ajinça,10,7
28,1,6:40.0,,A. Ajinça misses 2-pt jump shot from 8 ft (block by J. Valančiūnas),10,7
29,1,6:39.0,Defensive rebound by L. Scola,,10,7
30,1,6:29.0,D. DeRozan misses 3-pt jump shot from 24 ft,,10,7
31,1,6:28.0,,Defensive rebound by Ö. Aşık,10,7
32,1,6:18.0,,A. Ajinça misses 2-pt jump shot from 5 ft,10,7
33,1,6:16.0,Defensive rebound by N. Powell,,10,7
34,1,6:12.0,N. Powell makes 2-pt layup from 1 ft,,12,7
35,1,5:51.0,,D. Cunningham misses 2-pt layup from 2 ft,12,7
36,1,5:50.0,Defensive rebound by L. Scola,,12,7
37,1,5:42.0,K. Lowry misses 3-pt jump shot from 25 ft,,12,7
38,1,5:41.0,,Defensive rebound by Ö. Aşık,12,7
39,1,5:35.0,,New Orleans full timeout,12,7
40,1,5:35.0,,L. Babbitt enters the game for A. Ajinça,12,7
41,1,5:19.0,,T. Douglas misses 2-pt jump shot from 19 ft,12,7
42,1,5:18.0,Defensive rebound by J. Valančiūnas,,12,7
43,1,5:10.0,Turnover by K. Lowry (lost ball; steal by T. Douglas),,12,7
44,1,5:06.0,,T. Douglas makes 2-pt layup from 1 ft,12,9
45,1,4:42.0,Personal foul by T. Douglas,,12,9
46,1,4:42.0,,T. Frazier enters the game for T. Douglas,12,9
47,1,4:30.0,N. Powell makes 3-pt jump shot from 23 ft (assist by K. Lowry),,15,9
48,1,4:17.0,,Personal foul by N. Powell,15,9
49,1,4:17.0,C. Joseph enters the game for K. Lowry,,15,9
50,1,4:12.0,,Ö. Aşık misses 2-pt layup from 1 ft,15,9
51,1,4:10.0,Defensive rebound by D. DeRozan,,15,9
52,1,4:01.0,Turnover by D. DeRozan (lost ball; steal by A. Gee),,15,9
53,1,3:55.0,,A. Gee makes 2-pt dunk at rim,15,11
54,1,3:27.0,N. Powell makes 2-pt jump shot from 18 ft,,17,11
55,1,3:08.0,,D. Cunningham misses 3-pt jump shot from 22 ft,17,11
56,1,3:07.0,,Offensive rebound by Ö. Aşık,17,11
57,1,3:05.0,,Ö. Aşık misses 2-pt layup from 1 ft,17,11
58,1,3:05.0,Defensive rebound by J. Valančiūnas,,17,11
59,1,2:54.0,L. Scola makes 3-pt jump shot from 24 ft (assist by C. Joseph),,20,11
60,1,2:43.0,,A. Gee misses 3-pt jump shot from 25 ft,20,11
61,1,2:42.0,Defensive rebound by L. Scola,,20,11
62,1,2:26.0,J. Valančiūnas misses 2-pt layup from 1 ft,,20,11
63,1,2:26.0,,Defensive rebound by L. Babbitt,20,11
64,1,2:16.0,,Shooting foul by J. Valančiūnas (drawn by T. Frazier),20,11
65,1,2:16.0,Toronto full timeout,,20,11
66,1,2:16.0,,K. Perkins enters the game for Ö. Aşık,20,11
67,1,2:16.0,,J. Hamilton enters the game for A. Gee,20,11
68,1,2:16.0,J. Johnson enters the game for N. Powell,,20,11
69,1,2:16.0,B. Biyombo enters the game for J. Valančiūnas,,20,11
70,1,2:16.0,,T. Frazier makes free throw 1 of 2,20,12
71,1,2:16.0,,T. Frazier makes free throw 2 of 2,20,13
72,1,1:59.0,J. Johnson misses 3-pt jump shot from 24 ft,,20,13
73,1,1:58.0,,Defensive rebound by T. Frazier,20,13
74,1,1:34.0,,D. Cunningham misses 3-pt jump shot from 25 ft,20,13
75,1,1:33.0,Defensive rebound by J. Johnson,,20,13
76,1,1:20.0,J. Johnson misses 3-pt jump shot from 23 ft,,20,13
77,1,1:18.0,,Defensive rebound by T. Frazier,20,13
78,1,1:08.0,,D. Cunningham misses 2-pt layup from 2 ft (block by B. Biyombo),20,13
79,1,1:07.0,,Offensive rebound by D. Cunningham,20,13
80,1,1:00.0,,L. Babbitt misses 3-pt jump shot from 26 ft,20,13
81,1,0:58.0,Defensive rebound by B. Biyombo,,20,13
82,1,0:34.0,C. Joseph misses 2-pt layup from 2 ft,,20,13
83,1,0:34.0,,Defensive rebound by J. Hamilton,20,13
84,1,0:13.0,,L. Babbitt makes 2-pt layup from 1 ft (assist by T. Frazier),20,15
85,2,11:40.0,C. Joseph makes 2-pt layup from 1 ft (assist by P. Patterson),,22,15
86,2,11:15.0,,L. Babbitt misses 2-pt jump shot from 8 ft,22,15
87,2,11:15.0,Defensive rebound by J. Johnson,,22,15
88,2,10:57.0,Shooting foul by K. Perkins (drawn by B. Biyombo),,22,15
89,2,10:57.0,B. Biyombo makes free throw 1 of 2,,23,15
90,2,10:57.0,B. Biyombo makes free throw 2 of 2,,24,15
91,2,10:41.0,,L. Babbitt misses 3-pt jump shot from 24 ft,24,15
92,2,10:40.0,Defensive rebound by B. Biyombo,,24,15
93,2,10:25.0,J. Johnson makes 2-pt jump shot from 16 ft (assist by K. Lowry),,26,15
94,2,10:11.0,,A. Gee misses 2-pt jump shot from 11 ft,26,15
95,2,10:10.0,Defensive rebound by B. Biyombo,,26,15
96,2,9:59.0,Shooting foul by K. Perkins (drawn by J. Johnson),,26,15
97,2,9:59.0,J. Johnson makes free throw 1 of 2,,27,15
98,2,9:59.0,J. Johnson makes free throw 2 of 2,,28,15
99,2,9:44.0,,A. Gee makes 2-pt layup from 2 ft (assist by L. Babbitt),28,17
100,2,9:29.0,K. Lowry misses 3-pt jump shot from 25 ft,,28,17
101,2,9:28.0,,Defensive rebound by L. Babbitt,28,17
102,2,9:19.0,,J. Hamilton misses 2-pt jump shot from 15 ft,28,17
103,2,9:17.0,,Offensive rebound by A. Gee,28,17
104,2,9:13.0,,Shooting foul by B. Biyombo (drawn by A. Gee),28,17
105,2,9:13.0,,A. Gee misses free throw 1 of 2,28,17
106,2,9:13.0,,Offensive rebound by Team,28,17
107,2,9:13.0,,A. Gee makes free throw 2 of 2,28,18
108,2,8:54.0,Official timeout,,28,18
109,2,8:54.0,Offensive foul by B. Biyombo (drawn by A. Gee),,28,18
110,2,8:54.0,Turnover by B. Biyombo (offensive foul),,28,18
111,2,8:46.0,,A. Gee makes 2-pt dunk at rim (assist by T. Frazier),28,20
