,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW YORK_ACTION,INDIANA_SCORE,NEW YORK_SCORE
0,1,11:40.0,,Inbound foul by G. Hill,0,0
1,1,11:40.0,,J. Grant makes free throw 1 of 2,0,1
2,1,11:40.0,,J. Grant misses free throw 2 of 2,0,1
3,1,11:39.0,Defensive rebound by L. Allen,,0,1
4,1,11:17.0,Turnover by L. Allen (bad pass; steal by J. Grant),,0,1
5,1,11:11.0,,S. Vujačić misses 3-pt jump shot from 24 ft,0,1
6,1,11:10.0,Defensive rebound by P. George,,0,1
7,1,11:04.0,Shooting foul by S. Vujačić (drawn by I. Mahinmi),,0,1
8,1,11:04.0,I. Mahinmi misses free throw 1 of 2,,0,1
9,1,11:04.0,Offensive rebound by Team,,0,1
10,1,11:04.0,I. Mahinmi makes free throw 2 of 2,,1,1
11,1,10:50.0,,S. Vujačić misses 2-pt layup from 1 ft,1,1
12,1,10:49.0,Defensive rebound by L. Allen,,1,1
13,1,10:42.0,L. Allen misses 2-pt jump shot from 21 ft,,1,1
14,1,10:41.0,,Defensive rebound by R. Lopez,1,1
15,1,10:30.0,,J. Grant makes 2-pt layup from 1 ft,1,3
16,1,10:17.0,P. George makes 2-pt jump shot from 13 ft (assist by I. Mahinmi),,3,3
17,1,9:54.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by J. Grant),3,6
18,1,9:43.0,I. Mahinmi misses 2-pt layup from 1 ft (block by R. Lopez),,3,6
19,1,9:42.0,,Defensive rebound by S. Vujačić,3,6
20,1,9:37.0,,S. Vujačić misses 2-pt jump shot from 16 ft,3,6
21,1,9:36.0,Defensive rebound by I. Mahinmi,,3,6
22,1,9:28.0,Turnover by G. Hill (lost ball; steal by S. Vujačić),,3,6
23,1,9:19.0,,R. Lopez misses 2-pt jump shot from 15 ft,3,6
24,1,9:18.0,Defensive rebound by M. Ellis,,3,6
25,1,9:11.0,P. George misses 3-pt jump shot from 26 ft,,3,6
26,1,9:10.0,,Defensive rebound by Team,3,6
27,1,8:55.0,,C. Early misses 2-pt jump shot from 4 ft (block by P. George),3,6
28,1,8:54.0,Defensive rebound by L. Allen,,3,6
29,1,8:41.0,P. George misses 2-pt jump shot from 18 ft,,3,6
30,1,8:40.0,,Defensive rebound by D. Williams,3,6
31,1,8:24.0,,D. Williams misses 3-pt jump shot from 24 ft,3,6
32,1,8:23.0,Defensive rebound by I. Mahinmi,,3,6
33,1,8:15.0,,Violation by C. Early (kicked ball),3,6
34,1,8:06.0,G. Hill makes 3-pt jump shot from 24 ft (assist by L. Allen),,6,6
35,1,7:43.0,,J. Grant misses 2-pt jump shot from 5 ft,6,6
36,1,7:42.0,,Offensive rebound by R. Lopez,6,6
37,1,7:42.0,,R. Lopez misses 2-pt layup from 2 ft,6,6
38,1,7:41.0,,Offensive rebound by R. Lopez,6,6
39,1,7:41.0,,R. Lopez misses 2-pt layup from 2 ft,6,6
40,1,7:40.0,,Offensive rebound by R. Lopez,6,6
41,1,7:40.0,,R. Lopez misses 2-pt layup from 2 ft,6,6
42,1,7:39.0,,Offensive rebound by S. Vujačić,6,6
43,1,7:25.0,,D. Williams makes 2-pt layup from 1 ft (assist by J. Grant),6,8
44,1,7:10.0,M. Ellis misses 3-pt jump shot from 24 ft,,6,8
45,1,7:09.0,,Defensive rebound by Team,6,8
46,1,6:54.0,,S. Vujačić makes 3-pt jump shot from 24 ft (assist by D. Williams),6,11
47,1,6:39.0,M. Ellis makes 2-pt jump shot from 3 ft,,8,11
48,1,6:25.0,,C. Early misses 3-pt jump shot from 24 ft,8,11
49,1,6:24.0,,Offensive rebound by J. Grant,8,11
50,1,6:20.0,,S. Vujačić misses 3-pt jump shot from 25 ft,8,11
51,1,6:19.0,Defensive rebound by P. George,,8,11
52,1,6:10.0,I. Mahinmi makes 2-pt layup at rim (assist by P. George),,10,11
53,1,5:54.0,,D. Williams misses 2-pt jump shot from 17 ft,10,11
