,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:46.0,P. Millsap misses 2-pt jump shot from 9 ft,,0,0
1,1,11:44.0,,Defensive rebound by C. Anthony,0,0
2,1,11:30.0,,K. Porziņģis misses 2-pt jump shot from 4 ft (block by A. Horford),0,0
3,1,11:28.0,Defensive rebound by P. Millsap,,0,0
4,1,11:23.0,K. Bazemore makes 2-pt layup from 2 ft (assist by J. Teague),,2,0
5,1,11:04.0,,R. Lopez makes 2-pt hook shot from 4 ft,2,2
6,1,10:51.0,Turnover by P. Millsap (lost ball; steal by J. Calderón),,2,2
7,1,10:47.0,,Shooting foul by K. Bazemore (drawn by J. Calderón),2,2
8,1,10:47.0,,J. Calderón makes free throw 1 of 2,2,3
9,1,10:47.0,,J. Calderón makes free throw 2 of 2,2,4
10,1,10:34.0,J. Teague misses 2-pt jump shot from 18 ft,,2,4
11,1,10:32.0,,Defensive rebound by R. Lopez,2,4
12,1,10:17.0,,Shooting foul by P. Millsap (drawn by R. Lopez),2,4
13,1,10:17.0,,R. Lopez makes free throw 1 of 2,2,5
14,1,10:17.0,,R. Lopez makes free throw 2 of 2,2,6
15,1,10:05.0,K. Korver makes 3-pt jump shot from 25 ft (assist by P. Millsap),,5,6
16,1,9:42.0,,C. Anthony misses 2-pt jump shot from 15 ft,5,6
17,1,9:40.0,Defensive rebound by A. Horford,,5,6
18,1,9:30.0,P. Millsap misses 2-pt jump shot from 5 ft,,5,6
19,1,9:28.0,,Defensive rebound by C. Anthony,5,6
20,1,9:17.0,,C. Anthony misses 2-pt jump shot from 12 ft,5,6
21,1,9:15.0,Defensive rebound by K. Korver,,5,6
22,1,9:08.0,K. Korver misses 3-pt jump shot from 25 ft,,5,6
23,1,9:06.0,,Defensive rebound by K. Porziņģis,5,6
24,1,8:53.0,,Turnover by K. Porziņģis (lost ball; steal by K. Korver),5,6
25,1,8:48.0,Turnover by K. Korver (bad pass),,5,6
26,1,8:31.0,,K. Porziņģis misses 3-pt jump shot from 23 ft,5,6
27,1,8:29.0,Defensive rebound by K. Korver,,5,6
28,1,8:15.0,A. Horford makes 2-pt layup from 2 ft (assist by K. Bazemore),,7,6
29,1,8:03.0,,S. Vujačić makes 3-pt jump shot from 23 ft (assist by C. Anthony),7,9
30,1,7:51.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Teague),,10,9
31,1,7:38.0,,J. Calderón misses 3-pt jump shot from 24 ft,10,9
32,1,7:36.0,Defensive rebound by A. Horford,,10,9
33,1,7:30.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Teague),,13,9
34,1,7:09.0,,R. Lopez makes 2-pt layup from 2 ft,13,11
35,1,7:02.0,P. Millsap misses 2-pt jump shot from 3 ft,,13,11
36,1,7:00.0,Offensive rebound by P. Millsap,,13,11
37,1,6:57.0,J. Teague misses 3-pt jump shot from 24 ft,,13,11
38,1,6:55.0,,Defensive rebound by J. Calderón,13,11
39,1,6:47.0,,R. Lopez makes 2-pt jump shot from 14 ft (assist by S. Vujačić),13,13
40,1,6:47.0,Atlanta full timeout,,13,13
41,1,6:47.0,T. Splitter enters the game for K. Bazemore,,13,13
42,1,6:41.0,Shooting foul by J. Calderón (drawn by J. Teague),,13,13
43,1,6:41.0,J. Teague makes free throw 1 of 2,,14,13
44,1,6:41.0,J. Teague makes free throw 2 of 2,,15,13
45,1,6:29.0,,Turnover by R. Lopez (3 sec),15,13
46,1,6:10.0,T. Splitter makes 2-pt layup at rim,,17,13
47,1,6:03.0,,C. Anthony misses 2-pt layup from 2 ft (block by A. Horford),17,13
48,1,6:02.0,,Offensive rebound by Team,17,13
49,1,5:54.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,17,13
50,1,5:52.0,Defensive rebound by K. Korver,,17,13
51,1,5:42.0,Turnover by A. Horford (lost ball; steal by C. Anthony),,17,13
52,1,5:37.0,,S. Vujačić misses 3-pt jump shot from 24 ft,17,13
53,1,5:34.0,Defensive rebound by P. Millsap,,17,13
54,1,5:24.0,Personal foul by S. Vujačić (drawn by T. Splitter),,17,13
55,1,5:24.0,,K. O'Quinn enters the game for R. Lopez,17,13
56,1,5:14.0,J. Teague misses 2-pt jump shot from 20 ft,,17,13
57,1,5:12.0,,Defensive rebound by K. O'Quinn,17,13
58,1,5:03.0,,K. Porziņģis makes 2-pt layup from 2 ft (assist by S. Vujačić),17,15
59,1,4:48.0,J. Teague misses 3-pt jump shot from 24 ft,,17,15
60,1,4:46.0,Offensive rebound by Team,,17,15
61,1,4:46.0,,L. Galloway enters the game for J. Calderón,17,15
62,1,4:40.0,K. Korver misses 3-pt jump shot from 24 ft (block by S. Vujačić),,17,15
63,1,4:38.0,,Defensive rebound by K. O'Quinn,17,15
64,1,4:21.0,,C. Anthony makes 2-pt layup from 1 ft,17,17
65,1,4:21.0,,Shooting block foul by T. Splitter (drawn by C. Anthony),17,17
66,1,4:21.0,,D. Williams enters the game for K. Porziņģis,17,17
67,1,4:21.0,J. Holiday enters the game for A. Horford,,17,17
68,1,4:21.0,,C. Anthony makes free throw 1 of 1,17,18
69,1,4:11.0,P. Millsap makes 2-pt layup from 1 ft,,19,18
70,1,3:52.0,,K. O'Quinn misses 2-pt jump shot from 18 ft,19,18
71,1,3:51.0,Defensive rebound by P. Millsap,,19,18
72,1,3:38.0,K. Korver makes 2-pt jump shot from 14 ft (assist by T. Splitter),,21,18
73,1,3:21.0,,C. Anthony misses 2-pt layup from 2 ft,21,18
74,1,3:18.0,,Offensive rebound by C. Anthony,21,18
75,1,3:14.0,,D. Williams misses 3-pt jump shot from 22 ft,21,18
76,1,3:12.0,Defensive rebound by J. Teague,,21,18
77,1,3:07.0,Turnover by J. Teague (bad pass; steal by L. Galloway),,21,18
78,1,3:00.0,,K. O'Quinn misses 2-pt layup from 2 ft,21,18
79,1,2:58.0,,Offensive rebound by K. O'Quinn,21,18
80,1,2:44.0,,K. O'Quinn misses 2-pt layup from 2 ft,21,18
81,1,2:42.0,,Offensive rebound by K. O'Quinn,21,18
82,1,2:40.0,,Turnover by K. O'Quinn (lost ball; steal by P. Millsap),21,18
83,1,2:30.0,J. Holiday makes 2-pt dunk at rim (assist by P. Millsap),,23,18
84,1,2:30.0,,New York full timeout,23,18
85,1,2:30.0,D. Schröder enters the game for K. Korver,,23,18
86,1,2:30.0,L. Patterson enters the game for J. Teague,,23,18
87,1,2:30.0,,J. Grant enters the game for S. Vujačić,23,18
88,1,2:09.0,,D. Williams misses 2-pt jump shot from 17 ft,23,18
89,1,2:07.0,Defensive rebound by P. Millsap,,23,18
90,1,2:04.0,Personal foul by L. Galloway (drawn by J. Holiday),,23,18
91,1,1:56.0,T. Splitter misses 2-pt hook shot from 4 ft,,23,18
92,1,1:54.0,,Defensive rebound by J. Grant,23,18
93,1,1:49.0,,C. Anthony makes 2-pt layup from 1 ft (assist by J. Grant),23,20
94,1,1:45.0,,L. Thomas enters the game for C. Anthony,23,20
95,1,1:45.0,M. Scott enters the game for P. Millsap,,23,20
96,1,1:40.0,D. Schröder makes 2-pt jump shot from 14 ft,,25,20
