,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
0,1,11:40.0,C. Anthony makes 2-pt jump shot from 12 ft,,2,0
1,1,11:25.0,,K. Korver misses 3-pt jump shot from 23 ft,2,0
2,1,11:24.0,Defensive rebound by C. Anthony,,2,0
3,1,11:03.0,A. Afflalo makes 2-pt jump shot from 16 ft (assist by R. Lopez),,4,0
4,1,10:53.0,,A. Horford misses 3-pt jump shot from 24 ft,4,0
5,1,10:51.0,Defensive rebound by C. Anthony,,4,0
6,1,10:37.0,K. Porziņģis misses 2-pt jump shot from 20 ft,,4,0
7,1,10:36.0,,Defensive rebound by K. Bazemore,4,0
8,1,10:27.0,,A. Horford misses 2-pt jump shot from 17 ft,4,0
9,1,10:26.0,Defensive rebound by A. Afflalo,,4,0
10,1,10:11.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by C. Anthony),,7,0
11,1,9:54.0,,A. Horford makes 2-pt layup from 1 ft (assist by P. Millsap),7,2
12,1,9:43.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by J. Calderón),,9,2
13,1,9:25.0,,K. Bazemore misses 3-pt jump shot from 24 ft,9,2
14,1,9:24.0,Defensive rebound by J. Calderón,,9,2
15,1,9:09.0,J. Calderón makes 3-pt jump shot from 24 ft (assist by C. Anthony),,12,2
16,1,9:08.0,,Atlanta full timeout,12,2
17,1,8:52.0,,P. Millsap misses 2-pt layup from 2 ft,12,2
18,1,8:50.0,Defensive rebound by C. Anthony,,12,2
19,1,8:42.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by J. Calderón),,14,2
20,1,8:34.0,,P. Millsap makes 2-pt layup from 1 ft (assist by A. Horford),14,4
21,1,8:18.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,14,4
22,1,8:17.0,Offensive rebound by C. Anthony,,14,4
23,1,8:17.0,C. Anthony makes 2-pt layup at rim,,16,4
24,1,8:03.0,,J. Teague misses 2-pt jump shot from 18 ft,16,4
25,1,8:00.0,Defensive rebound by R. Lopez,,16,4
26,1,7:51.0,C. Anthony makes 2-pt jump shot from 18 ft (assist by R. Lopez),,18,4
27,1,7:34.0,,J. Teague misses 2-pt jump shot from 6 ft,18,4
28,1,7:33.0,Defensive rebound by C. Anthony,,18,4
29,1,7:20.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,18,4
30,1,7:19.0,,Defensive rebound by A. Horford,18,4
31,1,7:03.0,,J. Teague misses 3-pt jump shot from 24 ft,18,4
32,1,7:01.0,Defensive rebound by C. Anthony,,18,4
33,1,6:46.0,Turnover by A. Afflalo (step out of bounds),,18,4
34,1,6:46.0,,T. Splitter enters the game for A. Horford,18,4
35,1,6:46.0,,T. Sefolosha enters the game for K. Korver,18,4
36,1,6:46.0,L. Thomas enters the game for K. Porziņģis,,18,4
37,1,6:34.0,,J. Teague makes 2-pt layup at rim (assist by K. Bazemore),18,6
38,1,6:26.0,Turnover by L. Thomas (bad pass; steal by K. Bazemore),,18,6
39,1,6:19.0,,Turnover by K. Bazemore (bad pass; steal by L. Thomas),18,6
40,1,6:05.0,Personal foul by T. Sefolosha (drawn by C. Anthony),,18,6
41,1,6:05.0,New York full timeout,,18,6
42,1,5:50.0,L. Thomas makes 2-pt jump shot from 10 ft (assist by J. Calderón),,20,6
43,1,5:33.0,L. Galloway enters the game for J. Calderón,,20,6
44,1,5:26.0,,T. Splitter misses 2-pt hook shot from 10 ft,20,6
45,1,5:24.0,Defensive rebound by A. Afflalo,,20,6
46,1,5:08.0,Shooting foul by K. Bazemore (drawn by C. Anthony),,20,6
47,1,5:08.0,C. Anthony misses free throw 1 of 2,,20,6
48,1,5:08.0,Offensive rebound by Team,,20,6
49,1,5:08.0,,D. Schröder enters the game for J. Teague,20,6
50,1,5:08.0,K. O'Quinn enters the game for R. Lopez,,20,6
51,1,5:08.0,C. Anthony makes free throw 2 of 2,,21,6
52,1,4:56.0,,D. Schröder makes 2-pt jump shot from 14 ft,21,8
53,1,4:37.0,C. Anthony makes 2-pt jump shot from 18 ft,,23,8
54,1,4:20.0,,Personal foul by L. Thomas (drawn by K. Bazemore),23,8
55,1,4:20.0,J. Grant enters the game for A. Afflalo,,23,8
56,1,4:09.0,,K. Bazemore misses 2-pt layup at rim,23,8
57,1,4:07.0,,Offensive rebound by T. Splitter,23,8
58,1,4:07.0,,T. Splitter makes 2-pt layup at rim,23,10
59,1,3:53.0,K. O'Quinn misses 2-pt jump shot from 20 ft,,23,10
60,1,3:52.0,,Defensive rebound by P. Millsap,23,10
61,1,3:31.0,,Shooting foul by K. O'Quinn (drawn by P. Millsap),23,10
62,1,3:31.0,,P. Millsap makes free throw 1 of 2,23,11
63,1,3:31.0,D. Williams enters the game for C. Anthony,,23,11
64,1,3:31.0,,P. Millsap makes free throw 2 of 2,23,12
65,1,3:23.0,L. Thomas makes 2-pt jump shot from 19 ft,,25,12
66,1,3:02.0,,K. Bazemore makes 3-pt jump shot from 23 ft,25,15
67,1,2:48.0,Turnover by L. Galloway (bad pass; steal by D. Schröder),,25,15
68,1,2:43.0,,T. Sefolosha makes 2-pt dunk at rim (assist by K. Bazemore),25,17
69,1,2:36.0,Personal foul by T. Splitter (drawn by K. O'Quinn),,25,17
70,1,2:36.0,,A. Horford enters the game for T. Splitter,25,17
71,1,2:18.0,D. Williams makes 3-pt jump shot from 23 ft (assist by L. Galloway),,28,17
72,1,2:14.0,,Turnover by A. Horford (bad pass; steal by J. Grant),28,17
73,1,2:09.0,L. Galloway makes 2-pt jump shot from 18 ft (assist by J. Grant),,30,17
74,1,1:53.0,,A. Horford makes 2-pt layup from 1 ft (assist by P. Millsap),30,19
75,1,1:53.0,,Shooting foul by J. Grant (drawn by A. Horford),30,19
76,1,1:53.0,,A. Horford makes free throw 1 of 1,30,20
77,1,1:28.0,Turnover by Team (shot clock),,30,20
78,1,1:28.0,,M. Scott enters the game for K. Bazemore,30,20
79,1,1:28.0,,K. Korver enters the game for P. Millsap,30,20
80,1,1:17.0,,D. Schröder misses 2-pt jump shot from 17 ft,30,20
81,1,1:16.0,Defensive rebound by L. Galloway,,30,20
82,1,1:05.0,L. Thomas makes 2-pt jump shot from 20 ft (assist by L. Galloway),,32,20
83,1,0:54.0,,K. Korver misses 3-pt jump shot from 24 ft,32,20
84,1,0:53.0,Defensive rebound by D. Williams,,32,20
85,1,0:45.0,L. Galloway misses 3-pt jump shot from 24 ft,,32,20
86,1,0:43.0,,Defensive rebound by T. Sefolosha,32,20
87,1,0:29.0,,A. Horford misses 2-pt jump shot from 5 ft,32,20
88,1,0:27.0,Defensive rebound by L. Galloway,,32,20
89,1,0:23.0,D. Williams misses 2-pt layup from 1 ft (block by M. Scott),,32,20
90,1,0:23.0,Offensive rebound by Team,,32,20
91,1,0:12.0,D. Williams misses 2-pt jump shot from 6 ft,,32,20
92,1,0:11.0,,Defensive rebound by K. Korver,32,20
93,1,0:03.0,,D. Schröder makes 2-pt layup at rim,32,22
94,1,0:00.0,J. Grant misses 3-pt jump shot from 45 ft,,32,22
95,1,0:00.0,Offensive rebound by Team,,32,22
96,2,11:47.0,Violation by K. Porziņģis (def goaltending),,32,22
97,2,11:47.0,,D. Schröder makes 2-pt layup from 1 ft (assist by A. Horford),32,24
98,2,11:28.0,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by L. Galloway),,34,24
99,2,11:17.0,,M. Scott makes 3-pt jump shot from 24 ft (assist by D. Schröder),34,27
100,2,11:00.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by K. O'Quinn),,37,27
101,2,10:40.0,,L. Patterson makes 2-pt layup from 1 ft,37,29
102,2,10:26.0,Turnover by J. Grant (traveling),,37,29
103,2,10:26.0,J. Calderón enters the game for J. Grant,,37,29
104,2,10:12.0,,K. Korver misses 3-pt jump shot from 23 ft,37,29
105,2,10:10.0,Defensive rebound by J. Calderón,,37,29
106,2,9:59.0,Turnover by K. Porziņģis (bad pass; steal by D. Schröder),,37,29
107,2,9:53.0,,L. Patterson makes 3-pt jump shot from 25 ft (assist by D. Schröder),37,32
108,2,9:27.0,Turnover by K. O'Quinn (bad pass),,37,32
109,2,9:11.0,,L. Patterson misses 3-pt jump shot from 24 ft,37,32
110,2,9:10.0,Defensive rebound by J. Calderón,,37,32
111,2,9:05.0,D. Williams makes 2-pt layup from 2 ft (assist by J. Calderón),,39,32
112,2,8:47.0,,M. Scott makes 2-pt jump shot from 13 ft (assist by D. Schröder),39,34
113,2,8:29.0,K. Porziņģis misses 2-pt jump shot from 18 ft,,39,34
114,2,8:28.0,Offensive rebound by Team,,39,34
115,2,8:28.0,Official timeout,,39,34
116,2,8:28.0,,T. Sefolosha enters the game for K. Korver,39,34
117,2,8:28.0,A. Afflalo enters the game for K. Porziņģis,,39,34
118,2,8:28.0,C. Anthony enters the game for L. Galloway,,39,34
119,2,8:28.0,R. Lopez enters the game for K. O'Quinn,,39,34
120,2,8:28.0,L. Thomas enters the game for D. Williams,,39,34
121,2,8:25.0,L. Thomas makes 2-pt layup from 1 ft (assist by C. Anthony),,41,34
122,2,8:04.0,,D. Schröder misses 2-pt jump shot from 15 ft (block by J. Calderón),41,34
123,2,8:01.0,,Offensive rebound by M. Scott,41,34
124,2,8:01.0,,M. Scott makes 2-pt layup at rim,41,36
125,2,7:43.0,L. Thomas misses 3-pt jump shot from 22 ft,,41,36
126,2,7:41.0,,Defensive rebound by D. Schröder,41,36
127,2,7:30.0,,M. Scott makes 2-pt jump shot from 12 ft (assist by D. Schröder),41,38
128,2,7:12.0,Offensive foul by C. Anthony (drawn by T. Sefolosha),,41,38
129,2,7:12.0,Turnover by C. Anthony (offensive foul),,41,38
130,2,7:12.0,,J. Teague enters the game for D. Schröder,41,38
131,2,7:12.0,,P. Millsap enters the game for A. Horford,41,38
132,2,6:54.0,,P. Millsap misses 2-pt layup from 1 ft,41,38
133,2,6:54.0,Defensive rebound by C. Anthony,,41,38
134,2,6:54.0,Personal foul by P. Millsap (drawn by C. Anthony),,41,38
135,2,6:39.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by J. Calderón),,43,38
136,2,6:39.0,Shooting foul by P. Millsap (drawn by R. Lopez),,43,38
137,2,6:39.0,R. Lopez makes free throw 1 of 1,,44,38
138,2,6:27.0,,P. Millsap misses 3-pt jump shot from 24 ft,44,38
139,2,6:26.0,Defensive rebound by C. Anthony,,44,38
140,2,6:14.0,R. Lopez makes 2-pt hook shot from 9 ft,,46,38
141,2,5:56.0,,P. Millsap makes 2-pt dunk at rim (assist by L. Patterson),46,40
142,2,5:44.0,A. Afflalo makes 2-pt jump shot from 20 ft (assist by C. Anthony),,48,40
143,2,5:44.0,Shooting foul by L. Patterson (drawn by A. Afflalo),,48,40
144,2,5:44.0,,Atlanta full timeout,48,40
145,2,5:44.0,,K. Bazemore enters the game for M. Scott,48,40
