,QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
0,1,11:37.0,A. Drummond misses 2-pt jump shot from 7 ft,,0,0
1,1,11:37.0,,Defensive rebound by J. Johnson,0,0
2,1,11:28.0,,J. Johnson makes 2-pt layup from 2 ft,0,2
3,1,11:03.0,A. Drummond makes 2-pt hook shot from 8 ft,,2,2
4,1,10:44.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),2,4
5,1,10:29.0,Turnover by K. Caldwell-Pope (bad pass; steal by L. Scola),,2,4
6,1,10:23.0,,L. Scola makes 2-pt layup from 1 ft,2,6
7,1,10:19.0,Detroit full timeout,,2,6
8,1,10:10.0,R. Jackson misses 2-pt hook shot from 9 ft,,2,6
9,1,10:10.0,,Defensive rebound by D. DeRozan,2,6
10,1,10:02.0,,Turnover by D. DeRozan (bad pass; steal by K. Caldwell-Pope),2,6
11,1,9:56.0,K. Caldwell-Pope makes 2-pt jump shot from 17 ft,,4,6
12,1,9:40.0,,J. Valančiūnas makes 2-pt jump shot from 8 ft,4,8
13,1,9:10.0,K. Caldwell-Pope makes 2-pt jump shot from 17 ft,,6,8
14,1,8:49.0,,L. Scola misses 3-pt jump shot from 23 ft,6,8
15,1,8:49.0,,Offensive rebound by J. Valančiūnas,6,8
16,1,8:46.0,,J. Valančiūnas misses 2-pt layup from 2 ft,6,8
17,1,8:46.0,Defensive rebound by A. Drummond,,6,8
18,1,8:39.0,Turnover by A. Drummond (lost ball; steal by D. DeRozan),,6,8
19,1,8:27.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. DeRozan),6,11
20,1,8:14.0,Shooting foul by J. Valančiūnas (drawn by R. Jackson),,6,11
21,1,8:14.0,R. Jackson makes free throw 1 of 2,,7,11
22,1,8:14.0,R. Jackson misses free throw 2 of 2,,7,11
23,1,8:13.0,,Defensive rebound by J. Valančiūnas,7,11
24,1,7:59.0,,Def 3 sec tech foul by A. Tolliver,7,11
25,1,7:59.0,,D. DeRozan makes technical free throw,7,12
26,1,7:53.0,,D. DeRozan misses 2-pt jump shot from 6 ft,7,12
27,1,7:53.0,Defensive rebound by K. Caldwell-Pope,,7,12
28,1,7:47.0,Shooting foul by J. Johnson (drawn by A. Drummond),,7,12
29,1,7:47.0,A. Drummond misses free throw 1 of 2,,7,12
30,1,7:47.0,Offensive rebound by Team,,7,12
31,1,7:47.0,A. Drummond misses free throw 2 of 2,,7,12
32,1,7:47.0,,Defensive rebound by J. Valančiūnas,7,12
33,1,7:34.0,,Personal foul by R. Jackson (drawn by K. Lowry),7,12
34,1,7:23.0,,D. DeRozan misses 2-pt layup from 3 ft,7,12
35,1,7:23.0,Defensive rebound by K. Caldwell-Pope,,7,12
36,1,7:15.0,M. Morris misses 2-pt jump shot from 3 ft,,7,12
37,1,7:15.0,Offensive rebound by A. Drummond,,7,12
38,1,7:15.0,Shooting foul by J. Valančiūnas (drawn by A. Drummond),,7,12
39,1,7:15.0,A. Drummond misses free throw 1 of 2,,7,12
40,1,7:15.0,Offensive rebound by Team,,7,12
41,1,7:15.0,,B. Biyombo enters the game for J. Valančiūnas,7,12
42,1,7:15.0,A. Drummond misses free throw 2 of 2,,7,12
43,1,7:14.0,,Defensive rebound by B. Biyombo,7,12
44,1,6:59.0,,D. DeRozan misses 2-pt jump shot from 11 ft,7,12
45,1,6:59.0,Defensive rebound by A. Drummond,,7,12
46,1,6:39.0,A. Drummond makes 2-pt hook shot from 5 ft,,9,12
47,1,6:19.0,,L. Scola misses 2-pt jump shot from 8 ft,9,12
