,QUARTER,TIME_REMAINING,NEW YORK_ACTION,OKLAHOMA CITY_ACTION,NEW YORK_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,S. Adams misses 2-pt jump shot from 3 ft (block by R. Lopez),0,0
1,1,11:42.0,,Offensive rebound by S. Adams,0,0
2,1,11:39.0,,R. Westbrook misses 2-pt jump shot from 2 ft,0,0
3,1,11:38.0,Defensive rebound by K. Porziņģis,,0,0
4,1,11:30.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by R. Lopez),,3,0
5,1,11:12.0,,D. Waiters makes 2-pt jump shot from 18 ft (assist by A. Roberson),3,2
6,1,10:52.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,3,2
7,1,10:51.0,Offensive rebound by R. Lopez,,3,2
8,1,10:40.0,Shooting foul by A. Roberson (drawn by C. Anthony),,3,2
9,1,10:40.0,C. Anthony makes free throw 1 of 2,,4,2
10,1,10:40.0,C. Anthony makes free throw 2 of 2,,5,2
11,1,10:27.0,,D. Waiters misses 2-pt layup from 2 ft,5,2
12,1,10:27.0,,Offensive rebound by Team,5,2
13,1,10:20.0,,R. Westbrook makes 2-pt layup from 1 ft,5,4
14,1,10:14.0,A. Afflalo makes 2-pt jump shot from 16 ft (assist by J. Calderón),,7,4
15,1,10:00.0,,S. Ibaka misses 2-pt jump shot from 17 ft,7,4
16,1,10:00.0,,Offensive rebound by R. Westbrook,7,4
17,1,9:51.0,,S. Adams makes 2-pt jump shot from 4 ft (assist by R. Westbrook),7,6
18,1,9:33.0,C. Anthony misses 2-pt jump shot from 15 ft,,7,6
19,1,9:32.0,,Defensive rebound by R. Westbrook,7,6
20,1,9:22.0,,S. Adams misses 2-pt layup at rim (block by R. Lopez),7,6
21,1,9:22.0,Defensive rebound by Team,,7,6
22,1,9:02.0,C. Anthony misses 2-pt jump shot from 12 ft,,7,6
23,1,9:02.0,Offensive rebound by Team,,7,6
24,1,9:02.0,,Loose ball foul by S. Adams (drawn by R. Lopez),7,6
25,1,8:58.0,J. Calderón makes 2-pt jump shot from 17 ft,,9,6
26,1,8:39.0,,R. Westbrook misses 2-pt jump shot from 14 ft,9,6
27,1,8:39.0,Defensive rebound by C. Anthony,,9,6
28,1,8:36.0,Turnover by C. Anthony (bad pass; steal by R. Westbrook),,9,6
29,1,8:32.0,,R. Westbrook misses 3-pt jump shot from 25 ft,9,6
30,1,8:31.0,Defensive rebound by C. Anthony,,9,6
31,1,8:13.0,A. Afflalo misses 2-pt layup from 1 ft,,9,6
32,1,8:12.0,,Defensive rebound by S. Ibaka,9,6
33,1,8:03.0,,D. Waiters makes 2-pt layup from 1 ft (assist by S. Ibaka),9,8
34,1,7:58.0,,Violation by Team (delay of game),9,8
35,1,7:36.0,C. Anthony misses 2-pt jump shot from 14 ft,,9,8
36,1,7:36.0,Offensive rebound by J. Calderón,,9,8
37,1,7:30.0,Turnover by C. Anthony (traveling),,9,8
38,1,7:12.0,,S. Ibaka makes 2-pt layup at rim (assist by R. Westbrook),9,10
39,1,7:01.0,J. Calderón misses 2-pt jump shot from 17 ft,,9,10
40,1,7:00.0,,Defensive rebound by A. Roberson,9,10
41,1,6:53.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),9,12
42,1,6:52.0,New York full timeout,,9,12
43,1,6:40.0,Shooting foul by S. Ibaka (drawn by K. Porziņģis),,9,12
44,1,6:40.0,K. Porziņģis misses free throw 1 of 2,,9,12
45,1,6:40.0,Offensive rebound by Team,,9,12
46,1,6:40.0,K. Porziņģis makes free throw 2 of 2,,10,12
47,1,6:33.0,,R. Westbrook misses 2-pt jump shot from 16 ft,10,12
48,1,6:33.0,Defensive rebound by C. Anthony,,10,12
49,1,6:11.0,C. Anthony misses 2-pt jump shot from 16 ft,,10,12
50,1,6:11.0,,Defensive rebound by S. Adams,10,12
51,1,5:59.0,,Turnover by D. Waiters (bad pass; steal by J. Calderón),10,12
52,1,5:53.0,C. Anthony makes 2-pt layup from 1 ft (assist by A. Afflalo),,12,12
53,1,5:29.0,,S. Adams misses 2-pt layup from 1 ft,12,12
54,1,5:29.0,Defensive rebound by J. Calderón,,12,12
55,1,5:19.0,R. Lopez misses 2-pt hook shot from 2 ft,,12,12
56,1,5:16.0,,Defensive rebound by S. Adams,12,12
57,1,5:12.0,,R. Westbrook misses 2-pt layup at rim,12,12
58,1,5:11.0,,Offensive rebound by R. Westbrook,12,12
59,1,5:08.0,,D. Waiters misses 3-pt jump shot from 24 ft,12,12
60,1,5:07.0,,Offensive rebound by A. Roberson,12,12
61,1,4:52.0,,S. Ibaka misses 2-pt layup from 1 ft (block by K. Porziņģis),12,12
62,1,4:52.0,Defensive rebound by K. Porziņģis,,12,12
63,1,4:52.0,Personal block foul by S. Adams (drawn by K. Porziņģis),,12,12
64,1,4:52.0,,E. Freedom enters the game for S. Adams,12,12
65,1,4:31.0,A. Afflalo makes 2-pt jump shot from 14 ft (assist by K. Porziņģis),,14,12
66,1,4:11.0,,D. Waiters makes 2-pt layup from 1 ft,14,14
67,1,4:00.0,C. Anthony makes 3-pt jump shot from 23 ft (assist by J. Calderón),,17,14
68,1,3:46.0,,Turnover by R. Westbrook (bad pass; steal by J. Calderón),17,14
69,1,3:28.0,C. Anthony makes 2-pt jump shot from 4 ft,,19,14
70,1,3:15.0,,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),19,16
71,1,2:56.0,A. Afflalo makes 3-pt jump shot from 22 ft (assist by J. Calderón),,22,16
72,1,2:36.0,,E. Freedom misses 2-pt jump shot from 10 ft,22,16
73,1,2:35.0,Defensive rebound by J. Calderón,,22,16
74,1,2:21.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,22,16
75,1,2:19.0,,Defensive rebound by E. Freedom,22,16
76,1,2:15.0,,Oklahoma City full timeout,22,16
77,1,2:15.0,,N. Collison enters the game for S. Ibaka,22,16
78,1,2:15.0,D. Williams enters the game for C. Anthony,,22,16
79,1,2:15.0,S. Vujačić enters the game for K. Porziņģis,,22,16
80,1,2:15.0,L. Galloway enters the game for R. Lopez,,22,16
81,1,2:15.0,K. Séraphin enters the game for A. Afflalo,,22,16
82,1,2:15.0,L. Thomas enters the game for J. Calderón,,22,16
83,1,1:59.0,,D. Waiters misses 2-pt jump shot from 17 ft,22,16
84,1,1:58.0,Defensive rebound by L. Thomas,,22,16
85,1,1:52.0,,K. Singler enters the game for A. Roberson,22,16
86,1,1:52.0,,A. Morrow enters the game for D. Waiters,22,16
87,1,1:39.0,Turnover by S. Vujačić (bad pass; steal by K. Singler),,22,16
88,1,1:30.0,,K. Singler misses 3-pt jump shot from 23 ft,22,16
89,1,1:29.0,,Offensive rebound by E. Freedom,22,16
