,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:47.0,,C. Paul makes 2-pt layup from 2 ft (assist by D. Jordan),0,2
1,1,11:27.0,,Violation by D. Jordan (def goaltending),0,2
2,1,11:27.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by B. Rush),,2,2
3,1,11:14.0,,D. Jordan misses 2-pt hook shot from 6 ft,2,2
4,1,11:12.0,Defensive rebound by D. Green,,2,2
5,1,11:08.0,B. Rush misses 2-pt layup from 3 ft,,2,2
6,1,11:06.0,,Defensive rebound by D. Jordan,2,2
7,1,10:49.0,,P. Pierce makes 2-pt jump shot from 12 ft (assist by C. Paul),2,4
8,1,10:42.0,Personal foul by J. Redick (drawn by B. Rush),,2,4
9,1,10:38.0,K. Thompson makes 2-pt jump shot from 13 ft (assist by S. Curry),,4,4
10,1,10:26.0,,J. Redick misses 3-pt jump shot from 27 ft,4,4
11,1,10:24.0,Defensive rebound by B. Rush,,4,4
12,1,10:20.0,K. Thompson misses 3-pt jump shot from 24 ft,,4,4
13,1,10:17.0,,Defensive rebound by D. Jordan,4,4
14,1,10:12.0,,C. Paul misses 2-pt jump shot from 19 ft,4,4
15,1,10:09.0,Defensive rebound by S. Curry,,4,4
16,1,10:04.0,H. Barnes makes 3-pt jump shot from 28 ft (assist by S. Curry),,7,4
17,1,9:38.0,,P. Pierce misses 3-pt jump shot from 26 ft,7,4
18,1,9:35.0,Defensive rebound by Team,,7,4
19,1,9:27.0,S. Curry makes 3-pt jump shot from 26 ft,,10,4
20,1,9:14.0,,L. Mbah a Moute misses 3-pt jump shot from 23 ft,10,4
21,1,9:11.0,Defensive rebound by D. Green,,10,4
22,1,8:59.0,D. Green misses 3-pt jump shot from 27 ft,,10,4
23,1,8:57.0,,Defensive rebound by D. Jordan,10,4
24,1,8:48.0,,J. Redick makes 2-pt jump shot from 15 ft (assist by P. Pierce),10,6
25,1,8:35.0,Personal foul by P. Pierce (drawn by S. Curry),,10,6
26,1,8:34.0,S. Curry misses 2-pt layup from 2 ft,,10,6
27,1,8:31.0,,Defensive rebound by C. Paul,10,6
28,1,8:27.0,,Personal foul by H. Barnes (drawn by C. Paul),10,6
29,1,8:16.0,,J. Redick misses 2-pt jump shot from 18 ft,10,6
30,1,8:15.0,Defensive rebound by H. Barnes,,10,6
31,1,8:07.0,Personal foul by J. Redick (drawn by D. Green),,10,6
32,1,8:07.0,,J. Crawford enters the game for J. Redick,10,6
