,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
0,1,11:45.0,K. Durant misses 3-pt jump shot from 25 ft,,0,0
1,1,11:44.0,Offensive rebound by S. Ibaka,,0,0
2,1,11:37.0,Shooting foul by M. Gasol (drawn by S. Adams),,0,0
3,1,11:37.0,S. Adams misses free throw 1 of 2,,0,0
4,1,11:37.0,Offensive rebound by Team,,0,0
5,1,11:37.0,S. Adams makes free throw 2 of 2,,1,0
6,1,11:17.0,,T. Allen misses 2-pt layup from 2 ft,1,0
7,1,11:16.0,,Offensive rebound by J. Green,1,0
8,1,11:13.0,,J. Green misses 2-pt layup at rim (block by A. Roberson),1,0
9,1,11:11.0,Defensive rebound by R. Westbrook,,1,0
10,1,10:57.0,A. Roberson misses 3-pt jump shot from 23 ft,,1,0
11,1,10:56.0,,Defensive rebound by Team,1,0
12,1,10:31.0,,J. Green misses 3-pt jump shot from 26 ft,1,0
13,1,10:31.0,,Offensive rebound by J. Green,1,0
14,1,10:27.0,,Personal foul by A. Roberson (drawn by M. Conley),1,0
15,1,10:12.0,,Z. Randolph misses 2-pt jump shot from 18 ft,1,0
16,1,10:12.0,Defensive rebound by R. Westbrook,,1,0
17,1,10:04.0,K. Durant makes 2-pt jump shot from 8 ft (assist by R. Westbrook),,3,0
18,1,9:48.0,,Turnover by T. Allen (bad pass; steal by S. Adams),3,0
19,1,9:44.0,Turnover by K. Durant (step out of bounds),,3,0
20,1,9:32.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by M. Conley),3,2
21,1,9:19.0,Personal foul by T. Allen (drawn by A. Roberson),,3,2
22,1,9:10.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),,5,2
23,1,8:52.0,,M. Gasol misses 2-pt jump shot from 6 ft,5,2
24,1,8:51.0,Defensive rebound by A. Roberson,,5,2
25,1,8:42.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,7,2
26,1,8:26.0,,M. Conley misses 2-pt jump shot from 18 ft,7,2
27,1,8:25.0,Defensive rebound by A. Roberson,,7,2
28,1,8:06.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),,9,2
29,1,7:45.0,,Z. Randolph makes 2-pt jump shot from 18 ft (assist by M. Conley),9,4
30,1,7:19.0,K. Durant misses 2-pt jump shot from 13 ft,,9,4
31,1,7:19.0,,Defensive rebound by M. Gasol,9,4
32,1,7:14.0,,J. Green makes 2-pt layup at rim,9,6
33,1,7:14.0,,Shooting foul by S. Ibaka (drawn by J. Green),9,6
34,1,7:14.0,,J. Green makes free throw 1 of 1,9,7
35,1,6:59.0,R. Westbrook misses 3-pt jump shot from 24 ft,,9,7
36,1,6:59.0,Offensive rebound by S. Adams,,9,7
37,1,6:43.0,S. Adams misses 2-pt layup from 1 ft (block by M. Gasol),,9,7
38,1,6:42.0,,Defensive rebound by Z. Randolph,9,7
39,1,6:36.0,,J. Green misses 2-pt layup at rim,9,7
40,1,6:34.0,Defensive rebound by K. Durant,,9,7
41,1,6:28.0,R. Westbrook makes 2-pt jump shot from 3 ft (assist by K. Durant),,11,7
42,1,6:11.0,,T. Allen misses 2-pt jump shot from 5 ft,11,7
43,1,6:11.0,Defensive rebound by S. Ibaka,,11,7
44,1,6:04.0,Personal foul by M. Conley (drawn by K. Durant),,11,7
45,1,5:59.0,R. Westbrook misses 2-pt jump shot from 13 ft,,11,7
46,1,5:57.0,Offensive rebound by S. Adams,,11,7
47,1,5:54.0,S. Adams misses 2-pt layup at rim,,11,7
48,1,5:54.0,,Defensive rebound by Team,11,7
49,1,5:54.0,Loose ball foul by S. Adams (drawn by Z. Randolph),,11,7
50,1,5:54.0,,Memphis full timeout,11,7
51,1,5:42.0,,Shooting foul by S. Adams (drawn by Z. Randolph),11,7
52,1,5:42.0,,Z. Randolph makes free throw 1 of 2,11,8
53,1,5:42.0,E. Freedom enters the game for S. Adams,,11,8
54,1,5:42.0,,Z. Randolph misses free throw 2 of 2,11,8
55,1,5:41.0,Defensive rebound by K. Durant,,11,8
56,1,5:26.0,Turnover by R. Westbrook (palming),,11,8
57,1,5:10.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by M. Conley),11,10
58,1,4:59.0,Shooting foul by T. Allen (drawn by R. Westbrook),,11,10
59,1,4:59.0,R. Westbrook makes free throw 1 of 2,,12,10
60,1,4:59.0,,C. Lee enters the game for T. Allen,12,10
61,1,4:59.0,R. Westbrook makes free throw 2 of 2,,13,10
62,1,4:40.0,,M. Conley misses 3-pt jump shot from 24 ft,13,10
63,1,4:39.0,,Offensive rebound by M. Gasol,13,10
64,1,4:29.0,,J. Green makes 2-pt dunk at rim (assist by M. Conley),13,12
65,1,4:18.0,Def 3 sec tech foul by M. Gasol,,13,12
66,1,4:18.0,K. Durant makes technical free throw,,14,12
67,1,4:18.0,N. Collison enters the game for A. Roberson,,14,12
68,1,4:18.0,D. Waiters enters the game for S. Ibaka,,14,12
69,1,4:18.0,,M. Barnes enters the game for Z. Randolph,14,12
70,1,4:08.0,Shooting foul by M. Barnes (drawn by E. Freedom),,14,12
71,1,4:08.0,E. Freedom misses free throw 1 of 2,,14,12
72,1,4:08.0,Offensive rebound by Team,,14,12
73,1,4:08.0,E. Freedom misses free throw 2 of 2,,14,12
74,1,4:07.0,,Defensive rebound by M. Gasol,14,12
75,1,3:52.0,,M. Gasol makes 2-pt jump shot from 6 ft (assist by J. Green),14,14
76,1,3:40.0,K. Durant makes 2-pt jump shot from 16 ft (assist by R. Westbrook),,16,14
77,1,3:26.0,,M. Gasol misses 2-pt layup from 1 ft,16,14
78,1,3:24.0,Defensive rebound by E. Freedom,,16,14
79,1,3:20.0,Shooting foul by M. Barnes (drawn by K. Durant),,16,14
80,1,3:20.0,K. Durant makes free throw 1 of 2,,17,14
81,1,3:20.0,,M. Chalmers enters the game for M. Conley,17,14
82,1,3:20.0,K. Durant makes free throw 2 of 2,,18,14
83,1,3:05.0,,Personal foul by E. Freedom (drawn by M. Gasol),18,14
84,1,3:05.0,,M. Gasol makes free throw 1 of 2,18,15
85,1,3:05.0,D. Augustin enters the game for R. Westbrook,,18,15
86,1,3:05.0,,M. Gasol makes free throw 2 of 2,18,16
87,1,2:50.0,E. Freedom misses 2-pt layup from 2 ft (block by M. Barnes),,18,16
88,1,2:50.0,Offensive rebound by Team,,18,16
89,1,2:50.0,Oklahoma City full timeout,,18,16
90,1,2:42.0,D. Augustin makes 2-pt layup from 1 ft,,20,16
91,1,2:25.0,,M. Chalmers misses 2-pt layup from 2 ft,20,16
92,1,2:25.0,Defensive rebound by E. Freedom,,20,16
93,1,2:18.0,,Violation by M. Barnes (kicked ball),20,16
94,1,2:18.0,,J. Green enters the game for J. Green,20,16
95,1,2:04.0,D. Waiters misses 2-pt jump shot from 5 ft (block by C. Lee),,20,16
96,1,2:03.0,,Defensive rebound by M. Chalmers,20,16
97,1,1:59.0,,C. Lee misses 2-pt jump shot from 17 ft,20,16
98,1,1:58.0,Defensive rebound by K. Durant,,20,16
99,1,1:48.0,N. Collison misses 2-pt jump shot from 10 ft,,20,16
100,1,1:47.0,Offensive rebound by Team,,20,16
101,1,1:43.0,Turnover by K. Durant (bad pass; steal by J. Green),,20,16
102,1,1:37.0,,C. Lee misses 2-pt layup at rim (block by N. Collison),20,16
103,1,1:36.0,Defensive rebound by K. Durant,,20,16
104,1,1:30.0,Turnover by K. Durant (bad pass; steal by M. Chalmers),,20,16
105,1,1:27.0,,Shooting foul by N. Collison (drawn by M. Chalmers),20,16
106,1,1:27.0,,M. Chalmers makes free throw 1 of 2,20,17
107,1,1:27.0,,M. Chalmers makes free throw 2 of 2,20,18
108,1,1:22.0,,Violation by M. Barnes (kicked ball),20,18
109,1,1:15.0,Personal foul by M. Barnes (drawn by K. Durant),,20,18
110,1,1:15.0,K. Durant makes free throw 1 of 2,,21,18
111,1,1:15.0,,V. Carter enters the game for M. Barnes,21,18
112,1,1:15.0,K. Durant makes free throw 2 of 2,,22,18
113,1,1:03.0,,M. Gasol misses 2-pt layup at rim,22,18
114,1,1:00.0,,Offensive rebound by J. Green,22,18
115,1,1:00.0,,J. Green makes 2-pt layup at rim,22,20
116,1,0:46.0,D. Augustin makes 3-pt jump shot from 24 ft (assist by K. Durant),,25,20
117,1,0:30.0,,M. Gasol makes 2-pt jump shot from 4 ft,25,22
118,1,0:30.0,,Shooting foul by E. Freedom (drawn by M. Gasol),25,22
119,1,0:30.0,,M. Gasol makes free throw 1 of 1,25,23
120,1,0:05.0,D. Augustin makes 3-pt jump shot from 23 ft (assist by K. Durant),,28,23
121,1,0:02.0,,Shooting foul by D. Augustin (drawn by M. Chalmers),28,23
122,1,0:02.0,,M. Chalmers makes free throw 1 of 3,28,24
123,1,0:02.0,,M. Chalmers makes free throw 2 of 3,28,25
124,1,0:02.0,,M. Chalmers misses free throw 3 of 3,28,25
125,1,0:01.0,Defensive rebound by E. Freedom,,28,25
126,1,0:00.0,E. Freedom misses 3-pt jump shot from 60 ft,,28,25
127,1,0:00.0,Offensive rebound by Team,,28,25
128,2,11:39.0,,M. Chalmers misses 3-pt jump shot from 25 ft,28,25
