,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DETROIT_ACTION,PHOENIX_SCORE,DETROIT_SCORE
0,1,11:43.0,,E. İlyasova misses 2-pt layup at rim,0,0
1,1,11:42.0,Defensive rebound by A. Len,,0,0
2,1,11:33.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,0,0
3,1,11:32.0,,Defensive rebound by M. Morris,0,0
4,1,11:12.0,,Turnover by A. Drummond (bad pass; steal by J. Leuer),0,0
5,1,10:59.0,,Violation by M. Morris (kicked ball),0,0
6,1,10:53.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,0,0
7,1,10:53.0,,Defensive rebound by M. Morris,0,0
8,1,10:45.0,,M. Morris misses 3-pt jump shot from 26 ft,0,0
9,1,10:45.0,Defensive rebound by J. Leuer,,0,0
10,1,10:24.0,P. Tucker misses 3-pt jump shot from 25 ft,,0,0
11,1,10:23.0,,Defensive rebound by K. Caldwell-Pope,0,0
12,1,10:16.0,,Shooting foul by A. Len (drawn by R. Jackson),0,0
13,1,10:16.0,,R. Jackson makes free throw 1 of 2,0,1
14,1,10:16.0,,R. Jackson makes free throw 2 of 2,0,2
15,1,10:07.0,B. Knight misses 3-pt jump shot from 26 ft,,0,2
16,1,10:06.0,Offensive rebound by A. Len,,0,2
17,1,10:03.0,Turnover by P. Tucker (lost ball; steal by R. Jackson),,0,2
18,1,9:57.0,,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),0,4
19,1,9:40.0,J. Leuer misses 2-pt hook shot from 4 ft,,0,4
20,1,9:37.0,,Defensive rebound by E. İlyasova,0,4
21,1,9:31.0,,E. İlyasova makes 2-pt layup at rim (assist by R. Jackson),0,6
22,1,9:31.0,,Shooting foul by B. Knight (drawn by E. İlyasova),0,6
23,1,9:31.0,,E. İlyasova makes free throw 1 of 1,0,7
24,1,9:12.0,B. Knight makes 2-pt jump shot from 20 ft,,2,7
25,1,9:02.0,,Shooting foul by A. Len (drawn by A. Drummond),2,7
26,1,9:02.0,,A. Drummond misses free throw 1 of 2,2,7
27,1,9:02.0,,Offensive rebound by Team,2,7
28,1,9:02.0,M. Teletović enters the game for A. Len,,2,7
29,1,9:02.0,,A. Drummond makes free throw 2 of 2,2,8
30,1,8:49.0,J. Leuer makes 2-pt layup at rim (assist by E. Bledsoe),,4,8
31,1,8:34.0,,E. İlyasova misses 3-pt jump shot from 22 ft,4,8
32,1,8:33.0,Defensive rebound by J. Leuer,,4,8
33,1,8:17.0,M. Teletović misses 3-pt jump shot from 27 ft,,4,8
34,1,8:17.0,,Defensive rebound by R. Jackson,4,8
35,1,8:12.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by R. Jackson),4,10
36,1,7:55.0,J. Leuer misses 2-pt jump shot from 22 ft,,4,10
37,1,7:54.0,,Defensive rebound by M. Morris,4,10
38,1,7:49.0,,A. Drummond misses 2-pt layup at rim,4,10
39,1,7:49.0,,Offensive rebound by E. İlyasova,4,10
40,1,7:45.0,,E. İlyasova makes 2-pt layup at rim,4,12
41,1,7:29.0,E. Bledsoe makes 2-pt jump shot from 18 ft,,6,12
42,1,7:02.0,,A. Drummond misses 2-pt hook shot from 8 ft,6,12
43,1,7:01.0,Defensive rebound by M. Teletović,,6,12
44,1,6:54.0,M. Teletović misses 3-pt jump shot from 27 ft,,6,12
45,1,6:53.0,,Defensive rebound by K. Caldwell-Pope,6,12
46,1,6:43.0,,Personal foul by M. Teletović (drawn by M. Morris),6,12
47,1,6:37.0,,Turnover by R. Jackson (lost ball; steal by P. Tucker),6,12
48,1,6:33.0,Shooting foul by E. İlyasova (drawn by B. Knight),,6,12
49,1,6:33.0,B. Knight makes free throw 1 of 2,,7,12
50,1,6:33.0,B. Knight makes free throw 2 of 2,,8,12
51,1,6:14.0,,R. Jackson misses 3-pt jump shot from 26 ft,8,12
52,1,6:13.0,,Offensive rebound by A. Drummond,8,12
53,1,6:13.0,,Shooting foul by J. Leuer (drawn by A. Drummond),8,12
54,1,6:13.0,,A. Drummond misses free throw 1 of 2,8,12
55,1,6:13.0,,Offensive rebound by Team,8,12
56,1,6:13.0,,A. Drummond makes free throw 2 of 2,8,13
57,1,5:57.0,B. Knight misses 2-pt layup at rim,,8,13
58,1,5:56.0,Offensive rebound by P. Tucker,,8,13
59,1,5:51.0,B. Knight misses 3-pt jump shot from 23 ft,,8,13
60,1,5:51.0,,Defensive rebound by A. Drummond,8,13
