,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CLEVELAND_ACTION,OKLAHOMA CITY_SCORE,CLEVELAND_SCORE
0,1,11:46.0,K. Durant misses 2-pt jump shot from 15 ft,,0,0
1,1,11:46.0,,Defensive rebound by J. Smith,0,0
2,1,11:35.0,,J. Smith misses 2-pt layup from 2 ft (block by A. Roberson),0,0
3,1,11:33.0,Defensive rebound by S. Adams,,0,0
4,1,11:30.0,R. Westbrook misses 2-pt layup at rim,,0,0
5,1,11:30.0,,Defensive rebound by Team,0,0
6,1,11:07.0,,K. Love misses 2-pt jump shot from 9 ft (block by K. Durant),0,0
7,1,11:06.0,Defensive rebound by S. Ibaka,,0,0
8,1,10:51.0,K. Durant makes 3-pt jump shot from 25 ft (assist by A. Roberson),,3,0
9,1,10:26.0,,L. James makes 3-pt jump shot from 25 ft,3,3
10,1,10:15.0,Shooting foul by J. Smith (drawn by K. Durant),,3,3
11,1,10:15.0,K. Durant makes free throw 1 of 2,,4,3
12,1,10:15.0,K. Durant makes free throw 2 of 2,,5,3
13,1,10:02.0,,K. Love misses 2-pt jump shot from 7 ft (block by A. Roberson),5,3
14,1,10:02.0,,Offensive rebound by Team,5,3
15,1,9:51.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),5,6
16,1,9:28.0,Turnover by R. Westbrook (bad pass; steal by K. Love),,5,6
17,1,9:21.0,,Personal foul by S. Adams (drawn by T. Mozgov),5,6
18,1,9:04.0,,J. Smith makes 2-pt jump shot from 21 ft,5,8
19,1,8:42.0,R. Westbrook makes 2-pt jump shot from 16 ft,,7,8
20,1,8:12.0,,J. Smith misses 2-pt jump shot from 18 ft,7,8
21,1,8:11.0,Defensive rebound by Team,,7,8
22,1,7:45.0,A. Roberson misses 2-pt jump shot from 8 ft,,7,8
23,1,7:44.0,,Defensive rebound by L. James,7,8
24,1,7:35.0,,L. James makes 3-pt jump shot from 24 ft,7,11
25,1,7:23.0,S. Ibaka misses 2-pt jump shot from 17 ft,,7,11
26,1,7:23.0,,Defensive rebound by L. James,7,11
27,1,7:10.0,,L. James misses 3-pt jump shot from 25 ft,7,11
28,1,7:09.0,,Offensive rebound by K. Love,7,11
29,1,7:08.0,,Turnover by K. Love (bad pass; steal by R. Westbrook),7,11
30,1,7:03.0,R. Westbrook misses 2-pt layup at rim,,7,11
31,1,7:03.0,Offensive rebound by S. Ibaka,,7,11
32,1,7:03.0,Shooting foul by T. Mozgov (drawn by S. Ibaka),,7,11
33,1,7:03.0,S. Ibaka makes free throw 1 of 2,,8,11
34,1,7:03.0,S. Ibaka makes free throw 2 of 2,,9,11
35,1,6:52.0,,Turnover by L. James (bad pass),9,11
36,1,6:40.0,K. Durant makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,12,11
37,1,6:20.0,,T. Mozgov makes 2-pt dunk at rim,12,13
38,1,6:02.0,R. Westbrook makes 2-pt layup at rim,,14,13
39,1,6:02.0,,Cleveland full timeout,14,13
40,1,6:02.0,,R. Jefferson enters the game for L. James,14,13
41,1,5:44.0,,K. Love makes 2-pt layup at rim (assist by M. Dellavedova),14,15
42,1,5:44.0,Violation by A. Roberson (def goaltending),,14,15
43,1,5:31.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,16,15
44,1,5:16.0,,Turnover by M. Dellavedova (bad pass),16,15
45,1,5:04.0,S. Ibaka misses 3-pt jump shot from 23 ft,,16,15
46,1,5:04.0,,Defensive rebound by Team,16,15
47,1,5:04.0,Loose ball foul by S. Adams (drawn by T. Mozgov),,16,15
48,1,4:54.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,16,15
49,1,4:53.0,Defensive rebound by R. Westbrook,,16,15
50,1,4:45.0,Shooting foul by M. Dellavedova (drawn by R. Westbrook),,16,15
51,1,4:45.0,R. Westbrook makes free throw 1 of 2,,17,15
52,1,4:45.0,D. Waiters enters the game for A. Roberson,,17,15
53,1,4:45.0,E. Freedom enters the game for S. Adams,,17,15
54,1,4:45.0,R. Westbrook makes free throw 2 of 2,,18,15
55,1,4:21.0,,M. Dellavedova misses 2-pt jump shot from 17 ft,18,15
56,1,4:21.0,,Offensive rebound by Team,18,15
57,1,4:21.0,,Turnover by Team (shot clock),18,15
58,1,4:06.0,,Violation by T. Mozgov (def goaltending),18,15
59,1,4:06.0,R. Westbrook makes 2-pt layup from 1 ft (assist by K. Durant),,20,15
60,1,3:53.0,,J. Smith misses 3-pt jump shot from 25 ft,20,15
61,1,3:52.0,Defensive rebound by E. Freedom,,20,15
62,1,3:40.0,K. Durant makes 2-pt layup from 1 ft,,22,15
63,1,3:17.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by T. Mozgov),22,18
64,1,2:56.0,S. Ibaka misses 3-pt jump shot from 23 ft,,22,18
65,1,2:55.0,,Defensive rebound by M. Dellavedova,22,18
66,1,2:46.0,,R. Jefferson misses 3-pt jump shot from 24 ft,22,18
67,1,2:46.0,Defensive rebound by E. Freedom,,22,18
68,1,2:39.0,Oklahoma City full timeout,,22,18
69,1,2:39.0,D. Augustin enters the game for S. Ibaka,,22,18
