,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,N. Vučević makes 2-pt hook shot from 9 ft,,2,0
1,1,11:25.0,,R. Covington makes 2-pt jump shot from 6 ft,2,2
2,1,11:10.0,Shooting foul by N. Noel (drawn by N. Vučević),,2,2
3,1,11:10.0,N. Vučević makes free throw 1 of 2,,3,2
4,1,11:10.0,N. Vučević makes free throw 2 of 2,,4,2
5,1,10:53.0,,I. Smith misses 2-pt jump shot from 10 ft,4,2
6,1,10:52.0,Defensive rebound by A. Gordon,,4,2
7,1,10:47.0,V. Oladipo makes 2-pt jump shot from 16 ft (assist by A. Gordon),,6,2
8,1,10:31.0,,J. Okafor makes 2-pt jump shot from 14 ft (assist by I. Smith),6,4
9,1,10:19.0,A. Gordon misses 2-pt jump shot from 1 ft,,6,4
10,1,10:18.0,Offensive rebound by A. Gordon,,6,4
11,1,10:18.0,A. Gordon misses 2-pt layup from 1 ft,,6,4
12,1,10:16.0,,Defensive rebound by R. Covington,6,4
13,1,10:06.0,,J. Okafor misses 2-pt jump shot from 4 ft,6,4
14,1,10:04.0,Defensive rebound by A. Gordon,,6,4
15,1,9:59.0,A. Gordon makes 2-pt layup from 2 ft,,8,4
16,1,9:46.0,,N. Noel misses 2-pt layup at rim,8,4
17,1,9:45.0,Defensive rebound by N. Vučević,,8,4
18,1,9:39.0,A. Gordon misses 3-pt jump shot from 27 ft,,8,4
19,1,9:38.0,,Defensive rebound by N. Noel,8,4
20,1,9:28.0,,I. Smith misses 2-pt jump shot from 6 ft,8,4
21,1,9:28.0,,Offensive rebound by Team,8,4
22,1,9:13.0,,Turnover by N. Noel (lost ball; steal by A. Gordon),8,4
23,1,9:10.0,Personal foul by I. Smith (drawn by V. Oladipo),,8,4
24,1,9:10.0,V. Oladipo makes free throw 1 of 2,,9,4
25,1,9:10.0,V. Oladipo makes free throw 2 of 2,,10,4
26,1,8:51.0,,I. Smith misses 2-pt layup from 1 ft (block by N. Vučević),10,4
27,1,8:51.0,,Offensive rebound by Team,10,4
28,1,8:50.0,,Turnover by N. Stauskas (step out of bounds),10,4
29,1,8:37.0,N. Vučević makes 2-pt jump shot from 13 ft (assist by E. Payton),,12,4
30,1,8:31.0,,Philadelphia full timeout,12,4
31,1,8:21.0,,Shooting foul by A. Gordon (drawn by N. Noel),12,4
32,1,8:21.0,,N. Noel makes free throw 1 of 2,12,5
33,1,8:21.0,,N. Noel makes free throw 2 of 2,12,6
34,1,8:11.0,Personal foul by N. Noel (drawn by N. Vučević),,12,6
35,1,8:02.0,N. Vučević makes 2-pt hook shot from 6 ft (assist by E. Payton),,14,6
36,1,7:45.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by I. Smith),14,9
37,1,7:33.0,Personal foul by I. Smith (drawn by E. Payton),,14,9
38,1,7:27.0,E. Fournier misses 2-pt jump shot from 22 ft,,14,9
39,1,7:25.0,,Defensive rebound by N. Noel,14,9
40,1,7:11.0,,T. McConnell enters the game for I. Smith,14,9
41,1,7:03.0,,N. Noel misses 2-pt layup from 2 ft (block by A. Gordon),14,9
42,1,7:01.0,Defensive rebound by N. Vučević,,14,9
43,1,6:56.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,16,9
44,1,6:56.0,Violation by Team (delay of game),,16,9
45,1,6:39.0,,N. Stauskas misses 3-pt jump shot from 23 ft,16,9
46,1,6:37.0,Defensive rebound by A. Gordon,,16,9
47,1,6:32.0,Turnover by A. Gordon (lost ball; steal by T. McConnell),,16,9
48,1,6:29.0,,Turnover by R. Covington (lost ball; steal by A. Gordon),16,9
49,1,6:28.0,,Violation by N. Noel (kicked ball),16,9
50,1,6:28.0,,H. Thompson enters the game for N. Stauskas,16,9
51,1,6:28.0,,J. Grant enters the game for N. Noel,16,9
52,1,6:18.0,N. Vučević makes 2-pt layup from 1 ft (assist by V. Oladipo),,18,9
53,1,6:01.0,,J. Okafor makes 2-pt layup at rim (assist by R. Covington),18,11
54,1,5:45.0,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),,20,11
55,1,5:36.0,,H. Thompson makes 3-pt jump shot from 23 ft (assist by T. McConnell),20,14
56,1,5:22.0,N. Vučević misses 2-pt hook shot from 7 ft,,20,14
57,1,5:21.0,,Defensive rebound by J. Grant,20,14
58,1,5:12.0,,Turnover by T. McConnell (bad pass; steal by A. Gordon),20,14
59,1,5:12.0,,Loose ball foul by J. Grant (drawn by A. Gordon),20,14
60,1,5:12.0,,I. Canaan enters the game for R. Covington,20,14
61,1,5:12.0,B. Jennings enters the game for E. Payton,,20,14
62,1,5:12.0,A. Gordon misses free throw 1 of 2,,20,14
63,1,5:12.0,Offensive rebound by Team,,20,14
64,1,5:12.0,A. Gordon makes free throw 2 of 2,,21,14
65,1,4:54.0,,J. Okafor makes 2-pt jump shot from 5 ft,21,16
66,1,4:41.0,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),,23,16
67,1,4:30.0,,J. Okafor misses 2-pt jump shot from 14 ft,23,16
68,1,4:28.0,Defensive rebound by A. Gordon,,23,16
69,1,4:21.0,N. Vučević makes 2-pt layup from 2 ft (assist by B. Jennings),,25,16
70,1,3:54.0,,I. Canaan misses 2-pt jump shot from 13 ft,25,16
71,1,3:52.0,Defensive rebound by V. Oladipo,,25,16
72,1,3:41.0,Turnover by V. Oladipo (bad pass),,25,16
73,1,3:41.0,,R. Holmes enters the game for J. Okafor,25,16
74,1,3:25.0,,H. Thompson makes 3-pt jump shot from 23 ft (assist by R. Holmes),25,19
75,1,3:10.0,E. Fournier makes 2-pt jump shot from 14 ft,,27,19
76,1,2:50.0,,I. Canaan makes 2-pt layup from 1 ft,27,21
77,1,2:49.0,Orlando full timeout,,27,21
78,1,2:49.0,E. İlyasova enters the game for A. Gordon,,27,21
79,1,2:34.0,B. Jennings makes 2-pt jump shot from 19 ft,,29,21
80,1,2:16.0,,T. McConnell makes 2-pt jump shot from 12 ft (assist by R. Holmes),29,23
