,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
0,1,11:42.0,,Turnover by J. Crowder (bad pass; steal by D. Green),0,0
1,1,11:21.0,K. Leonard misses 2-pt jump shot from 20 ft,,0,0
2,1,11:20.0,,Defensive rebound by J. Crowder,0,0
3,1,11:13.0,,Turnover by J. Crowder (traveling),0,0
4,1,11:02.0,L. Aldridge misses 2-pt jump shot from 20 ft,,0,0
5,1,11:02.0,,Defensive rebound by A. Bradley,0,0
6,1,10:52.0,,D. Lee misses 2-pt layup from 2 ft,0,0
7,1,10:51.0,Defensive rebound by D. Green,,0,0
8,1,10:27.0,K. Leonard misses 3-pt jump shot from 23 ft,,0,0
9,1,10:26.0,,Defensive rebound by D. Lee,0,0
10,1,10:08.0,,D. Lee misses 2-pt jump shot from 18 ft,0,0
11,1,10:07.0,Defensive rebound by T. Duncan,,0,0
12,1,9:56.0,T. Parker misses 2-pt jump shot from 19 ft,,0,0
13,1,9:55.0,,Defensive rebound by A. Bradley,0,0
14,1,9:45.0,,A. Bradley misses 2-pt layup from 2 ft,0,0
15,1,9:44.0,Defensive rebound by Team,,0,0
16,1,9:27.0,Turnover by L. Aldridge (traveling),,0,0
17,1,9:17.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by T. Zeller),0,2
18,1,8:57.0,Shooting foul by J. Crowder (drawn by L. Aldridge),,0,2
19,1,8:57.0,L. Aldridge misses free throw 1 of 2,,0,2
20,1,8:57.0,Offensive rebound by Team,,0,2
21,1,8:57.0,L. Aldridge makes free throw 2 of 2,,1,2
22,1,8:41.0,,Turnover by T. Zeller (lost ball; steal by D. Green),1,2
23,1,8:24.0,K. Leonard makes 2-pt layup from 1 ft (assist by L. Aldridge),,3,2
24,1,8:08.0,,T. Zeller misses 2-pt hook shot from 6 ft,3,2
25,1,8:06.0,Defensive rebound by D. Green,,3,2
26,1,7:56.0,D. Green misses 3-pt jump shot from 23 ft,,3,2
27,1,7:55.0,,Defensive rebound by T. Zeller,3,2
28,1,7:49.0,,A. Bradley misses 3-pt jump shot from 23 ft,3,2
29,1,7:48.0,Defensive rebound by L. Aldridge,,3,2
30,1,7:34.0,L. Aldridge misses 3-pt jump shot from 24 ft,,3,2
31,1,7:32.0,Offensive rebound by T. Duncan,,3,2
32,1,7:16.0,Turnover by Team (back court),,3,2
33,1,7:07.0,,A. Bradley misses 2-pt jump shot from 18 ft (block by D. Green),3,2
34,1,7:07.0,Defensive rebound by Team,,3,2
35,1,7:07.0,,Loose ball foul by A. Bradley (drawn by D. Green),3,2
36,1,6:56.0,,I. Thomas enters the game for M. Smart,3,2
37,1,6:49.0,T. Parker makes 2-pt jump shot from 11 ft,,5,2
38,1,6:33.0,,T. Zeller misses 2-pt jump shot from 15 ft,5,2
39,1,6:32.0,Defensive rebound by T. Duncan,,5,2
40,1,6:21.0,K. Leonard makes 2-pt jump shot from 11 ft,,7,2
41,1,6:07.0,,D. Lee makes 2-pt layup from 2 ft (assist by A. Bradley),7,4
42,1,5:53.0,L. Aldridge misses 2-pt jump shot from 19 ft,,7,4
43,1,5:52.0,,Defensive rebound by J. Crowder,7,4
44,1,5:42.0,,A. Bradley misses 2-pt jump shot from 18 ft,7,4
45,1,5:41.0,Defensive rebound by T. Parker,,7,4
46,1,5:33.0,D. Green misses 3-pt jump shot from 24 ft,,7,4
47,1,5:33.0,,Defensive rebound by D. Lee,7,4
48,1,5:32.0,,Boston full timeout,7,4
49,1,5:32.0,,E. Turner enters the game for J. Crowder,7,4
50,1,5:32.0,,J. Sullinger enters the game for T. Zeller,7,4
51,1,5:32.0,B. Diaw enters the game for T. Duncan,,7,4
52,1,5:32.0,P. Mills enters the game for D. Green,,7,4
53,1,5:32.0,M. Ginóbili enters the game for T. Parker,,7,4
54,1,5:19.0,,I. Thomas misses 2-pt jump shot from 19 ft,7,4
55,1,5:18.0,Defensive rebound by L. Aldridge,,7,4
56,1,5:07.0,K. Leonard misses 2-pt jump shot from 12 ft,,7,4
57,1,5:07.0,,Defensive rebound by J. Sullinger,7,4
58,1,5:01.0,,A. Bradley misses 2-pt layup from 2 ft,7,4
59,1,4:59.0,,Offensive rebound by A. Bradley,7,4
60,1,4:59.0,,A. Bradley makes 2-pt layup at rim,7,6
61,1,4:49.0,Turnover by P. Mills (bad pass; steal by J. Sullinger),,7,6
62,1,4:39.0,,I. Thomas misses 2-pt jump shot from 10 ft,7,6
63,1,4:38.0,Defensive rebound by P. Mills,,7,6
64,1,4:32.0,Personal foul by E. Turner (drawn by K. Leonard),,7,6
65,1,4:32.0,,A. Johnson enters the game for D. Lee,7,6
66,1,4:17.0,P. Mills makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,10,6
67,1,4:02.0,,A. Johnson misses 2-pt layup from 1 ft,10,6
68,1,4:01.0,Defensive rebound by L. Aldridge,,10,6
69,1,3:44.0,K. Leonard makes 2-pt jump shot from 4 ft,,12,6
70,1,3:26.0,,E. Turner misses 3-pt jump shot from 23 ft,12,6
71,1,3:25.0,,Offensive rebound by J. Sullinger,12,6
72,1,3:20.0,,I. Thomas makes 2-pt layup from 1 ft (assist by J. Sullinger),12,8
73,1,3:20.0,,Shooting foul by L. Aldridge (drawn by I. Thomas),12,8
74,1,3:20.0,,J. Jerebko enters the game for A. Bradley,12,8
75,1,3:20.0,,I. Thomas makes free throw 1 of 1,12,9
76,1,3:05.0,L. Aldridge makes 2-pt jump shot from 14 ft (assist by P. Mills),,14,9
77,1,2:49.0,,Turnover by J. Sullinger (bad pass),14,9
78,1,2:49.0,San Antonio full timeout,,14,9
79,1,2:49.0,T. Duncan enters the game for K. Leonard,,14,9
80,1,2:49.0,K. Anderson enters the game for L. Aldridge,,14,9
