,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
0,1,11:44.0,,P. Gasol misses 2-pt jump shot from 18 ft,0,0
1,1,11:42.0,Defensive rebound by J. Clarkson,,0,0
2,1,11:27.0,K. Bryant misses 2-pt jump shot from 21 ft,,0,0
3,1,11:26.0,,Defensive rebound by P. Gasol,0,0
4,1,11:22.0,,D. Rose makes 2-pt layup from 1 ft,0,2
5,1,11:10.0,D. Russell misses 2-pt jump shot from 15 ft,,0,2
6,1,11:09.0,,Defensive rebound by T. Gibson,0,2
7,1,11:01.0,,Turnover by T. Gibson (lost ball; steal by D. Russell),0,2
8,1,10:58.0,J. Clarkson makes 2-pt layup from 1 ft (assist by D. Russell),,2,2
9,1,10:41.0,,Shooting foul by R. Hibbert (drawn by P. Gasol),2,2
10,1,10:41.0,,P. Gasol makes free throw 1 of 2,2,3
11,1,10:41.0,,P. Gasol makes free throw 2 of 2,2,4
12,1,10:19.0,J. Clarkson misses 2-pt jump shot from 13 ft,,2,4
13,1,10:18.0,Offensive rebound by J. Clarkson,,2,4
14,1,10:09.0,J. Randle makes 2-pt jump shot from 11 ft,,4,4
15,1,10:01.0,,E. Moore misses 2-pt jump shot from 5 ft,4,4
16,1,9:59.0,Defensive rebound by R. Hibbert,,4,4
17,1,9:52.0,J. Randle misses 2-pt jump shot from 12 ft,,4,4
18,1,9:52.0,Offensive rebound by Team,,4,4
19,1,9:44.0,K. Bryant makes 3-pt jump shot from 24 ft (assist by D. Russell),,7,4
20,1,9:34.0,,Shooting foul by K. Bryant (drawn by M. Dunleavy),7,4
21,1,9:34.0,,M. Dunleavy makes free throw 1 of 3,7,5
22,1,9:34.0,,M. Dunleavy makes free throw 2 of 3,7,6
23,1,9:34.0,,M. Dunleavy makes free throw 3 of 3,7,7
24,1,9:20.0,R. Hibbert makes 2-pt jump shot from 19 ft (assist by J. Clarkson),,9,7
