,QUARTER,TIME_REMAINING,TORONTO_ACTION,INDIANA_ACTION,TORONTO_SCORE,INDIANA_SCORE
0,1,11:43.0,L. Scola makes 3-pt jump shot from 23 ft (assist by K. Lowry),,3,0
1,1,11:31.0,,M. Turner makes 2-pt layup from 1 ft (assist by M. Ellis),3,2
2,1,11:31.0,,Shooting foul by K. Lowry (drawn by M. Turner),3,2
3,1,11:31.0,,M. Turner makes free throw 1 of 1,3,3
4,1,11:15.0,Turnover by K. Lowry (bad pass; steal by M. Ellis),,3,3
5,1,11:06.0,,P. George makes 2-pt jump shot from 16 ft,3,5
6,1,10:53.0,B. Biyombo makes 2-pt layup from 3 ft (assist by D. DeRozan),,5,5
7,1,10:53.0,Shooting foul by M. Turner (drawn by B. Biyombo),,5,5
8,1,10:53.0,B. Biyombo makes free throw 1 of 1,,6,5
9,1,10:34.0,,J. Hill makes 2-pt hook shot from 5 ft,6,7
10,1,10:21.0,Turnover by K. Lowry (bad pass),,6,7
11,1,10:09.0,,Shooting foul by L. Scola (drawn by P. George),6,7
12,1,10:09.0,,P. George makes free throw 1 of 2,6,8
13,1,10:09.0,,P. George misses free throw 2 of 2,6,8
14,1,10:09.0,Defensive rebound by B. Biyombo,,6,8
15,1,9:49.0,L. Scola misses 2-pt hook shot from 4 ft,,6,8
16,1,9:49.0,,Defensive rebound by J. Hill,6,8
17,1,9:42.0,,G. Hill makes 2-pt jump shot from 5 ft,6,10
18,1,9:26.0,N. Powell misses 2-pt jump shot from 8 ft,,6,10
19,1,9:26.0,,Defensive rebound by M. Ellis,6,10
20,1,9:20.0,,P. George misses 3-pt jump shot from 25 ft,6,10
21,1,9:19.0,Defensive rebound by B. Biyombo,,6,10
22,1,9:09.0,D. DeRozan misses 2-pt layup from 3 ft,,6,10
23,1,9:08.0,,Defensive rebound by J. Hill,6,10
24,1,9:04.0,Offensive charge foul by M. Turner (drawn by L. Scola),,6,10
25,1,9:04.0,,Turnover by M. Turner (offensive foul),6,10
26,1,9:04.0,,L. Allen enters the game for M. Turner,6,10
27,1,8:45.0,L. Scola misses 2-pt jump shot from 8 ft,,6,10
28,1,8:44.0,Offensive rebound by B. Biyombo,,6,10
29,1,8:38.0,K. Lowry misses 2-pt layup from 2 ft,,6,10
30,1,8:36.0,,Defensive rebound by L. Allen,6,10
31,1,8:34.0,,Turnover by L. Allen (bad pass),6,10
32,1,8:17.0,K. Lowry misses 3-pt jump shot from 26 ft,,6,10
33,1,8:16.0,Offensive rebound by N. Powell,,6,10
34,1,8:13.0,N. Powell misses 2-pt layup at rim,,6,10
35,1,8:12.0,,Defensive rebound by J. Hill,6,10
36,1,8:07.0,,Turnover by M. Ellis (bad pass),6,10
37,1,7:50.0,Shooting foul by M. Ellis (drawn by D. DeRozan),,6,10
38,1,7:50.0,D. DeRozan makes free throw 1 of 2,,7,10
39,1,7:50.0,D. DeRozan makes free throw 2 of 2,,8,10
40,1,7:34.0,,J. Hill misses 2-pt jump shot from 14 ft,8,10
41,1,7:34.0,Defensive rebound by B. Biyombo,,8,10
42,1,7:18.0,L. Scola misses 3-pt jump shot from 25 ft,,8,10
43,1,7:18.0,,Defensive rebound by P. George,8,10
44,1,7:01.0,Offensive charge foul by L. Allen (drawn by L. Scola),,8,10
45,1,7:01.0,,Turnover by L. Allen (offensive foul),8,10
46,1,6:43.0,L. Scola makes 2-pt hook shot from 8 ft,,10,10
47,1,6:27.0,,P. George misses 2-pt jump shot from 15 ft,10,10
48,1,6:25.0,Defensive rebound by K. Lowry,,10,10
49,1,6:20.0,N. Powell makes 2-pt dunk from 2 ft (assist by K. Lowry),,12,10
50,1,6:15.0,,Indiana full timeout,12,10
51,1,5:58.0,,P. George misses 2-pt jump shot from 19 ft,12,10
52,1,5:58.0,Defensive rebound by K. Lowry,,12,10
53,1,5:42.0,L. Scola makes 2-pt jump shot from 5 ft (assist by D. DeRozan),,14,10
54,1,5:29.0,,G. Hill misses 3-pt jump shot from 24 ft,14,10
55,1,5:28.0,Defensive rebound by Team,,14,10
56,1,5:04.0,L. Scola misses 2-pt hook shot from 7 ft,,14,10
57,1,5:04.0,,Defensive rebound by L. Allen,14,10
58,1,4:51.0,,J. Hill misses 2-pt jump shot from 11 ft,14,10
59,1,4:50.0,Defensive rebound by B. Biyombo,,14,10
60,1,4:44.0,K. Lowry makes 3-pt jump shot from 26 ft,,17,10
61,1,4:28.0,,M. Ellis misses 2-pt jump shot from 19 ft,17,10
62,1,4:28.0,,Offensive rebound by Team,17,10
63,1,4:28.0,Loose ball foul by L. Scola,,17,10
64,1,4:28.0,P. Patterson enters the game for L. Scola,,17,10
65,1,4:24.0,Violation by K. Lowry (kicked ball),,17,10
66,1,4:14.0,,Personal foul by N. Powell,17,10
67,1,4:07.0,,J. Hill makes 2-pt jump shot from 12 ft (assist by L. Allen),17,12
68,1,3:54.0,Turnover by K. Lowry (bad pass; steal by M. Ellis),,17,12
69,1,3:47.0,,G. Hill misses 2-pt layup from 1 ft (block by B. Biyombo),17,12
70,1,3:47.0,Defensive rebound by N. Powell,,17,12
71,1,3:42.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by N. Powell),,20,12
72,1,3:32.0,,Personal foul by P. Patterson,20,12
73,1,3:32.0,,P. George misses free throw 1 of 2,20,12
74,1,3:32.0,,Offensive rebound by Team,20,12
75,1,3:32.0,,R. Stuckey enters the game for G. Hill,20,12
76,1,3:32.0,,P. George makes free throw 2 of 2,20,13
77,1,3:21.0,K. Lowry misses 2-pt jump shot from 15 ft,,20,13
78,1,3:21.0,Offensive rebound by B. Biyombo,,20,13
79,1,3:19.0,Personal foul by L. Allen,,20,13
80,1,3:19.0,,S. Hill enters the game for L. Allen,20,13
81,1,3:05.0,B. Biyombo makes 2-pt dunk from 2 ft (assist by K. Lowry),,22,13
82,1,2:47.0,,Personal foul by N. Powell,22,13
83,1,2:47.0,Toronto full timeout,,22,13
84,1,2:47.0,C. Joseph enters the game for B. Biyombo,,22,13
85,1,2:47.0,T. Ross enters the game for N. Powell,,22,13
86,1,2:47.0,J. Thompson enters the game for K. Lowry,,22,13
87,1,2:47.0,,R. Stuckey makes free throw 1 of 2,22,14
88,1,2:47.0,,R. Stuckey misses free throw 2 of 2,22,14
89,1,2:46.0,Defensive rebound by T. Ross,,22,14
90,1,2:34.0,Shooting foul by P. George (drawn by J. Thompson),,22,14
91,1,2:34.0,J. Thompson makes free throw 1 of 2,,23,14
92,1,2:34.0,J. Thompson makes free throw 2 of 2,,24,14
