,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
0,1,11:43.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,0,0
1,1,11:42.0,Defensive rebound by T. Sefolosha,,0,0
2,1,11:29.0,A. Horford makes 2-pt dunk at rim (assist by P. Millsap),,2,0
3,1,11:10.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,2,0
4,1,11:09.0,Defensive rebound by J. Teague,,2,0
5,1,11:01.0,A. Horford misses 3-pt jump shot from 24 ft,,2,0
6,1,11:01.0,,Defensive rebound by Team,2,0
7,1,10:43.0,,W. Matthews misses 3-pt jump shot from 24 ft,2,0
8,1,10:42.0,Defensive rebound by P. Millsap,,2,0
9,1,10:30.0,A. Horford misses 2-pt jump shot from 16 ft,,2,0
10,1,10:29.0,,Defensive rebound by W. Matthews,2,0
11,1,10:19.0,,D. Williams misses 2-pt layup from 1 ft (block by A. Horford),2,0
12,1,10:17.0,Defensive rebound by A. Horford,,2,0
13,1,10:08.0,J. Teague misses 2-pt jump shot from 10 ft,,2,0
14,1,10:07.0,,Defensive rebound by Z. Pachulia,2,0
15,1,9:49.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,2,0
16,1,9:49.0,Defensive rebound by A. Horford,,2,0
17,1,9:40.0,Turnover by K. Korver (bad pass),,2,0
18,1,9:19.0,,D. Williams makes 3-pt jump shot from 22 ft (assist by R. Felton),2,3
19,1,9:12.0,Personal block foul by D. Williams (drawn by J. Teague),,2,3
20,1,9:01.0,K. Korver misses 3-pt jump shot from 27 ft,,2,3
21,1,9:00.0,Offensive rebound by A. Horford,,2,3
22,1,8:57.0,A. Horford makes 2-pt dunk at rim,,4,3
23,1,8:37.0,,Z. Pachulia makes 2-pt layup at rim (assist by D. Williams),4,5
24,1,8:15.0,T. Sefolosha makes 3-pt jump shot from 24 ft (assist by A. Horford),,7,5
25,1,8:03.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Williams),7,8
26,1,7:44.0,P. Millsap misses 2-pt jump shot from 7 ft (block by W. Matthews),,7,8
27,1,7:43.0,,Defensive rebound by Z. Pachulia,7,8
28,1,7:41.0,,Turnover by Z. Pachulia (lost ball; steal by P. Millsap),7,8
29,1,7:36.0,J. Teague makes 3-pt jump shot from 24 ft (assist by P. Millsap),,10,8
30,1,7:20.0,,R. Felton misses 2-pt jump shot from 20 ft,10,8
31,1,7:19.0,Defensive rebound by K. Korver,,10,8
32,1,7:02.0,A. Horford misses 2-pt jump shot from 10 ft,,10,8
33,1,7:00.0,,Defensive rebound by Z. Pachulia,10,8
34,1,6:53.0,,D. Williams makes 2-pt layup from 2 ft,10,10
35,1,6:36.0,K. Korver misses 3-pt jump shot from 23 ft,,10,10
36,1,6:35.0,,Defensive rebound by D. Nowitzki,10,10
37,1,6:25.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by W. Matthews),10,12
38,1,6:24.0,Atlanta full timeout,,10,12
39,1,6:24.0,,C. Parsons enters the game for D. Nowitzki,10,12
40,1,6:24.0,,D. Powell enters the game for R. Felton,10,12
41,1,6:24.0,M. Muscala enters the game for A. Horford,,10,12
42,1,6:10.0,J. Teague misses 2-pt jump shot from 17 ft,,10,12
43,1,6:10.0,,Defensive rebound by C. Parsons,10,12
44,1,5:54.0,,C. Parsons misses 2-pt layup from 2 ft (block by M. Muscala),10,12
45,1,5:52.0,Defensive rebound by P. Millsap,,10,12
46,1,5:40.0,Turnover by K. Korver (bad pass; steal by Z. Pachulia),,10,12
47,1,5:28.0,,W. Matthews misses 2-pt jump shot from 12 ft,10,12
48,1,5:27.0,Defensive rebound by M. Muscala,,10,12
49,1,5:14.0,P. Millsap misses 3-pt jump shot from 22 ft,,10,12
50,1,5:13.0,,Defensive rebound by Z. Pachulia,10,12
51,1,5:03.0,,D. Powell makes 2-pt layup from 1 ft (assist by Z. Pachulia),10,14
52,1,4:45.0,M. Muscala makes 2-pt jump shot from 20 ft (assist by K. Korver),,12,14
53,1,4:31.0,,D. Powell misses 3-pt jump shot from 25 ft,12,14
54,1,4:30.0,Defensive rebound by T. Sefolosha,,12,14
55,1,4:23.0,P. Millsap makes 2-pt layup at rim (assist by T. Sefolosha),,14,14
56,1,4:07.0,,W. Matthews makes 2-pt layup from 1 ft (assist by D. Williams),14,16
57,1,3:52.0,M. Muscala makes 2-pt hook shot from 2 ft (assist by J. Teague),,16,16
58,1,3:41.0,,Shooting foul by K. Korver (drawn by W. Matthews),16,16
59,1,3:41.0,,W. Matthews makes free throw 1 of 3,16,17
60,1,3:41.0,,W. Matthews makes free throw 2 of 3,16,18
61,1,3:41.0,K. Bazemore enters the game for T. Sefolosha,,16,18
62,1,3:41.0,D. Schröder enters the game for J. Teague,,16,18
63,1,3:41.0,,W. Matthews makes free throw 3 of 3,16,19
