,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,M. Gortat makes 2-pt jump shot from 16 ft (assist by J. Wall),0,2
1,1,11:21.0,T. Duncan misses 2-pt jump shot from 14 ft,,0,2
2,1,11:19.0,,Defensive rebound by K. Humphries,0,2
3,1,11:09.0,,K. Humphries makes 2-pt jump shot from 3 ft (assist by J. Wall),0,4
4,1,10:51.0,L. Aldridge misses 2-pt jump shot from 18 ft,,0,4
5,1,10:50.0,Offensive rebound by T. Duncan,,0,4
6,1,10:40.0,Turnover by T. Parker (bad pass; steal by B. Beal),,0,4
7,1,10:34.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),0,7
8,1,10:34.0,San Antonio full timeout,,0,7
9,1,10:16.0,Personal block foul by M. Gortat (drawn by K. Leonard),,0,7
10,1,10:13.0,T. Parker misses 2-pt jump shot from 6 ft (block by M. Gortat),,0,7
11,1,10:11.0,,Defensive rebound by K. Humphries,0,7
12,1,10:02.0,,J. Wall misses 2-pt layup from 1 ft,0,7
13,1,10:01.0,Defensive rebound by T. Duncan,,0,7
14,1,9:55.0,Shooting foul by M. Gortat (drawn by T. Parker),,0,7
15,1,9:55.0,T. Parker makes free throw 1 of 2,,1,7
16,1,9:55.0,,N. Hilário enters the game for M. Gortat,1,7
17,1,9:55.0,T. Parker makes free throw 2 of 2,,2,7
18,1,9:46.0,,Personal foul by K. Leonard (drawn by K. Humphries),2,7
19,1,9:30.0,,O. Porter makes 2-pt jump shot from 17 ft (assist by B. Beal),2,9
20,1,9:05.0,D. Green misses 3-pt jump shot from 26 ft,,2,9
21,1,9:04.0,,Defensive rebound by N. Hilário,2,9
22,1,8:51.0,,N. Hilário makes 2-pt jump shot from 18 ft,2,11
23,1,8:33.0,K. Leonard misses 3-pt jump shot from 25 ft,,2,11
24,1,8:33.0,,Defensive rebound by N. Hilário,2,11
25,1,8:29.0,,Shooting foul by T. Duncan (drawn by O. Porter),2,11
26,1,8:29.0,,O. Porter makes free throw 1 of 2,2,12
27,1,8:29.0,,O. Porter makes free throw 2 of 2,2,13
28,1,8:08.0,T. Parker misses 2-pt jump shot from 18 ft,,2,13
29,1,8:07.0,,Defensive rebound by O. Porter,2,13
30,1,7:59.0,,O. Porter makes 2-pt layup at rim (assist by J. Wall),2,15
31,1,7:31.0,D. Green misses 3-pt jump shot from 23 ft,,2,15
32,1,7:29.0,,Defensive rebound by K. Humphries,2,15
33,1,7:23.0,,B. Beal makes 2-pt jump shot from 9 ft (assist by J. Wall),2,17
34,1,7:13.0,K. Leonard misses 2-pt jump shot from 14 ft,,2,17
35,1,7:12.0,,Defensive rebound by B. Beal,2,17
36,1,7:09.0,,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),2,19
37,1,6:51.0,K. Leonard makes 2-pt layup from 1 ft (assist by T. Duncan),,4,19
38,1,6:32.0,,K. Humphries misses 3-pt jump shot from 27 ft,4,19
39,1,6:31.0,Defensive rebound by T. Duncan,,4,19
40,1,6:12.0,T. Parker makes 2-pt jump shot from 20 ft (assist by T. Duncan),,6,19
41,1,5:48.0,,K. Humphries misses 3-pt jump shot from 23 ft,6,19
42,1,5:47.0,Defensive rebound by T. Duncan,,6,19
