,QUARTER,TIME_REMAINING,ATLANTA_ACTION,UTAH_ACTION,ATLANTA_SCORE,UTAH_SCORE
0,1,11:48.0,,D. Favors makes 2-pt dunk at rim (assist by R. Gobert),0,2
1,1,11:30.0,K. Bazemore misses 2-pt layup from 2 ft (block by G. Hayward),,0,2
2,1,11:29.0,,Defensive rebound by R. Gobert,0,2
3,1,11:20.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by S. Mack),0,5
4,1,10:59.0,J. Teague makes 2-pt jump shot from 16 ft,,2,5
5,1,10:43.0,,S. Mack misses 2-pt jump shot from 8 ft,2,5
6,1,10:42.0,,Offensive rebound by R. Gobert,2,5
7,1,10:41.0,,R. Gobert misses 2-pt layup from 1 ft,2,5
8,1,10:40.0,,Offensive rebound by R. Gobert,2,5
9,1,10:32.0,,R. Hood misses 2-pt jump shot from 3 ft,2,5
10,1,10:32.0,,Offensive rebound by Team,2,5
11,1,10:26.0,,D. Favors makes 2-pt layup from 2 ft (assist by S. Mack),2,7
12,1,10:26.0,,Shooting foul by P. Millsap (drawn by D. Favors),2,7
13,1,10:26.0,,D. Favors makes free throw 1 of 1,2,8
14,1,10:12.0,Turnover by K. Bazemore (step out of bounds),,2,8
15,1,9:50.0,,R. Hood misses 2-pt jump shot from 3 ft,2,8
16,1,9:49.0,Defensive rebound by P. Millsap,,2,8
17,1,9:43.0,J. Teague misses 2-pt layup from 2 ft,,2,8
18,1,9:42.0,,Defensive rebound by S. Mack,2,8
19,1,9:26.0,,S. Mack misses 2-pt jump shot from 4 ft,2,8
20,1,9:26.0,Defensive rebound by K. Korver,,2,8
21,1,9:15.0,P. Millsap makes 2-pt jump shot from 18 ft,,4,8
22,1,8:59.0,,G. Hayward misses 3-pt jump shot from 24 ft,4,8
23,1,8:58.0,Defensive rebound by K. Korver,,4,8
24,1,8:45.0,J. Teague misses 2-pt jump shot from 16 ft,,4,8
25,1,8:45.0,,Defensive rebound by Team,4,8
26,1,8:26.0,,R. Hood misses 3-pt jump shot from 23 ft,4,8
27,1,8:24.0,Defensive rebound by J. Teague,,4,8
28,1,8:17.0,K. Bazemore misses 3-pt jump shot from 24 ft,,4,8
29,1,8:16.0,,Defensive rebound by R. Gobert,4,8
30,1,7:58.0,,G. Hayward makes 2-pt jump shot from 16 ft,4,10
31,1,7:46.0,P. Millsap misses 2-pt dunk at rim,,4,10
32,1,7:46.0,,Defensive rebound by S. Mack,4,10
33,1,7:42.0,,Turnover by S. Mack (bad pass),4,10
34,1,7:42.0,Atlanta full timeout,,4,10
35,1,7:24.0,P. Millsap makes 2-pt jump shot from 10 ft (assist by J. Teague),,6,10
36,1,7:05.0,,D. Favors misses 2-pt jump shot from 4 ft,6,10
37,1,7:05.0,Defensive rebound by A. Horford,,6,10
38,1,6:55.0,Turnover by P. Millsap (lost ball; steal by R. Gobert),,6,10
39,1,6:38.0,,G. Hayward makes 2-pt layup from 2 ft,6,12
40,1,6:21.0,Shooting foul by D. Favors (drawn by P. Millsap),,6,12
41,1,6:21.0,P. Millsap makes free throw 1 of 2,,7,12
42,1,6:21.0,K. Humphries enters the game for A. Horford,,7,12
43,1,6:21.0,T. Sefolosha enters the game for K. Bazemore,,7,12
44,1,6:21.0,P. Millsap misses free throw 2 of 2,,7,12
45,1,6:20.0,,Defensive rebound by R. Gobert,7,12
46,1,5:57.0,,S. Mack makes 3-pt jump shot from 23 ft (assist by G. Hayward),7,15
47,1,5:49.0,J. Teague misses 2-pt layup from 1 ft (block by D. Favors),,7,15
48,1,5:48.0,,Defensive rebound by D. Favors,7,15
49,1,5:31.0,,Turnover by S. Mack (bad pass; steal by P. Millsap),7,15
50,1,5:24.0,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Teague),,10,15
51,1,5:11.0,,R. Neto enters the game for S. Mack,10,15
52,1,5:11.0,,J. Ingles enters the game for R. Hood,10,15
53,1,5:11.0,D. Schröder enters the game for J. Teague,,10,15
54,1,5:11.0,,T. Booker enters the game for D. Favors,10,15
55,1,5:11.0,M. Scott enters the game for P. Millsap,,10,15
56,1,5:01.0,,R. Gobert makes 2-pt layup from 2 ft,10,17
57,1,4:39.0,D. Schröder misses 2-pt jump shot from 16 ft,,10,17
58,1,4:38.0,,Defensive rebound by R. Gobert,10,17
59,1,4:28.0,,Personal foul by M. Scott,10,17
60,1,4:28.0,T. Hardaway enters the game for K. Korver,,10,17
61,1,4:20.0,,T. Booker makes 2-pt layup from 1 ft (assist by R. Neto),10,19
62,1,4:08.0,Turnover by T. Sefolosha (bad pass; steal by J. Ingles),,10,19
63,1,4:01.0,,Turnover by R. Gobert (lost ball),10,19
64,1,3:47.0,K. Humphries makes 2-pt jump shot from 19 ft (assist by D. Schröder),,12,19
