,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:47.0,,C. McCollum misses 3-pt jump shot from 23 ft,0,0
1,1,11:46.0,Defensive rebound by E. Bledsoe,,0,0
2,1,11:25.0,T. Chandler makes 2-pt dunk at rim (assist by M. Morris),,2,0
3,1,10:56.0,,A. Aminu makes 2-pt jump shot from 17 ft (assist by M. Plumlee),2,2
4,1,10:41.0,M. Morris misses 2-pt hook shot from 5 ft,,2,2
5,1,10:41.0,,Defensive rebound by A. Aminu,2,2
6,1,10:34.0,,D. Lillard makes 2-pt layup at rim (assist by A. Aminu),2,4
7,1,10:23.0,B. Knight makes 3-pt jump shot from 24 ft (assist by T. Chandler),,5,4
8,1,10:02.0,,A. Aminu misses 2-pt jump shot from 20 ft,5,4
9,1,10:02.0,Defensive rebound by T. Chandler,,5,4
10,1,9:51.0,Turnover by T. Chandler (lost ball; steal by M. Leonard),,5,4
11,1,9:47.0,,Shooting foul by M. Morris (drawn by A. Aminu),5,4
12,1,9:47.0,,A. Aminu makes free throw 1 of 2,5,5
13,1,9:47.0,,A. Aminu makes free throw 2 of 2,5,6
14,1,9:31.0,M. Morris misses 2-pt layup from 2 ft (block by M. Leonard),,5,6
15,1,9:30.0,,Defensive rebound by C. McCollum,5,6
16,1,9:25.0,,C. McCollum makes 2-pt jump shot from 15 ft,5,8
17,1,9:10.0,Turnover by M. Morris (traveling),,5,8
18,1,9:10.0,Violation by Team (jump ball),,5,8
19,1,8:56.0,,A. Aminu misses 2-pt jump shot from 20 ft,5,8
20,1,8:55.0,Defensive rebound by B. Knight,,5,8
21,1,8:47.0,Shooting foul by A. Aminu (drawn by E. Bledsoe),,5,8
22,1,8:47.0,E. Bledsoe makes free throw 1 of 2,,6,8
23,1,8:47.0,E. Bledsoe makes free throw 2 of 2,,7,8
24,1,8:28.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),7,11
25,1,8:02.0,M. Morris misses 2-pt jump shot from 20 ft,,7,11
26,1,8:01.0,,Defensive rebound by M. Plumlee,7,11
27,1,7:49.0,,M. Leonard misses 3-pt jump shot from 24 ft,7,11
28,1,7:48.0,Defensive rebound by P. Tucker,,7,11
29,1,7:39.0,B. Knight makes 2-pt jump shot from 5 ft,,9,11
30,1,7:31.0,,Turnover by D. Lillard (bad pass; steal by B. Knight),9,11
31,1,7:29.0,Shooting foul by D. Lillard (drawn by B. Knight),,9,11
32,1,7:29.0,B. Knight misses free throw 1 of 2,,9,11
33,1,7:29.0,Offensive rebound by Team,,9,11
34,1,7:29.0,B. Knight makes free throw 2 of 2,,10,11
35,1,7:12.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),10,13
36,1,6:56.0,M. Morris makes 3-pt jump shot from 24 ft (assist by B. Knight),,13,13
37,1,6:30.0,,C. McCollum misses 3-pt jump shot from 24 ft,13,13
38,1,6:30.0,,Offensive rebound by C. McCollum,13,13
39,1,6:26.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),13,16
40,1,6:15.0,E. Bledsoe makes 2-pt jump shot from 19 ft,,15,16
41,1,5:57.0,,D. Lillard makes 2-pt jump shot from 9 ft,15,18
42,1,5:55.0,,Technical foul by M. Plumlee,15,18
43,1,5:55.0,Technical foul by T. Chandler,,15,18
44,1,5:55.0,,Portland full timeout,15,18
45,1,5:39.0,M. Morris makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,18,18
46,1,5:12.0,,A. Aminu misses 2-pt layup from 2 ft (block by T. Chandler),18,18
47,1,5:11.0,Defensive rebound by M. Morris,,18,18
48,1,5:05.0,T. Chandler makes 2-pt dunk at rim (assist by E. Bledsoe),,20,18
49,1,4:44.0,,A. Aminu misses 2-pt layup from 1 ft,20,18
50,1,4:44.0,Defensive rebound by M. Morris,,20,18
51,1,4:37.0,B. Knight misses 3-pt jump shot from 22 ft,,20,18
52,1,4:37.0,Offensive rebound by P. Tucker,,20,18
53,1,4:34.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,20,18
54,1,4:33.0,,Defensive rebound by D. Lillard,20,18
55,1,4:28.0,,Turnover by D. Lillard (bad pass; steal by T. Chandler),20,18
56,1,4:13.0,P. Tucker makes 2-pt layup from 2 ft,,22,18
57,1,3:59.0,,D. Lillard makes 3-pt jump shot from 24 ft,22,21
58,1,3:39.0,B. Knight misses 2-pt jump shot from 3 ft,,22,21
59,1,3:38.0,Offensive rebound by M. Morris,,22,21
60,1,3:34.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,22,21
61,1,3:32.0,,Defensive rebound by M. Plumlee,22,21
62,1,3:21.0,,A. Aminu misses 2-pt jump shot from 13 ft,22,21
63,1,3:21.0,Defensive rebound by M. Morris,,22,21
64,1,3:16.0,Phoenix full timeout,,22,21
65,1,3:16.0,,A. Crabbe enters the game for A. Aminu,22,21
66,1,3:16.0,,M. Harkless enters the game for M. Plumlee,22,21
67,1,3:16.0,,E. Davis enters the game for C. McCollum,22,21
68,1,3:16.0,T. Warren enters the game for P. Tucker,,22,21
69,1,3:16.0,S. Weems enters the game for T. Chandler,,22,21
70,1,3:16.0,A. Len enters the game for E. Bledsoe,,22,21
71,1,3:07.0,Personal foul by M. Leonard (drawn by B. Knight),,22,21
72,1,2:53.0,M. Morris misses 2-pt jump shot from 12 ft,,22,21
73,1,2:52.0,,Defensive rebound by E. Davis,22,21
74,1,2:45.0,,Turnover by E. Davis (lost ball; steal by S. Weems),22,21
75,1,2:39.0,T. Warren misses 2-pt layup from 1 ft,,22,21
76,1,2:37.0,Offensive rebound by M. Morris,,22,21
77,1,2:37.0,M. Morris makes 2-pt layup at rim,,24,21
78,1,2:37.0,,D. Lillard misses 2-pt jump shot at rim (block by B. Knight),24,21
79,1,2:37.0,,Offensive rebound by E. Davis,24,21
80,1,2:13.0,,M. Leonard misses 3-pt jump shot from 23 ft,24,21
81,1,2:13.0,Defensive rebound by Team,,24,21
82,1,2:13.0,,Loose ball foul by E. Davis (drawn by S. Weems),24,21
83,1,2:13.0,J. Leuer enters the game for M. Morris,,24,21
84,1,1:58.0,Turnover by B. Knight (bad pass; steal by M. Harkless),,24,21
85,1,1:53.0,,A. Crabbe makes 2-pt dunk at rim (assist by D. Lillard),24,23
86,1,1:39.0,J. Leuer makes 3-pt jump shot from 24 ft (assist by B. Knight),,27,23
87,1,1:18.0,,Turnover by A. Crabbe (traveling),27,23
88,1,0:59.0,A. Len misses 2-pt hook shot from 2 ft,,27,23
89,1,0:58.0,,Defensive rebound by D. Lillard,27,23
90,1,0:45.0,,Turnover by M. Harkless (traveling),27,23
91,1,0:35.0,B. Knight misses 3-pt jump shot from 26 ft,,27,23
92,1,0:34.0,,Defensive rebound by M. Harkless,27,23
93,1,0:24.0,,D. Lillard misses 2-pt jump shot from 19 ft,27,23
94,1,0:23.0,Defensive rebound by J. Leuer,,27,23
95,1,0:01.0,S. Weems misses 3-pt jump shot from 24 ft,,27,23
96,1,0:00.0,,Defensive rebound by E. Davis,27,23
97,2,11:46.0,T. Warren misses 2-pt jump shot from 10 ft,,27,23
98,2,11:45.0,,Defensive rebound by N. Vonleh,27,23
99,2,11:21.0,,M. Harkless misses 2-pt jump shot from 7 ft,27,23
100,2,11:21.0,Defensive rebound by A. Len,,27,23
101,2,11:08.0,A. Len misses 2-pt layup from 2 ft,,27,23
102,2,11:07.0,,Defensive rebound by E. Davis,27,23
103,2,10:55.0,,C. McCollum misses 3-pt jump shot from 23 ft,27,23
104,2,10:54.0,,Offensive rebound by N. Vonleh,27,23
105,2,10:53.0,,Shooting foul by A. Len (drawn by C. McCollum),27,23
106,2,10:53.0,,C. McCollum makes free throw 1 of 2,27,24
107,2,10:53.0,,C. McCollum makes free throw 2 of 2,27,25
108,2,10:27.0,T. Warren misses 3-pt jump shot from 23 ft,,27,25
109,2,10:25.0,,Defensive rebound by Team,27,25
110,2,10:12.0,,A. Crabbe makes 2-pt jump shot from 20 ft (assist by C. McCollum),27,27
111,2,9:58.0,T. Warren misses 2-pt jump shot from 18 ft,,27,27
112,2,9:58.0,,Defensive rebound by N. Vonleh,27,27
