,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHARLOTTE_ACTION,MINNESOTA_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,A. Wiggins makes 2-pt jump shot from 13 ft (assist by R. Rubio),,2,0
1,1,11:32.0,,N. Batum misses 2-pt jump shot from 9 ft,2,0
2,1,11:31.0,Defensive rebound by K. Towns,,2,0
3,1,11:23.0,R. Rubio makes 2-pt layup at rim,,4,0
4,1,11:13.0,,M. Williams misses 3-pt jump shot from 24 ft,4,0
5,1,11:12.0,Defensive rebound by G. Dieng,,4,0
6,1,10:50.0,G. Dieng misses 2-pt jump shot from 10 ft,,4,0
7,1,10:49.0,,Defensive rebound by C. Zeller,4,0
8,1,10:41.0,,K. Walker makes 3-pt jump shot from 23 ft (assist by C. Lee),4,3
9,1,10:22.0,K. Towns misses 2-pt jump shot from 17 ft,,4,3
10,1,10:21.0,,Defensive rebound by M. Williams,4,3
11,1,10:12.0,,K. Walker misses 3-pt jump shot from 24 ft,4,3
12,1,10:11.0,Defensive rebound by Z. LaVine,,4,3
13,1,9:52.0,Turnover by G. Dieng (lost ball; steal by M. Williams),,4,3
14,1,9:38.0,,C. Zeller misses 2-pt layup from 1 ft,4,3
15,1,9:37.0,Defensive rebound by Z. LaVine,,4,3
16,1,9:33.0,Z. LaVine misses 2-pt jump shot from 20 ft,,4,3
17,1,9:30.0,,Defensive rebound by K. Walker,4,3
18,1,9:23.0,,C. Lee misses 3-pt jump shot from 22 ft,4,3
19,1,9:22.0,Defensive rebound by G. Dieng,,4,3
20,1,9:19.0,Minnesota full timeout,,4,3
21,1,9:09.0,Z. LaVine misses 2-pt layup from 2 ft (block by M. Williams),,4,3
22,1,9:09.0,,Defensive rebound by M. Williams,4,3
23,1,8:59.0,,Turnover by N. Batum (bad pass; steal by Z. LaVine),4,3
24,1,8:54.0,Z. LaVine makes 2-pt dunk at rim,,6,3
25,1,8:39.0,,K. Walker makes 2-pt layup from 1 ft,6,5
26,1,8:25.0,G. Dieng makes 2-pt layup from 1 ft (assist by Z. LaVine),,8,5
27,1,8:08.0,,Shooting foul by G. Dieng (drawn by C. Zeller),8,5
28,1,8:08.0,,C. Zeller makes free throw 1 of 2,8,6
29,1,8:08.0,,C. Zeller makes free throw 2 of 2,8,7
30,1,7:53.0,K. Towns makes 2-pt jump shot from 17 ft (assist by R. Rubio),,10,7
31,1,7:41.0,,N. Batum misses 2-pt layup from 1 ft (block by A. Wiggins),10,7
32,1,7:39.0,Defensive rebound by K. Towns,,10,7
33,1,7:31.0,Turnover by A. Wiggins (bad pass; steal by N. Batum),,10,7
34,1,7:15.0,,C. Lee misses 2-pt layup at rim (block by G. Dieng),10,7
35,1,7:13.0,Defensive rebound by Z. LaVine,,10,7
36,1,7:04.0,R. Rubio misses 3-pt jump shot from 23 ft,,10,7
37,1,7:03.0,,Defensive rebound by M. Williams,10,7
38,1,6:59.0,,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),10,9
39,1,6:39.0,K. Towns makes 2-pt hook shot from 6 ft,,12,9
