,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:39.0,R. Price misses 3-pt jump shot from 23 ft,,0,0
1,1,11:38.0,Offensive rebound by Team,,0,0
2,1,11:29.0,Personal block foul by D. Motiejūnas,,0,0
3,1,11:19.0,D. Booker makes 2-pt jump shot from 17 ft,,2,0
4,1,10:58.0,,T. Ariza misses 3-pt jump shot from 23 ft,2,0
5,1,10:57.0,Defensive rebound by T. Chandler,,2,0
6,1,10:42.0,Turnover by P. Tucker (bad pass),,2,0
7,1,10:28.0,,D. Motiejūnas makes 2-pt jump shot from 7 ft (assist by P. Beverley),2,2
8,1,10:15.0,D. Booker misses 2-pt jump shot from 12 ft,,2,2
9,1,10:13.0,,Defensive rebound by P. Beverley,2,2
10,1,10:10.0,Offensive charge foul by P. Beverley (drawn by R. Price),,2,2
11,1,10:10.0,,Turnover by P. Beverley (offensive foul),2,2
12,1,9:52.0,P. Tucker misses 3-pt jump shot from 24 ft,,2,2
13,1,9:52.0,,Defensive rebound by D. Howard,2,2
14,1,9:44.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by P. Beverley),2,5
15,1,9:33.0,D. Booker makes 2-pt layup at rim (assist by A. Len),,4,5
16,1,9:25.0,,D. Howard makes 2-pt dunk at rim (assist by T. Ariza),4,7
17,1,9:03.0,R. Price misses 3-pt jump shot from 25 ft,,4,7
18,1,9:02.0,,Defensive rebound by T. Ariza,4,7
19,1,8:44.0,,Turnover by P. Beverley (lost ball),4,7
20,1,8:28.0,P. Tucker makes 2-pt jump shot from 10 ft (assist by R. Price),,6,7
21,1,8:09.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by J. Harden),6,10
22,1,7:55.0,Turnover by D. Booker (lost ball; steal by T. Ariza),,6,10
23,1,7:49.0,,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),6,12
24,1,7:29.0,A. Len makes 2-pt jump shot from 15 ft (assist by R. Price),,8,12
25,1,7:03.0,,P. Beverley misses 3-pt jump shot from 23 ft (block by R. Price),8,12
26,1,7:02.0,,Offensive rebound by P. Beverley,8,12
27,1,6:59.0,,P. Beverley makes 2-pt jump shot from 18 ft,8,14
28,1,6:48.0,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),,10,14
29,1,6:34.0,,Personal foul by A. Len,10,14
30,1,6:22.0,,J. Harden makes 2-pt jump shot from 19 ft,10,16
31,1,6:03.0,R. Price makes 3-pt jump shot from 22 ft (assist by P. Tucker),,13,16
32,1,5:47.0,,D. Motiejūnas misses 3-pt jump shot from 24 ft,13,16
33,1,5:45.0,Defensive rebound by P. Tucker,,13,16
34,1,5:39.0,T. Chandler makes 2-pt layup at rim (assist by R. Price),,15,16
35,1,5:39.0,,Houston full timeout,15,16
36,1,5:39.0,,J. Smith enters the game for D. Motiejūnas,15,16
37,1,5:39.0,,C. Capela enters the game for D. Howard,15,16
38,1,5:18.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by J. Harden),15,19
39,1,4:59.0,T. Chandler misses 2-pt jump shot from 5 ft,,15,19
40,1,4:57.0,,Defensive rebound by C. Capela,15,19
41,1,4:52.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by P. Beverley),15,22
42,1,4:49.0,Phoenix full timeout,,15,22
43,1,4:49.0,A. Goodwin enters the game for A. Len,,15,22
44,1,4:49.0,M. Teletović enters the game for R. Price,,15,22
45,1,4:27.0,A. Goodwin makes 2-pt jump shot from 3 ft (assist by T. Chandler),,17,22
46,1,4:11.0,,Shooting foul by M. Teletović (drawn by J. Smith),17,22
47,1,4:11.0,,J. Smith misses free throw 1 of 2,17,22
48,1,4:11.0,,Offensive rebound by Team,17,22
49,1,4:11.0,,J. Smith misses free throw 2 of 2,17,22
50,1,4:08.0,Defensive rebound by T. Chandler,,17,22
51,1,3:44.0,D. Booker misses 3-pt jump shot from 24 ft,,17,22
52,1,3:43.0,,Defensive rebound by J. Smith,17,22
53,1,3:37.0,,P. Beverley makes 3-pt jump shot from 22 ft (assist by J. Harden),17,25
54,1,3:24.0,,C. Brewer enters the game for T. Ariza,17,25
55,1,3:19.0,Turnover by D. Booker (lost ball; steal by C. Capela),,17,25
56,1,3:17.0,,Shooting foul by D. Booker (drawn by C. Capela),17,25
57,1,3:17.0,,C. Capela misses free throw 1 of 2,17,25
58,1,3:17.0,,Offensive rebound by Team,17,25
59,1,3:17.0,A. Williams enters the game for T. Chandler,,17,25
60,1,3:17.0,,C. Capela misses free throw 2 of 2,17,25
61,1,3:16.0,Defensive rebound by M. Teletović,,17,25
62,1,2:53.0,Turnover by M. Teletović (bad pass; steal by P. Beverley),,17,25
63,1,2:48.0,,J. Harden misses 2-pt jump shot from 5 ft (block by D. Booker),17,25
64,1,2:47.0,,Offensive rebound by C. Capela,17,25
65,1,2:44.0,,C. Capela makes 2-pt layup from 1 ft,17,27
66,1,2:39.0,Personal foul by C. Brewer,,17,27
67,1,2:39.0,,J. Terry enters the game for P. Beverley,17,27
68,1,2:34.0,D. Booker misses 2-pt jump shot from 16 ft,,17,27
69,1,2:33.0,,Defensive rebound by J. Harden,17,27
70,1,2:15.0,,C. Brewer makes 2-pt layup from 2 ft (assist by J. Harden),17,29
71,1,2:01.0,M. Teletović makes 3-pt jump shot from 25 ft (assist by A. Goodwin),,20,29
72,1,1:44.0,,J. Terry makes 2-pt layup from 1 ft,20,31
