,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BOSTON_ACTION,HOUSTON_SCORE,BOSTON_SCORE
0,1,11:39.0,Turnover by J. Harden (bad pass; steal by J. Sullinger),,0,0
1,1,11:33.0,,A. Bradley makes 2-pt layup from 2 ft (assist by A. Johnson),0,2
2,1,11:18.0,D. Howard makes 2-pt hook shot from 3 ft,,2,2
3,1,11:00.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by J. Sullinger),2,5
4,1,10:47.0,D. Howard misses 2-pt hook shot from 3 ft,,2,5
5,1,10:46.0,,Defensive rebound by J. Crowder,2,5
6,1,10:38.0,,I. Thomas makes 2-pt jump shot from 8 ft,2,7
7,1,10:22.0,T. Ariza misses 2-pt layup from 2 ft,,2,7
8,1,10:20.0,,Defensive rebound by A. Bradley,2,7
9,1,10:02.0,,A. Johnson misses 2-pt jump shot from 17 ft,2,7
10,1,10:01.0,Defensive rebound by Team,,2,7
11,1,9:48.0,Personal foul by I. Thomas,,2,7
12,1,9:35.0,P. Beverley misses 2-pt jump shot from 3 ft,,2,7
13,1,9:34.0,Offensive rebound by P. Beverley,,2,7
14,1,9:30.0,D. Motiejūnas misses 3-pt jump shot from 23 ft,,2,7
15,1,9:29.0,,Defensive rebound by A. Johnson,2,7
16,1,9:24.0,,J. Crowder misses 3-pt jump shot from 23 ft,2,7
17,1,9:23.0,Defensive rebound by P. Beverley,,2,7
18,1,9:17.0,T. Ariza makes 2-pt dunk at rim,,4,7
19,1,9:00.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Bradley),4,10
20,1,8:43.0,J. Harden makes 2-pt jump shot from 13 ft,,6,10
21,1,8:28.0,,J. Sullinger misses 2-pt jump shot from 20 ft,6,10
22,1,8:27.0,Defensive rebound by P. Beverley,,6,10
23,1,8:18.0,P. Beverley misses 3-pt jump shot from 24 ft,,6,10
24,1,8:17.0,Offensive rebound by D. Motiejūnas,,6,10
25,1,8:09.0,J. Harden makes 2-pt layup from 1 ft,,8,10
26,1,7:57.0,,A. Bradley misses 2-pt jump shot from 22 ft,8,10
27,1,7:56.0,Defensive rebound by D. Motiejūnas,,8,10
28,1,7:43.0,Shooting foul by A. Bradley (drawn by P. Beverley),,8,10
29,1,7:43.0,P. Beverley makes free throw 1 of 2,,9,10
30,1,7:43.0,P. Beverley makes free throw 2 of 2,,10,10
31,1,7:29.0,,Turnover by I. Thomas (bad pass),10,10
32,1,7:16.0,Turnover by P. Beverley (bad pass; steal by J. Sullinger),,10,10
33,1,7:11.0,,I. Thomas makes 2-pt layup at rim (assist by J. Sullinger),10,12
34,1,6:45.0,P. Beverley misses 3-pt jump shot from 23 ft,,10,12
35,1,6:44.0,,Defensive rebound by J. Crowder,10,12
36,1,6:38.0,,A. Bradley misses 3-pt jump shot from 23 ft,10,12
37,1,6:38.0,Defensive rebound by P. Beverley,,10,12
38,1,6:28.0,D. Motiejūnas misses 3-pt jump shot from 24 ft,,10,12
39,1,6:27.0,,Defensive rebound by Team,10,12
40,1,6:08.0,,J. Crowder misses 3-pt jump shot from 23 ft,10,12
41,1,6:07.0,,Offensive rebound by A. Johnson,10,12
42,1,6:03.0,,A. Bradley misses 3-pt jump shot from 24 ft,10,12
43,1,6:02.0,Defensive rebound by D. Howard,,10,12
44,1,5:48.0,T. Ariza misses 2-pt layup from 2 ft,,10,12
45,1,5:47.0,,Defensive rebound by J. Sullinger,10,12
46,1,5:39.0,,J. Sullinger misses 2-pt jump shot from 18 ft,10,12
47,1,5:39.0,Defensive rebound by D. Howard,,10,12
48,1,5:33.0,J. Harden misses 3-pt jump shot from 25 ft,,10,12
49,1,5:32.0,,Defensive rebound by J. Crowder,10,12
50,1,5:24.0,,Boston full timeout,10,12
51,1,5:24.0,M. Beasley enters the game for D. Motiejūnas,,10,12
52,1,5:24.0,,M. Smart enters the game for A. Johnson,10,12
53,1,5:24.0,,E. Turner enters the game for A. Bradley,10,12
54,1,5:07.0,,J. Crowder misses 3-pt jump shot from 24 ft,10,12
55,1,5:06.0,Defensive rebound by J. Harden,,10,12
56,1,4:59.0,M. Beasley makes 2-pt layup from 2 ft (assist by J. Harden),,12,12
57,1,4:44.0,,Shooting foul by P. Beverley (drawn by J. Sullinger),12,12
58,1,4:44.0,,J. Sullinger makes free throw 1 of 2,12,13
59,1,4:44.0,C. Capela enters the game for P. Beverley,,12,13
60,1,4:44.0,J. Terry enters the game for D. Howard,,12,13
61,1,4:44.0,,J. Sullinger makes free throw 2 of 2,12,14
62,1,4:29.0,Shooting foul by J. Crowder (drawn by J. Harden),,12,14
63,1,4:29.0,J. Harden makes free throw 1 of 2,,13,14
64,1,4:29.0,J. Harden makes free throw 2 of 2,,14,14
65,1,4:11.0,,Turnover by I. Thomas (bad pass),14,14
66,1,4:04.0,Turnover by J. Harden (bad pass; steal by E. Turner),,14,14
67,1,3:59.0,,E. Turner makes 2-pt layup at rim (assist by J. Crowder),14,16
68,1,3:38.0,T. Ariza misses 2-pt layup from 2 ft (block by J. Sullinger),,14,16
69,1,3:37.0,,Defensive rebound by J. Sullinger,14,16
70,1,3:33.0,,Turnover by J. Crowder (bad pass; steal by T. Ariza),14,16
71,1,3:25.0,J. Harden misses 3-pt jump shot from 23 ft,,14,16
72,1,3:24.0,Offensive rebound by M. Beasley,,14,16
73,1,3:22.0,Personal foul by J. Sullinger,,14,16
74,1,3:22.0,C. Brewer enters the game for T. Ariza,,14,16
75,1,3:09.0,M. Beasley misses 2-pt jump shot from 3 ft (block by J. Crowder),,14,16
76,1,3:08.0,Offensive rebound by C. Capela,,14,16
77,1,3:04.0,M. Beasley misses 2-pt jump shot from 6 ft,,14,16
78,1,3:03.0,,Defensive rebound by J. Sullinger,14,16
79,1,2:59.0,,I. Thomas makes 2-pt layup from 1 ft (assist by J. Sullinger),14,18
80,1,2:37.0,J. Harden misses 3-pt jump shot from 25 ft,,14,18
81,1,2:36.0,,Defensive rebound by I. Thomas,14,18
82,1,2:27.0,,Turnover by I. Thomas (lost ball; steal by C. Brewer),14,18
83,1,2:16.0,C. Capela misses 2-pt layup from 1 ft,,14,18
84,1,2:15.0,Offensive rebound by M. Beasley,,14,18
85,1,2:14.0,M. Beasley makes 2-pt layup from 1 ft,,16,18
86,1,1:51.0,,M. Smart misses 3-pt jump shot from 23 ft,16,18
87,1,1:51.0,,Offensive rebound by Team,16,18
88,1,1:51.0,,Personal foul by J. Harden,16,18
89,1,1:51.0,Houston full timeout,,16,18
90,1,1:51.0,,J. Jerebko enters the game for I. Thomas,16,18
91,1,1:51.0,D. Howard enters the game for C. Capela,,16,18
92,1,1:50.0,,Shooting foul by D. Howard (drawn by J. Sullinger),16,18
93,1,1:50.0,,J. Sullinger makes free throw 1 of 2,16,19
94,1,1:50.0,,J. Sullinger makes free throw 2 of 2,16,20
95,1,1:32.0,D. Howard misses 2-pt dunk at rim,,16,20
96,1,1:31.0,,Defensive rebound by J. Jerebko,16,20
97,1,1:14.0,,E. Turner misses 2-pt jump shot from 12 ft,16,20
98,1,1:13.0,Defensive rebound by D. Howard,,16,20
99,1,1:10.0,Shooting foul by M. Smart (drawn by C. Brewer),,16,20
100,1,1:10.0,C. Brewer misses free throw 1 of 2,,16,20
101,1,1:10.0,Offensive rebound by Team,,16,20
102,1,1:10.0,,T. Zeller enters the game for J. Sullinger,16,20
103,1,1:10.0,C. Brewer makes free throw 2 of 2,,17,20
104,1,1:01.0,,Personal foul by M. Beasley,17,20
105,1,1:01.0,,M. Smart misses free throw 1 of 2,17,20
106,1,1:01.0,,Offensive rebound by Team,17,20
107,1,1:01.0,,M. Smart makes free throw 2 of 2,17,21
108,1,0:48.0,M. Beasley misses 2-pt jump shot from 10 ft,,17,21
109,1,0:47.0,Offensive rebound by D. Howard,,17,21
110,1,0:46.0,D. Howard makes 2-pt dunk at rim,,19,21
111,1,0:26.0,,Turnover by T. Zeller (lost ball; steal by M. Beasley),19,21
112,1,0:25.0,Turnover by J. Harden (bad pass; steal by E. Turner),,19,21
113,1,0:18.0,,Shooting foul by M. Beasley (drawn by J. Crowder),19,21
114,1,0:18.0,,J. Crowder makes free throw 1 of 2,19,22
115,1,0:18.0,K. McDaniels enters the game for M. Beasley,,19,22
116,1,0:18.0,,J. Crowder makes free throw 2 of 2,19,23
117,1,0:14.0,Personal take foul by T. Zeller,,19,23
118,1,0:14.0,D. Howard misses free throw 1 of 2,,19,23
119,1,0:14.0,Offensive rebound by Team,,19,23
120,1,0:14.0,T. Ariza enters the game for J. Terry,,19,23
121,1,0:14.0,,I. Thomas enters the game for J. Jerebko,19,23
122,1,0:14.0,D. Howard misses free throw 2 of 2,,19,23
123,1,0:14.0,,Defensive rebound by E. Turner,19,23
124,1,0:01.0,,M. Smart misses 3-pt jump shot from 24 ft,19,23
125,1,0:00.0,,Offensive rebound by Team,19,23
126,2,11:36.0,,T. Zeller makes 2-pt jump shot from 15 ft (assist by E. Turner),19,25
127,2,11:21.0,M. Beasley makes 2-pt layup at rim,,21,25
128,2,10:58.0,,M. Smart misses 3-pt jump shot from 24 ft,21,25
129,2,10:57.0,Defensive rebound by D. Howard,,21,25
130,2,10:50.0,C. Brewer misses 3-pt jump shot from 23 ft,,21,25
131,2,10:49.0,,Defensive rebound by M. Smart,21,25
132,2,10:48.0,,Personal foul by M. Beasley,21,25
133,2,10:48.0,T. Ariza enters the game for M. Beasley,,21,25
134,2,10:37.0,,M. Smart misses 2-pt jump shot from 5 ft,21,25
135,2,10:36.0,,Offensive rebound by J. Jerebko,21,25
136,2,10:35.0,,J. Jerebko misses 2-pt layup from 2 ft,21,25
137,2,10:34.0,Defensive rebound by T. Ariza,,21,25
138,2,10:23.0,T. Ariza misses 3-pt jump shot from 24 ft,,21,25
139,2,10:22.0,,Defensive rebound by E. Turner,21,25
140,2,10:17.0,,Personal foul by T. Ariza,21,25
141,2,9:58.0,,M. Smart makes 2-pt layup from 1 ft (assist by T. Zeller),21,27
