,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
0,1,11:41.0,,A. Drummond makes 2-pt hook shot from 6 ft,0,2
1,1,11:19.0,L. James makes 2-pt dunk at rim (assist by K. Irving),,2,2
2,1,11:04.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,2,2
3,1,11:02.0,Defensive rebound by L. James,,2,2
4,1,10:54.0,J. Smith misses 3-pt jump shot from 25 ft,,2,2
5,1,10:53.0,,Defensive rebound by M. Morris,2,2
6,1,10:34.0,,T. Harris misses 3-pt jump shot from 24 ft,2,2
7,1,10:34.0,Defensive rebound by K. Love,,2,2
8,1,10:23.0,Turnover by K. Love (bad pass; steal by K. Caldwell-Pope),,2,2
9,1,10:15.0,,Shooting foul by J. Smith (drawn by R. Jackson),2,2
10,1,10:15.0,,R. Jackson makes free throw 1 of 2,2,3
11,1,10:15.0,,R. Jackson makes free throw 2 of 2,2,4
12,1,9:56.0,J. Smith misses 3-pt jump shot from 25 ft,,2,4
13,1,9:55.0,,Defensive rebound by R. Jackson,2,4
14,1,9:42.0,,M. Morris misses 3-pt jump shot from 26 ft,2,4
15,1,9:41.0,Defensive rebound by T. Thompson,,2,4
16,1,9:16.0,J. Smith misses 2-pt jump shot from 19 ft,,2,4
17,1,9:16.0,,Defensive rebound by Team,2,4
18,1,9:00.0,,A. Drummond misses 2-pt layup from 1 ft,2,4
19,1,8:58.0,Defensive rebound by K. Love,,2,4
20,1,8:53.0,Personal foul by R. Jackson,,2,4
21,1,8:37.0,K. Love makes 2-pt jump shot from 11 ft (assist by J. Smith),,4,4
22,1,8:22.0,,A. Drummond makes 2-pt layup from 1 ft (assist by T. Harris),4,6
23,1,8:03.0,K. Irving makes 2-pt layup at rim,,6,6
24,1,7:37.0,,K. Caldwell-Pope misses 2-pt jump shot from 6 ft (block by T. Thompson),6,6
25,1,7:36.0,Defensive rebound by T. Thompson,,6,6
26,1,7:31.0,K. Irving makes 2-pt jump shot from 16 ft (assist by L. James),,8,6
27,1,7:15.0,,Shooting foul by T. Thompson (drawn by M. Morris),8,6
28,1,7:15.0,,M. Morris makes free throw 1 of 2,8,7
29,1,7:15.0,,M. Morris makes free throw 2 of 2,8,8
30,1,7:00.0,L. James misses 2-pt jump shot from 15 ft,,8,8
31,1,6:59.0,Offensive rebound by K. Love,,8,8
32,1,6:58.0,Shooting foul by T. Harris (drawn by K. Love),,8,8
33,1,6:58.0,K. Love misses free throw 1 of 2,,8,8
34,1,6:58.0,Offensive rebound by Team,,8,8
35,1,6:58.0,K. Love makes free throw 2 of 2,,9,8
36,1,6:40.0,,M. Morris makes 2-pt layup from 1 ft,9,10
37,1,6:19.0,K. Irving makes 2-pt jump shot from 14 ft,,11,10
38,1,5:57.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),11,13
39,1,5:37.0,K. Irving makes 2-pt jump shot from 6 ft,,13,13
40,1,5:26.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by R. Jackson),13,15
41,1,5:05.0,Turnover by L. James (bad pass; steal by R. Jackson),,13,15
42,1,5:01.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by R. Jackson),13,17
43,1,5:01.0,Cleveland full timeout,,13,17
44,1,4:45.0,L. James misses 2-pt jump shot from 15 ft,,13,17
45,1,4:44.0,,Defensive rebound by T. Harris,13,17
46,1,4:36.0,,R. Jackson makes 2-pt jump shot from 17 ft,13,19
47,1,4:21.0,Personal foul by M. Morris,,13,19
48,1,4:08.0,L. James misses 3-pt jump shot from 28 ft,,13,19
49,1,4:08.0,Offensive rebound by T. Thompson,,13,19
50,1,4:02.0,T. Thompson misses 2-pt layup from 3 ft (block by A. Drummond),,13,19
51,1,4:01.0,,Defensive rebound by K. Caldwell-Pope,13,19
52,1,3:54.0,,R. Jackson misses 3-pt jump shot from 25 ft,13,19
53,1,3:54.0,Defensive rebound by K. Love,,13,19
54,1,3:44.0,L. James makes 2-pt jump shot from 21 ft,,15,19
55,1,3:19.0,,A. Drummond misses 2-pt hook shot from 7 ft,15,19
56,1,3:17.0,Defensive rebound by K. Love,,15,19
57,1,3:07.0,L. James misses 2-pt layup at rim,,15,19
58,1,3:07.0,Offensive rebound by T. Thompson,,15,19
59,1,3:04.0,T. Thompson makes 2-pt layup at rim,,17,19
60,1,2:48.0,,M. Morris makes 2-pt layup at rim (assist by R. Jackson),17,21
61,1,2:27.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),,20,21
62,1,2:21.0,,Detroit full timeout,20,21
63,1,2:21.0,I. Shumpert enters the game for L. James,,20,21
64,1,2:21.0,,A. Tolliver enters the game for T. Harris,20,21
65,1,2:21.0,,S. Blake enters the game for R. Jackson,20,21
66,1,2:08.0,,A. Drummond makes 2-pt hook shot from 7 ft,20,23
67,1,1:46.0,,A. Baynes enters the game for A. Drummond,20,23
68,1,1:46.0,R. Jefferson enters the game for T. Thompson,,20,23
69,1,1:37.0,K. Love makes 2-pt jump shot from 12 ft (assist by I. Shumpert),,22,23
70,1,1:22.0,,M. Morris makes 2-pt jump shot from 15 ft,22,25
71,1,1:07.0,Shooting foul by S. Blake (drawn by K. Love),,22,25
72,1,1:07.0,K. Love makes free throw 1 of 2,,23,25
73,1,1:07.0,K. Love makes free throw 2 of 2,,24,25
74,1,0:56.0,,Personal foul by R. Jefferson,24,25
75,1,0:45.0,,M. Morris misses 2-pt layup at rim,24,25
76,1,0:45.0,,Offensive rebound by A. Baynes,24,25
77,1,0:45.0,,A. Baynes makes 2-pt layup from 1 ft,24,27
78,1,0:31.0,Turnover by I. Shumpert (bad pass; steal by K. Caldwell-Pope),,24,27
79,1,0:27.0,,Turnover by K. Caldwell-Pope (bad pass),24,27
80,1,0:02.0,K. Irving misses 3-pt jump shot from 26 ft,,24,27
81,1,0:01.0,,Defensive rebound by A. Baynes,24,27
82,2,11:47.0,Personal foul by S. Blake,,24,27
