,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,GOLDEN STATE_ACTION,BROOKLYN_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,B. Lopez makes 2-pt jump shot from 9 ft (assist by J. Johnson),,2,0
1,1,11:26.0,,S. Curry makes 2-pt jump shot from 6 ft,2,2
2,1,11:12.0,T. Young makes 2-pt hook shot from 7 ft (assist by J. Jack),,4,2
3,1,10:51.0,,S. Curry misses 3-pt jump shot from 26 ft,4,2
4,1,10:51.0,Defensive rebound by R. Hollis-Jefferson,,4,2
5,1,10:35.0,B. Lopez misses 2-pt jump shot from 20 ft,,4,2
6,1,10:35.0,,Defensive rebound by B. Rush,4,2
7,1,10:27.0,,H. Barnes makes 2-pt jump shot from 3 ft (assist by D. Green),4,4
8,1,10:27.0,,Shooting foul by J. Johnson (drawn by H. Barnes),4,4
9,1,10:27.0,,H. Barnes makes free throw 1 of 1,4,5
10,1,10:16.0,J. Jack makes 3-pt jump shot from 26 ft,,7,5
11,1,10:03.0,,S. Curry misses 3-pt jump shot from 22 ft,7,5
12,1,10:03.0,Defensive rebound by T. Young,,7,5
13,1,9:52.0,R. Hollis-Jefferson makes 2-pt jump shot from 16 ft (assist by T. Young),,9,5
14,1,9:31.0,,H. Barnes misses 2-pt jump shot from 14 ft,9,5
15,1,9:31.0,Defensive rebound by R. Hollis-Jefferson,,9,5
16,1,9:19.0,B. Lopez makes 2-pt jump shot from 19 ft (assist by R. Hollis-Jefferson),,11,5
17,1,9:04.0,,Turnover by H. Barnes (lost ball; steal by J. Johnson),11,5
18,1,8:58.0,J. Jack misses 2-pt layup from 2 ft (block by F. Ezeli),,11,5
19,1,8:57.0,Offensive rebound by R. Hollis-Jefferson,,11,5
20,1,8:44.0,J. Jack makes 2-pt layup from 2 ft,,13,5
21,1,8:36.0,,B. Rush makes 3-pt jump shot from 22 ft (assist by S. Curry),13,8
22,1,8:12.0,Turnover by J. Johnson (bad pass; steal by B. Rush),,13,8
23,1,8:06.0,,B. Rush makes 2-pt layup from 1 ft (assist by D. Green),13,10
24,1,7:40.0,T. Young makes 2-pt hook shot from 9 ft (assist by B. Lopez),,15,10
25,1,7:21.0,,S. Curry misses 3-pt jump shot from 26 ft,15,10
26,1,7:21.0,Defensive rebound by B. Lopez,,15,10
27,1,7:04.0,Personal foul by F. Ezeli (drawn by B. Lopez),,15,10
28,1,6:50.0,B. Lopez misses 2-pt jump shot from 8 ft,,15,10
29,1,6:49.0,,Defensive rebound by F. Ezeli,15,10
30,1,6:34.0,,B. Rush makes 3-pt jump shot from 24 ft,15,13
31,1,6:19.0,T. Young makes 2-pt layup at rim (assist by J. Johnson),,17,13
32,1,6:11.0,,S. Curry misses 2-pt layup from 2 ft,17,13
33,1,6:10.0,Defensive rebound by R. Hollis-Jefferson,,17,13
34,1,6:02.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by B. Rush),,17,13
35,1,5:59.0,Offensive rebound by T. Young,,17,13
36,1,5:57.0,T. Young makes 2-pt layup at rim,,19,13
37,1,5:56.0,,Golden State full timeout,19,13
38,1,5:56.0,,A. Iguodala enters the game for H. Barnes,19,13
39,1,5:56.0,,A. Bogut enters the game for F. Ezeli,19,13
40,1,5:48.0,,Turnover by D. Green (lost ball; steal by T. Young),19,13
41,1,5:40.0,T. Young makes 2-pt layup at rim (assist by R. Hollis-Jefferson),,21,13
42,1,5:29.0,,A. Iguodala misses 3-pt jump shot from 23 ft,21,13
43,1,5:29.0,Defensive rebound by T. Young,,21,13
44,1,5:11.0,B. Lopez misses 2-pt jump shot from 11 ft (block by D. Green),,21,13
45,1,5:10.0,,Defensive rebound by D. Green,21,13
46,1,5:01.0,,Turnover by S. Curry (bad pass; steal by R. Hollis-Jefferson),21,13
47,1,4:44.0,B. Lopez makes 2-pt layup from 1 ft (assist by J. Jack),,23,13
48,1,4:29.0,,B. Rush misses 3-pt jump shot from 24 ft,23,13
49,1,4:28.0,Defensive rebound by T. Young,,23,13
50,1,4:13.0,J. Jack makes 2-pt jump shot from 19 ft,,25,13
51,1,4:00.0,,A. Iguodala misses 2-pt jump shot from 16 ft,25,13
52,1,3:59.0,Defensive rebound by T. Young,,25,13
53,1,3:39.0,T. Young makes 2-pt hook shot from 8 ft (assist by J. Johnson),,27,13
54,1,3:27.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),27,16
55,1,3:11.0,B. Lopez misses 2-pt jump shot from 19 ft,,27,16
56,1,3:10.0,,Defensive rebound by D. Green,27,16
57,1,3:04.0,,A. Iguodala misses 2-pt layup from 1 ft,27,16
58,1,3:03.0,Defensive rebound by B. Lopez,,27,16
59,1,3:01.0,Personal foul by A. Bogut (drawn by B. Lopez),,27,16
60,1,3:01.0,Brooklyn full timeout,,27,16
61,1,3:01.0,,S. Livingston enters the game for B. Rush,27,16
62,1,3:01.0,B. Bogdanović enters the game for J. Johnson,,27,16
63,1,2:41.0,R. Hollis-Jefferson makes 2-pt jump shot from 19 ft (assist by T. Young),,29,16
64,1,2:20.0,Violation by J. Jack (kicked ball),,29,16
65,1,2:20.0,A. Bargnani enters the game for B. Lopez,,29,16
