,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
0,1,11:35.0,,A. Drummond misses 2-pt hook shot from 7 ft,0,0
1,1,11:34.0,,Offensive rebound by M. Morris,0,0
2,1,11:32.0,,M. Morris makes 2-pt layup at rim,0,2
3,1,11:14.0,B. Beal misses 2-pt jump shot from 16 ft,,0,2
4,1,11:13.0,,Defensive rebound by A. Drummond,0,2
5,1,11:10.0,,Turnover by R. Jackson (bad pass),0,2
6,1,10:52.0,M. Morris makes 2-pt jump shot from 13 ft,,2,2
7,1,10:38.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by R. Jackson),2,5
8,1,10:17.0,M. Morris misses 2-pt jump shot from 7 ft,,2,5
9,1,10:17.0,Offensive rebound by M. Gortat,,2,5
10,1,10:14.0,M. Gortat makes 2-pt jump shot from 5 ft,,4,5
11,1,9:50.0,,Turnover by K. Caldwell-Pope (bad pass; steal by O. Porter),4,5
12,1,9:42.0,Shooting foul by M. Morris (drawn by M. Morris),,4,5
13,1,9:42.0,M. Morris misses free throw 1 of 2,,4,5
14,1,9:42.0,Offensive rebound by Team,,4,5
15,1,9:42.0,M. Morris makes free throw 2 of 2,,5,5
16,1,9:17.0,,A. Drummond misses 2-pt hook shot from 9 ft,5,5
17,1,9:16.0,Defensive rebound by O. Porter,,5,5
18,1,9:08.0,Turnover by M. Gortat (lost ball; steal by A. Drummond),,5,5
19,1,8:50.0,,R. Jackson makes 3-pt jump shot from 25 ft,5,8
20,1,8:37.0,R. Sessions misses 2-pt jump shot from 5 ft,,5,8
21,1,8:36.0,,Defensive rebound by T. Harris,5,8
22,1,8:27.0,,A. Drummond misses 2-pt layup at rim,5,8
23,1,8:27.0,Defensive rebound by M. Morris,,5,8
24,1,8:22.0,,Offensive charge foul by R. Sessions (drawn by R. Jackson),5,8
25,1,8:22.0,Turnover by R. Sessions (offensive foul),,5,8
26,1,8:05.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by R. Jackson),5,11
27,1,7:53.0,B. Beal makes 2-pt layup at rim,,7,11
28,1,7:53.0,Shooting foul by K. Caldwell-Pope (drawn by B. Beal),,7,11
29,1,7:53.0,B. Beal misses free throw 1 of 1,,7,11
30,1,7:52.0,,Defensive rebound by A. Drummond,7,11
31,1,7:35.0,,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,7,11
32,1,7:34.0,Defensive rebound by B. Beal,,7,11
33,1,7:26.0,B. Beal makes 2-pt jump shot from 11 ft,,9,11
34,1,7:08.0,,R. Jackson makes 2-pt jump shot from 16 ft,9,13
35,1,6:57.0,B. Beal makes 3-pt jump shot from 26 ft,,12,13
36,1,6:40.0,,R. Jackson makes 2-pt jump shot from 19 ft,12,15
37,1,6:20.0,R. Sessions misses 2-pt jump shot from 7 ft,,12,15
38,1,6:20.0,,Defensive rebound by Team,12,15
39,1,6:05.0,,R. Jackson misses 2-pt jump shot from 7 ft,12,15
40,1,6:03.0,Defensive rebound by O. Porter,,12,15
41,1,5:53.0,M. Morris makes 2-pt jump shot from 8 ft (assist by R. Sessions),,14,15
42,1,5:49.0,,Detroit full timeout,14,15
43,1,5:40.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Jackson),14,18
44,1,5:23.0,M. Gortat misses 2-pt jump shot from 10 ft,,14,18
45,1,5:22.0,,Defensive rebound by M. Morris,14,18
46,1,5:12.0,,A. Drummond misses 2-pt jump shot from 13 ft,14,18
47,1,5:11.0,Defensive rebound by B. Beal,,14,18
48,1,5:02.0,O. Porter misses 2-pt jump shot from 8 ft,,14,18
49,1,5:01.0,,Defensive rebound by M. Morris,14,18
50,1,4:56.0,,R. Jackson makes 2-pt dunk at rim (assist by M. Morris),14,20
51,1,4:41.0,B. Beal makes 2-pt jump shot from 14 ft,,16,20
52,1,4:23.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Drummond),16,23
53,1,4:09.0,M. Morris misses 3-pt jump shot from 25 ft,,16,23
54,1,4:08.0,,Defensive rebound by M. Morris,16,23
55,1,3:59.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by M. Morris),16,26
56,1,3:40.0,M. Gortat misses 2-pt jump shot from 11 ft,,16,26
57,1,3:39.0,,Defensive rebound by T. Harris,16,26
58,1,3:27.0,,T. Harris makes 2-pt jump shot from 15 ft,16,28
59,1,3:22.0,Washington full timeout,,16,28
60,1,3:22.0,N. Hilário enters the game for M. Gortat,,16,28
61,1,3:22.0,G. Temple enters the game for B. Beal,,16,28
62,1,3:22.0,,R. Bullock enters the game for M. Morris,16,28
63,1,3:07.0,N. Hilário makes 2-pt jump shot from 11 ft (assist by R. Sessions),,18,28
64,1,2:39.0,,A. Drummond misses 2-pt hook shot from 8 ft,18,28
65,1,2:38.0,,Offensive rebound by K. Caldwell-Pope,18,28
