,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:45.0,,I. Thomas misses 3-pt jump shot from 24 ft,0,0
1,1,11:44.0,Defensive rebound by P. Gasol,,0,0
2,1,11:27.0,J. Butler misses 2-pt jump shot from 15 ft,,0,0
3,1,11:27.0,,Defensive rebound by J. Sullinger,0,0
4,1,11:15.0,,J. Sullinger misses 2-pt jump shot from 17 ft,0,0
5,1,11:14.0,Defensive rebound by D. Rose,,0,0
6,1,11:03.0,Personal foul by A. Bradley (drawn by D. Rose),,0,0
7,1,10:55.0,T. Snell misses 3-pt jump shot from 24 ft,,0,0
8,1,10:54.0,,Defensive rebound by J. Sullinger,0,0
9,1,10:49.0,,Turnover by I. Thomas (lost ball; steal by T. Snell),0,0
10,1,10:44.0,Turnover by T. Snell (bad pass; steal by A. Johnson),,0,0
11,1,10:25.0,,A. Johnson makes 2-pt hook shot from 4 ft (assist by A. Bradley),0,2
12,1,10:07.0,P. Gasol makes 2-pt jump shot from 13 ft,,2,2
13,1,9:51.0,,I. Thomas misses 2-pt layup from 2 ft,2,2
14,1,9:51.0,Defensive rebound by P. Gasol,,2,2
15,1,9:42.0,D. Rose makes 2-pt jump shot from 17 ft,,4,2
16,1,9:28.0,,A. Bradley misses 2-pt jump shot from 18 ft,4,2
17,1,9:27.0,Defensive rebound by J. Butler,,4,2
18,1,9:10.0,P. Gasol misses 2-pt jump shot from 19 ft,,4,2
19,1,9:09.0,,Defensive rebound by A. Bradley,4,2
20,1,9:00.0,,Turnover by J. Sullinger (traveling),4,2
21,1,8:44.0,T. Gibson makes 2-pt dunk at rim (assist by P. Gasol),,6,2
22,1,8:32.0,,A. Bradley misses 2-pt jump shot from 19 ft,6,2
23,1,8:31.0,Defensive rebound by J. Butler,,6,2
24,1,8:19.0,T. Gibson misses 2-pt jump shot from 15 ft,,6,2
25,1,8:18.0,,Defensive rebound by I. Thomas,6,2
26,1,8:14.0,,Turnover by I. Thomas (bad pass; steal by J. Butler),6,2
27,1,7:58.0,J. Butler makes 2-pt jump shot from 16 ft,,8,2
28,1,7:58.0,,Boston full timeout,8,2
29,1,7:50.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by I. Thomas),8,5
30,1,7:30.0,D. Rose makes 3-pt jump shot from 24 ft (assist by T. Gibson),,11,5
31,1,7:09.0,,J. Crowder misses 3-pt jump shot from 25 ft,11,5
32,1,7:08.0,,Offensive rebound by J. Sullinger,11,5
33,1,7:03.0,,A. Bradley misses 3-pt jump shot from 23 ft,11,5
