,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:47.0,,Turnover by M. Ellis (lost ball; steal by P. Millsap),0,0
1,1,11:35.0,J. Teague makes 2-pt layup from 1 ft,,2,0
2,1,11:11.0,,P. George misses 2-pt jump shot from 17 ft,2,0
3,1,11:11.0,Defensive rebound by P. Millsap,,2,0
4,1,11:01.0,J. Teague misses 2-pt layup from 1 ft (block by M. Ellis),,2,0
5,1,11:00.0,,Defensive rebound by I. Mahinmi,2,0
6,1,10:48.0,,Turnover by I. Mahinmi (bad pass; steal by K. Korver),2,0
7,1,10:30.0,K. Korver misses 2-pt layup from 1 ft,,2,0
8,1,10:29.0,,Defensive rebound by G. Hill,2,0
9,1,10:16.0,,I. Mahinmi misses 2-pt dunk at rim (block by P. Millsap),2,0
10,1,10:15.0,Defensive rebound by A. Horford,,2,0
11,1,10:03.0,P. Millsap misses 3-pt jump shot from 24 ft,,2,0
12,1,10:02.0,,Defensive rebound by M. Turner,2,0
13,1,9:50.0,,M. Turner makes 2-pt layup from 1 ft (assist by I. Mahinmi),2,2
14,1,9:34.0,K. Bazemore misses 3-pt jump shot from 24 ft,,2,2
15,1,9:34.0,,Defensive rebound by I. Mahinmi,2,2
16,1,9:20.0,,M. Turner misses 2-pt jump shot from 15 ft,2,2
17,1,9:19.0,Defensive rebound by K. Bazemore,,2,2
18,1,9:06.0,A. Horford misses 3-pt jump shot from 26 ft,,2,2
19,1,9:04.0,,Defensive rebound by Team,2,2
20,1,8:51.0,,M. Turner misses 2-pt layup from 2 ft (block by A. Horford),2,2
21,1,8:50.0,Defensive rebound by K. Bazemore,,2,2
22,1,8:42.0,A. Horford misses 2-pt hook shot from 3 ft,,2,2
23,1,8:41.0,,Defensive rebound by M. Turner,2,2
24,1,8:36.0,,Shooting foul by J. Teague (drawn by I. Mahinmi),2,2
25,1,8:36.0,,I. Mahinmi makes free throw 1 of 2,2,3
26,1,8:36.0,,I. Mahinmi makes free throw 2 of 2,2,4
27,1,8:13.0,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),,5,4
28,1,8:13.0,Shooting foul by P. George (drawn by K. Korver),,5,4
29,1,8:13.0,K. Korver misses free throw 1 of 1,,5,4
30,1,8:13.0,,Defensive rebound by P. George,5,4
31,1,8:01.0,,P. George misses 2-pt layup from 1 ft (block by A. Horford),5,4
32,1,7:59.0,Defensive rebound by P. Millsap,,5,4
33,1,7:46.0,K. Bazemore makes 2-pt layup at rim (assist by J. Teague),,7,4
34,1,7:29.0,,Turnover by G. Hill (bad pass; steal by A. Horford),7,4
35,1,7:25.0,J. Teague makes 2-pt layup from 1 ft (assist by K. Korver),,9,4
36,1,7:25.0,,Indiana full timeout,9,4
37,1,7:14.0,,M. Ellis makes 3-pt jump shot from 25 ft,9,7
38,1,7:00.0,Turnover by P. Millsap (bad pass; steal by M. Ellis),,9,7
39,1,6:56.0,,G. Hill makes 2-pt layup from 1 ft,9,9
