,QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
0,1,11:41.0,N. Powell makes 2-pt jump shot from 12 ft (assist by D. DeRozan),,2,0
1,1,11:23.0,,Shooting foul by L. Scola (drawn by A. Wiggins),2,0
2,1,11:23.0,,A. Wiggins makes free throw 1 of 2,2,1
3,1,11:23.0,,A. Wiggins makes free throw 2 of 2,2,2
4,1,11:00.0,L. Scola misses 2-pt jump shot from 17 ft,,2,2
5,1,10:58.0,Offensive rebound by J. Valančiūnas,,2,2
6,1,10:55.0,Turnover by J. Valančiūnas (bad pass; steal by A. Wiggins),,2,2
7,1,10:41.0,,Shooting foul by J. Valančiūnas (drawn by K. Towns),2,2
8,1,10:41.0,,K. Towns makes 2-pt layup from 1 ft,2,4
9,1,10:41.0,,K. Towns makes free throw 1 of 1,2,5
10,1,10:22.0,Personal foul by R. Rubio (drawn by K. Lowry),,2,5
11,1,10:11.0,Shooting foul by A. Wiggins (drawn by D. DeRozan),,2,5
12,1,10:11.0,D. DeRozan misses free throw 1 of 2,,2,5
13,1,10:11.0,Offensive rebound by Team,,2,5
14,1,10:11.0,D. DeRozan makes free throw 2 of 2,,3,5
15,1,9:55.0,,Shooting foul by J. Valančiūnas (drawn by K. Towns),3,5
16,1,9:55.0,,K. Towns makes free throw 1 of 2,3,6
17,1,9:55.0,B. Biyombo enters the game for J. Valančiūnas,,3,6
18,1,9:55.0,,K. Towns makes free throw 2 of 2,3,7
19,1,9:44.0,Shooting foul by Z. LaVine (drawn by D. DeRozan),,3,7
20,1,9:44.0,D. DeRozan misses free throw 1 of 2,,3,7
21,1,9:44.0,Offensive rebound by Team,,3,7
22,1,9:44.0,D. DeRozan makes free throw 2 of 2,,4,7
23,1,9:35.0,,Personal foul by N. Powell (drawn by A. Wiggins),4,7
24,1,9:30.0,,Z. LaVine makes 2-pt jump shot from 20 ft (assist by G. Dieng),4,9
25,1,9:06.0,K. Lowry makes 2-pt layup at rim,,6,9
26,1,8:53.0,,A. Wiggins makes 2-pt layup at rim (assist by G. Dieng),6,11
27,1,8:31.0,D. DeRozan misses 2-pt jump shot from 15 ft,,6,11
28,1,8:30.0,Offensive rebound by L. Scola,,6,11
29,1,8:29.0,Shooting foul by K. Towns (drawn by L. Scola),,6,11
30,1,8:29.0,L. Scola misses free throw 1 of 2,,6,11
31,1,8:29.0,Offensive rebound by Team,,6,11
32,1,8:29.0,L. Scola makes free throw 2 of 2,,7,11
33,1,8:16.0,,A. Wiggins misses 2-pt jump shot from 4 ft (block by K. Lowry),7,11
34,1,8:15.0,,Offensive rebound by Team,7,11
35,1,8:12.0,,K. Towns misses 2-pt jump shot from 17 ft,7,11
36,1,8:11.0,Defensive rebound by N. Powell,,7,11
37,1,8:01.0,Shooting foul by K. Towns (drawn by L. Scola),,7,11
38,1,8:01.0,L. Scola makes free throw 1 of 2,,8,11
39,1,8:01.0,,N. Bjelica enters the game for K. Towns,8,11
40,1,8:01.0,L. Scola makes free throw 2 of 2,,9,11
41,1,7:45.0,,Z. LaVine misses 2-pt layup from 2 ft (block by B. Biyombo),9,11
42,1,7:43.0,Defensive rebound by N. Powell,,9,11
43,1,7:38.0,N. Powell makes 2-pt layup from 2 ft,,11,11
44,1,7:19.0,,Turnover by N. Bjelica (3 sec),11,11
45,1,7:11.0,D. DeRozan makes 2-pt jump shot from 22 ft (assist by K. Lowry),,13,11
46,1,7:00.0,,Personal foul by N. Powell (drawn by R. Rubio),13,11
47,1,7:00.0,,R. Rubio makes free throw 1 of 2,13,12
48,1,7:00.0,T. Ross enters the game for N. Powell,,13,12
49,1,7:00.0,,R. Rubio makes free throw 2 of 2,13,13
50,1,6:46.0,K. Lowry misses 2-pt jump shot from 23 ft,,13,13
51,1,6:45.0,,Defensive rebound by N. Bjelica,13,13
52,1,6:39.0,,A. Wiggins makes 2-pt dunk at rim (assist by Z. LaVine),13,15
53,1,6:29.0,D. DeRozan misses 2-pt layup from 2 ft (block by Z. LaVine),,13,15
54,1,6:27.0,Offensive rebound by D. DeRozan,,13,15
55,1,6:23.0,L. Scola misses 3-pt jump shot from 24 ft,,13,15
56,1,6:22.0,Offensive rebound by B. Biyombo,,13,15
57,1,6:18.0,L. Scola misses 2-pt layup from 1 ft,,13,15
58,1,6:16.0,,Defensive rebound by Z. LaVine,13,15
59,1,6:05.0,,Shooting foul by B. Biyombo (drawn by G. Dieng),13,15
60,1,6:05.0,,G. Dieng makes free throw 1 of 2,13,16
61,1,6:05.0,,G. Dieng makes free throw 2 of 2,13,17
62,1,6:00.0,Toronto full timeout,,13,17
63,1,6:00.0,P. Patterson enters the game for L. Scola,,13,17
64,1,5:51.0,D. DeRozan misses 2-pt jump shot from 20 ft,,13,17
65,1,5:50.0,,Defensive rebound by R. Rubio,13,17
66,1,5:34.0,,Z. LaVine misses 2-pt jump shot from 20 ft,13,17
67,1,5:33.0,Defensive rebound by B. Biyombo,,13,17
68,1,5:23.0,B. Biyombo makes 2-pt layup from 1 ft (assist by K. Lowry),,15,17
69,1,5:04.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by N. Bjelica),15,20
70,1,4:46.0,P. Patterson misses 3-pt jump shot from 24 ft,,15,20
71,1,4:45.0,Offensive rebound by B. Biyombo,,15,20
72,1,4:42.0,K. Lowry misses 3-pt jump shot from 27 ft,,15,20
73,1,4:41.0,,Defensive rebound by G. Dieng,15,20
74,1,4:26.0,,A. Wiggins misses 2-pt jump shot from 15 ft,15,20
75,1,4:25.0,Defensive rebound by B. Biyombo,,15,20
76,1,4:13.0,D. DeRozan makes 3-pt jump shot from 22 ft (assist by K. Lowry),,18,20
77,1,3:55.0,,Turnover by G. Dieng (bad pass),18,20
78,1,3:47.0,Shooting foul by A. Wiggins (drawn by B. Biyombo),,18,20
79,1,3:47.0,,Minnesota full timeout,18,20
80,1,3:47.0,,S. Muhammad enters the game for A. Wiggins,18,20
81,1,3:47.0,B. Biyombo makes free throw 1 of 2,,19,20
82,1,3:47.0,B. Biyombo makes free throw 2 of 2,,20,20
83,1,3:28.0,,Z. LaVine misses 2-pt layup from 1 ft (block by B. Biyombo),20,20
84,1,3:26.0,Defensive rebound by K. Lowry,,20,20
85,1,3:23.0,T. Ross makes 2-pt jump shot from 3 ft (assist by K. Lowry),,22,20
86,1,3:03.0,,S. Muhammad misses 3-pt jump shot from 25 ft,22,20
87,1,3:02.0,Defensive rebound by B. Biyombo,,22,20
88,1,2:51.0,D. DeRozan makes 3-pt jump shot from 25 ft (assist by K. Lowry),,25,20
89,1,2:33.0,,G. Dieng misses 2-pt layup from 1 ft (block by B. Biyombo),25,20
90,1,2:30.0,Defensive rebound by T. Ross,,25,20
91,1,2:28.0,Turnover by T. Ross (lost ball; steal by G. Dieng),,25,20
92,1,2:26.0,,Shooting foul by K. Lowry (drawn by G. Dieng),25,20
93,1,2:26.0,,G. Dieng makes 2-pt layup from 2 ft,25,22
94,1,2:26.0,C. Joseph enters the game for K. Lowry,,25,22
95,1,2:26.0,,G. Dieng misses free throw 1 of 1,25,22
96,1,2:25.0,Defensive rebound by D. DeRozan,,25,22
97,1,2:06.0,T. Ross misses 2-pt jump shot from 21 ft,,25,22
98,1,2:05.0,,Defensive rebound by S. Muhammad,25,22
99,1,1:53.0,,G. Dieng misses 2-pt jump shot from 20 ft,25,22
100,1,1:52.0,Defensive rebound by T. Ross,,25,22
101,1,1:43.0,T. Ross makes 3-pt jump shot from 24 ft (assist by C. Joseph),,28,22
102,1,1:17.0,,G. Dieng misses 2-pt jump shot from 9 ft,28,22
103,1,1:16.0,Defensive rebound by P. Patterson,,28,22
104,1,1:07.0,Shooting foul by S. Muhammad (drawn by D. DeRozan),,28,22
105,1,1:07.0,D. DeRozan makes free throw 1 of 2,,29,22
106,1,1:07.0,,A. Miller enters the game for R. Rubio,29,22
