,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHARLOTTE_ACTION,HOUSTON_SCORE,CHARLOTTE_SCORE
0,1,11:38.0,,C. Lee makes 2-pt jump shot from 16 ft (assist by C. Zeller),0,2
1,1,11:19.0,D. Motiejūnas misses 3-pt jump shot from 24 ft,,0,2
2,1,11:17.0,,Defensive rebound by C. Lee,0,2
3,1,11:04.0,,M. Williams misses 3-pt jump shot from 27 ft,0,2
4,1,11:01.0,Defensive rebound by D. Motiejūnas,,0,2
5,1,10:55.0,D. Howard makes 2-pt layup from 1 ft (assist by J. Harden),,2,2
6,1,10:39.0,,C. Zeller misses 2-pt jump shot from 17 ft,2,2
7,1,10:38.0,Defensive rebound by D. Howard,,2,2
8,1,10:25.0,D. Motiejūnas makes 2-pt jump shot from 6 ft,,4,2
9,1,10:13.0,,K. Walker misses 3-pt jump shot from 24 ft,4,2
10,1,10:12.0,Defensive rebound by D. Howard,,4,2
11,1,9:57.0,D. Howard misses 2-pt hook shot from 5 ft,,4,2
12,1,9:56.0,Offensive rebound by D. Motiejūnas,,4,2
13,1,9:56.0,D. Motiejūnas makes 2-pt layup at rim,,6,2
14,1,9:33.0,,K. Walker misses 3-pt jump shot from 25 ft (block by P. Beverley),6,2
15,1,9:33.0,,Offensive rebound by Team,6,2
16,1,9:30.0,,M. Williams makes 2-pt jump shot from 22 ft (assist by N. Batum),6,4
17,1,9:19.0,Personal foul by K. Walker,,6,4
18,1,9:10.0,D. Howard makes 2-pt layup from 1 ft (assist by J. Harden),,8,4
19,1,8:55.0,,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),8,6
20,1,8:41.0,P. Beverley misses 3-pt jump shot from 24 ft,,8,6
21,1,8:40.0,,Defensive rebound by N. Batum,8,6
22,1,8:27.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),8,9
23,1,8:08.0,T. Ariza misses 3-pt jump shot from 23 ft,,8,9
24,1,8:07.0,,Defensive rebound by C. Zeller,8,9
25,1,8:01.0,,K. Walker misses 3-pt jump shot from 25 ft,8,9
26,1,7:59.0,Defensive rebound by T. Ariza,,8,9
27,1,7:58.0,Turnover by T. Ariza (bad pass),,8,9
28,1,7:44.0,,M. Williams makes 2-pt dunk at rim (assist by N. Batum),8,11
29,1,7:30.0,J. Harden misses 2-pt layup at rim,,8,11
30,1,7:29.0,Offensive rebound by D. Howard,,8,11
31,1,7:29.0,D. Howard makes 2-pt dunk at rim,,10,11
32,1,7:14.0,,M. Williams misses 2-pt jump shot from 21 ft,10,11
33,1,7:13.0,,Offensive rebound by C. Zeller,10,11
34,1,7:02.0,,K. Walker makes 2-pt layup at rim (assist by N. Batum),10,13
