,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,E. Mudiay misses 2-pt jump shot from 20 ft,,0,0
1,1,11:42.0,,Defensive rebound by Q. Acy,0,0
2,1,11:28.0,,Turnover by D. Cousins (lost ball; steal by E. Mudiay),0,0
3,1,11:18.0,D. Gallinari makes 3-pt jump shot from 24 ft,,3,0
4,1,11:12.0,,Shooting foul by N. Jokić (drawn by D. Cousins),3,0
5,1,11:12.0,,D. Cousins makes free throw 1 of 2,3,1
6,1,11:12.0,,D. Cousins makes free throw 2 of 2,3,2
7,1,10:48.0,G. Harris misses 3-pt jump shot from 23 ft,,3,2
8,1,10:48.0,,Defensive rebound by D. Cousins,3,2
9,1,10:35.0,,R. Gay makes 3-pt jump shot from 24 ft,3,5
10,1,10:23.0,Turnover by D. Gallinari (lost ball),,3,5
11,1,10:14.0,,Personal foul by E. Mudiay,3,5
12,1,10:08.0,,R. Rondo misses 2-pt jump shot from 21 ft,3,5
13,1,10:06.0,Defensive rebound by Team,,3,5
14,1,10:02.0,Personal foul by B. McLemore,,3,5
15,1,9:59.0,Turnover by N. Jokić (bad pass; steal by R. Rondo),,3,5
16,1,9:55.0,,Personal foul by N. Jokić,3,5
17,1,9:55.0,J. Nurkić enters the game for N. Jokić,,3,5
18,1,9:46.0,,R. Rondo misses 2-pt layup from 1 ft (block by K. Faried),3,5
19,1,9:44.0,Defensive rebound by K. Faried,,3,5
20,1,9:39.0,G. Harris makes 2-pt layup from 1 ft (assist by E. Mudiay),,5,5
21,1,9:22.0,,Turnover by D. Cousins (bad pass; steal by E. Mudiay),5,5
22,1,9:20.0,E. Mudiay makes 2-pt layup from 1 ft,,7,5
23,1,9:09.0,,Shooting foul by J. Nurkić (drawn by D. Cousins),7,5
24,1,9:09.0,,D. Cousins makes free throw 1 of 2,7,6
25,1,9:09.0,,D. Cousins makes free throw 2 of 2,7,7
26,1,8:56.0,E. Mudiay misses 2-pt jump shot from 6 ft,,7,7
27,1,8:55.0,Offensive rebound by K. Faried,,7,7
28,1,8:42.0,J. Nurkić misses 2-pt jump shot from 1 ft,,7,7
29,1,8:41.0,Offensive rebound by J. Nurkić,,7,7
30,1,8:41.0,J. Nurkić misses 2-pt layup from 1 ft,,7,7
31,1,8:40.0,,Defensive rebound by Q. Acy,7,7
32,1,8:31.0,,Turnover by D. Cousins (bad pass; steal by G. Harris),7,7
33,1,8:27.0,,Violation by Q. Acy (def goaltending),7,7
34,1,8:27.0,G. Harris makes 2-pt layup from 1 ft,,9,7
35,1,8:12.0,,R. Rondo makes 3-pt jump shot from 24 ft (assist by D. Cousins),9,10
36,1,7:56.0,Turnover by E. Mudiay (bad pass; steal by R. Gay),,9,10
37,1,7:52.0,,Turnover by R. Rondo (lost ball),9,10
38,1,7:37.0,Shooting foul by R. Gay (drawn by D. Gallinari),,9,10
39,1,7:37.0,D. Gallinari makes free throw 1 of 2,,10,10
40,1,7:37.0,D. Gallinari makes free throw 2 of 2,,11,10
