,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PORTLAND_ACTION,CLEVELAND_SCORE,PORTLAND_SCORE
0,1,11:38.0,,A. Crabbe misses 2-pt layup at rim (block by T. Mozgov),0,0
1,1,11:37.0,,Offensive rebound by N. Vonleh,0,0
2,1,11:34.0,,N. Vonleh misses 2-pt layup from 2 ft,0,0
3,1,11:32.0,Defensive rebound by T. Mozgov,,0,0
4,1,11:17.0,J. Smith misses 3-pt jump shot from 24 ft,,0,0
5,1,11:17.0,Offensive rebound by K. Love,,0,0
6,1,11:12.0,Turnover by K. Love (lost ball; steal by N. Vonleh),,0,0
7,1,10:54.0,,C. McCollum misses 2-pt layup from 1 ft,0,0
8,1,10:53.0,Defensive rebound by K. Love,,0,0
9,1,10:41.0,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),,3,0
10,1,10:24.0,,Shooting foul by J. Smith (drawn by A. Crabbe),3,0
11,1,10:24.0,,A. Crabbe makes free throw 1 of 3,3,1
12,1,10:24.0,,A. Crabbe makes free throw 2 of 3,3,2
13,1,10:24.0,,A. Crabbe makes free throw 3 of 3,3,3
14,1,10:12.0,K. Love misses 3-pt jump shot from 25 ft,,3,3
15,1,10:11.0,,Defensive rebound by M. Plumlee,3,3
16,1,10:03.0,,A. Crabbe misses 2-pt jump shot from 19 ft,3,3
17,1,10:03.0,Defensive rebound by Team,,3,3
18,1,10:03.0,,Loose ball foul by M. Plumlee (drawn by J. Smith),3,3
19,1,9:48.0,Def 3 sec tech foul by M. Plumlee,,3,3
20,1,9:48.0,K. Love misses technical free throw,,3,3
21,1,9:48.0,Offensive rebound by Team,,3,3
22,1,9:43.0,Turnover by M. Dellavedova (bad pass; steal by C. McCollum),,3,3
23,1,9:37.0,,C. McCollum misses 3-pt jump shot from 24 ft,3,3
24,1,9:36.0,,Offensive rebound by M. Plumlee,3,3
25,1,9:28.0,,C. McCollum makes 2-pt layup from 2 ft (assist by M. Plumlee),3,5
26,1,9:19.0,L. James misses 2-pt jump shot from 3 ft,,3,5
27,1,9:18.0,,Defensive rebound by N. Vonleh,3,5
28,1,9:10.0,,A. Crabbe makes 3-pt jump shot from 23 ft (assist by C. McCollum),3,8
29,1,8:56.0,Shooting foul by N. Vonleh (drawn by K. Love),,3,8
30,1,8:56.0,K. Love misses free throw 1 of 2,,3,8
31,1,8:56.0,Offensive rebound by Team,,3,8
32,1,8:56.0,K. Love makes free throw 2 of 2,,4,8
33,1,8:37.0,,C. McCollum makes 2-pt jump shot from 16 ft,4,10
34,1,8:10.0,L. James misses 2-pt jump shot from 18 ft,,4,10
35,1,8:07.0,Offensive rebound by T. Mozgov,,4,10
36,1,8:01.0,L. James misses 3-pt jump shot from 24 ft,,4,10
37,1,8:01.0,,Defensive rebound by M. Plumlee,4,10
38,1,7:52.0,,C. McCollum makes 3-pt jump shot from 24 ft,4,13
39,1,7:52.0,Cleveland full timeout,,4,13
40,1,7:37.0,Turnover by K. Love (bad pass; steal by M. Plumlee),,4,13
41,1,7:22.0,,M. Plumlee misses 2-pt jump shot from 5 ft,4,13
