,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
0,1,11:52.0,,J. Okafor misses 2-pt jump shot from 9 ft,0,0
1,1,11:51.0,Defensive rebound by T. Mozgov,,0,0
2,1,11:26.0,Turnover by J. Smith (bad pass; steal by N. Stauskas),,0,0
3,1,11:14.0,,R. Covington misses 2-pt jump shot from 15 ft,0,0
4,1,11:13.0,Defensive rebound by K. Love,,0,0
5,1,11:04.0,K. Love makes 2-pt jump shot from 15 ft,,2,0
6,1,10:47.0,,N. Noel misses 2-pt jump shot from 9 ft,2,0
7,1,10:46.0,Defensive rebound by L. James,,2,0
8,1,10:28.0,L. James makes 2-pt layup from 2 ft,,4,0
9,1,10:28.0,Shooting foul by N. Stauskas (drawn by L. James),,4,0
10,1,10:28.0,L. James makes free throw 1 of 1,,5,0
11,1,10:11.0,,N. Stauskas misses 3-pt jump shot from 25 ft,5,0
12,1,10:10.0,Defensive rebound by T. Mozgov,,5,0
13,1,10:01.0,Turnover by J. Smith (offensive foul),,5,0
14,1,10:01.0,Offensive foul by J. Smith (drawn by N. Noel),,5,0
15,1,9:54.0,,N. Stauskas makes 2-pt layup from 2 ft,5,2
16,1,9:40.0,K. Love misses 3-pt jump shot from 26 ft,,5,2
17,1,9:40.0,,Defensive rebound by N. Stauskas,5,2
18,1,9:27.0,,J. Okafor misses 2-pt layup from 2 ft,5,2
19,1,9:26.0,,Offensive rebound by Team,5,2
20,1,9:10.0,,Turnover by N. Noel (lost ball),5,2
21,1,8:58.0,K. Love makes 2-pt hook shot from 8 ft (assist by L. James),,7,2
22,1,8:45.0,,N. Stauskas misses 3-pt jump shot from 26 ft,7,2
23,1,8:44.0,Defensive rebound by T. Mozgov,,7,2
24,1,8:30.0,T. Mozgov misses 2-pt jump shot from 5 ft,,7,2
25,1,8:29.0,,Defensive rebound by N. Noel,7,2
26,1,8:22.0,,Shooting block foul by M. Williams (drawn by I. Canaan),7,2
27,1,8:22.0,,I. Canaan makes free throw 1 of 2,7,3
28,1,8:22.0,,H. Thompson enters the game for N. Noel,7,3
29,1,8:22.0,,J. Grant enters the game for N. Stauskas,7,3
30,1,8:22.0,,I. Canaan makes free throw 2 of 2,7,4
31,1,8:10.0,Turnover by L. James (lost ball; steal by R. Covington),,7,4
32,1,8:03.0,,J. Okafor makes 2-pt hook shot from 9 ft (assist by I. Canaan),7,6
33,1,7:48.0,J. Smith misses 2-pt jump shot from 6 ft,,7,6
34,1,7:47.0,Offensive rebound by T. Mozgov,,7,6
35,1,7:47.0,T. Mozgov misses 2-pt jump shot from 3 ft,,7,6
36,1,7:45.0,Offensive rebound by T. Mozgov,,7,6
37,1,7:45.0,Turnover by T. Mozgov (lost ball; steal by R. Covington),,7,6
38,1,7:40.0,,R. Covington misses 3-pt jump shot from 25 ft,7,6
39,1,7:38.0,,Offensive rebound by J. Okafor,7,6
40,1,7:37.0,,J. Okafor makes 2-pt layup from 1 ft,7,8
41,1,7:22.0,M. Williams makes 3-pt jump shot from 28 ft,,10,8
42,1,7:03.0,,Shooting foul by J. Smith (drawn by H. Thompson),10,8
43,1,7:03.0,,H. Thompson makes free throw 1 of 3,10,9
44,1,7:03.0,,H. Thompson makes free throw 2 of 3,10,10
45,1,7:03.0,,T. McConnell enters the game for I. Canaan,10,10
46,1,7:03.0,R. Jefferson enters the game for J. Smith,,10,10
47,1,7:03.0,,H. Thompson makes free throw 3 of 3,10,11
48,1,6:52.0,Def 3 sec tech foul by J. Okafor,,10,11
49,1,6:52.0,M. Williams makes technical free throw,,11,11
50,1,6:43.0,M. Williams makes 2-pt jump shot from 20 ft (assist by T. Mozgov),,13,11
51,1,6:34.0,,Turnover by R. Covington (bad pass; steal by L. James),13,11
52,1,6:28.0,R. Jefferson makes 2-pt layup from 2 ft (assist by L. James),,15,11
53,1,6:21.0,,Philadelphia full timeout,15,11
54,1,6:21.0,,N. Noel enters the game for J. Okafor,15,11
55,1,6:10.0,,N. Noel makes 2-pt layup from 1 ft (assist by T. McConnell),15,13
56,1,5:55.0,K. Love misses 3-pt jump shot from 25 ft,,15,13
57,1,5:53.0,Offensive rebound by T. Mozgov,,15,13
58,1,5:41.0,K. Love misses 2-pt jump shot from 21 ft,,15,13
59,1,5:40.0,,Defensive rebound by R. Covington,15,13
60,1,5:33.0,,Turnover by J. Grant (traveling),15,13
61,1,5:33.0,,N. Stauskas enters the game for R. Covington,15,13
62,1,5:20.0,L. James misses 3-pt jump shot from 23 ft,,15,13
63,1,5:17.0,,Defensive rebound by T. McConnell,15,13
64,1,5:08.0,,N. Noel makes 2-pt dunk at rim (assist by T. McConnell),15,15
65,1,4:45.0,L. James misses 2-pt jump shot from 17 ft,,15,15
66,1,4:43.0,,Defensive rebound by N. Noel,15,15
67,1,4:36.0,,N. Noel makes 2-pt jump shot from 20 ft (assist by T. McConnell),15,17
68,1,4:23.0,Turnover by L. James (bad pass),,15,17
69,1,4:23.0,M. Dellavedova enters the game for M. Williams,,15,17
70,1,4:23.0,T. Thompson enters the game for K. Love,,15,17
71,1,4:04.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by N. Noel),15,20
72,1,3:59.0,Cleveland full timeout,,15,20
73,1,3:59.0,A. Varejão enters the game for T. Mozgov,,15,20
74,1,3:42.0,T. Thompson makes 2-pt layup from 2 ft,,17,20
75,1,3:23.0,,N. Noel makes 2-pt dunk at rim (assist by H. Thompson),17,22
76,1,3:09.0,R. Jefferson misses 2-pt jump shot from 20 ft,,17,22
77,1,3:07.0,,Defensive rebound by N. Noel,17,22
78,1,3:01.0,,T. McConnell makes 2-pt layup from 1 ft,17,24
79,1,2:49.0,Turnover by A. Varejão (lost ball; steal by N. Noel),,17,24
80,1,2:46.0,,Turnover by N. Noel (lost ball),17,24
