,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
0,1,11:47.0,Turnover by N. Noel (lost ball),,0,0
1,1,11:25.0,,M. Gortat makes 2-pt layup at rim (assist by J. Dudley),0,2
2,1,11:11.0,R. Covington misses 3-pt jump shot from 27 ft,,0,2
3,1,11:10.0,,Defensive rebound by J. Wall,0,2
4,1,10:53.0,,M. Gortat misses 2-pt jump shot from 6 ft,0,2
5,1,10:52.0,Defensive rebound by N. Stauskas,,0,2
6,1,10:44.0,J. Okafor misses 2-pt jump shot from 18 ft,,0,2
7,1,10:43.0,,Defensive rebound by J. Dudley,0,2
8,1,10:38.0,,Personal foul by N. Noel (drawn by M. Gortat),0,2
9,1,10:30.0,,M. Gortat misses 2-pt jump shot from 4 ft,0,2
10,1,10:29.0,Defensive rebound by J. Okafor,,0,2
11,1,10:20.0,I. Smith misses 2-pt dunk at rim (block by J. Wall),,0,2
12,1,10:19.0,,Defensive rebound by J. Dudley,0,2
13,1,10:14.0,,B. Beal misses 3-pt jump shot from 26 ft,0,2
14,1,10:12.0,Defensive rebound by J. Okafor,,0,2
15,1,10:00.0,J. Okafor makes 2-pt jump shot from 13 ft,,2,2
16,1,9:46.0,,J. Wall makes 2-pt layup at rim,2,4
17,1,9:24.0,N. Noel misses 2-pt jump shot from 6 ft,,2,4
18,1,9:23.0,Offensive rebound by R. Covington,,2,4
19,1,9:16.0,I. Smith makes 2-pt jump shot from 16 ft (assist by N. Stauskas),,4,4
20,1,8:54.0,,J. Dudley makes 3-pt jump shot from 25 ft (assist by J. Wall),4,7
21,1,8:46.0,I. Smith misses 2-pt jump shot from 5 ft,,4,7
22,1,8:45.0,,Defensive rebound by J. Wall,4,7
23,1,8:40.0,,J. Wall misses 2-pt jump shot from 16 ft,4,7
24,1,8:38.0,,Offensive rebound by M. Gortat,4,7
25,1,8:32.0,,Personal foul by N. Stauskas (drawn by M. Gortat),4,7
26,1,8:30.0,,B. Beal misses 2-pt layup from 2 ft (block by R. Covington),4,7
27,1,8:27.0,,Offensive rebound by B. Beal,4,7
28,1,8:23.0,,B. Beal makes 2-pt layup from 1 ft,4,9
29,1,8:23.0,,Shooting foul by R. Covington (drawn by B. Beal),4,9
30,1,8:23.0,,B. Beal makes free throw 1 of 1,4,10
31,1,8:06.0,I. Smith makes 2-pt jump shot from 16 ft (assist by N. Stauskas),,6,10
32,1,7:59.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),6,12
33,1,7:48.0,J. Okafor misses 2-pt jump shot from 5 ft,,6,12
34,1,7:47.0,,Defensive rebound by O. Porter,6,12
35,1,7:40.0,,Personal foul by J. Okafor (drawn by M. Gortat),6,12
36,1,7:26.0,,B. Beal makes 2-pt jump shot from 6 ft,6,14
37,1,7:14.0,N. Stauskas misses 3-pt jump shot from 24 ft,,6,14
38,1,7:13.0,,Defensive rebound by M. Gortat,6,14
39,1,6:51.0,,J. Wall makes 3-pt jump shot from 25 ft,6,17
40,1,6:50.0,Philadelphia full timeout,,6,17
41,1,6:50.0,J. Grant enters the game for N. Noel,,6,17
42,1,6:34.0,I. Smith misses 2-pt jump shot from 20 ft,,6,17
43,1,6:32.0,Offensive rebound by J. Okafor,,6,17
44,1,6:32.0,J. Okafor makes 2-pt layup from 1 ft,,8,17
45,1,6:32.0,Shooting foul by M. Gortat (drawn by J. Okafor),,8,17
46,1,6:32.0,J. Okafor makes free throw 1 of 1,,9,17
47,1,6:08.0,,O. Porter misses 2-pt layup from 1 ft,9,17
48,1,6:08.0,,Offensive rebound by M. Gortat,9,17
49,1,6:08.0,,Turnover by Team (shot clock),9,17
50,1,5:45.0,J. Grant makes 3-pt jump shot from 23 ft (assist by I. Smith),,12,17
51,1,5:33.0,,B. Beal makes 2-pt jump shot from 11 ft,12,19
52,1,5:33.0,,Shooting foul by J. Grant (drawn by B. Beal),12,19
53,1,5:33.0,H. Thompson enters the game for N. Stauskas,,12,19
54,1,5:33.0,,G. Temple enters the game for O. Porter,12,19
55,1,5:33.0,,B. Beal makes free throw 1 of 1,12,20
56,1,5:19.0,I. Smith misses 3-pt jump shot from 24 ft,,12,20
57,1,5:18.0,,Defensive rebound by M. Gortat,12,20
58,1,4:58.0,,M. Gortat makes 2-pt hook shot at rim,12,22
59,1,4:39.0,J. Okafor misses 2-pt jump shot from 11 ft,,12,22
