,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DALLAS_ACTION,GOLDEN STATE_SCORE,DALLAS_SCORE
0,1,11:36.0,A. Bogut makes 2-pt layup from 2 ft (assist by S. Livingston),,2,0
1,1,11:11.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,2,0
2,1,11:10.0,Defensive rebound by A. Bogut,,2,0
3,1,11:01.0,D. Green misses 3-pt jump shot from 24 ft,,2,0
4,1,11:01.0,,Defensive rebound by D. Nowitzki,2,0
5,1,10:55.0,,J. Barea makes 2-pt hook shot from 6 ft,2,2
6,1,10:29.0,S. Livingston makes 2-pt jump shot from 13 ft (assist by K. Thompson),,4,2
7,1,10:12.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,4,2
8,1,10:11.0,Defensive rebound by B. Rush,,4,2
9,1,10:03.0,K. Thompson misses 2-pt jump shot from 6 ft,,4,2
10,1,10:02.0,,Defensive rebound by J. Barea,4,2
11,1,9:50.0,,Z. Pachulia makes 2-pt jump shot from 3 ft (assist by J. Barea),4,4
12,1,9:34.0,K. Thompson misses 2-pt layup from 2 ft,,4,4
13,1,9:33.0,Offensive rebound by A. Bogut,,4,4
14,1,9:33.0,A. Bogut makes 2-pt layup from 2 ft,,6,4
15,1,9:17.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,6,4
16,1,9:16.0,Defensive rebound by A. Bogut,,6,4
17,1,9:05.0,K. Thompson misses 2-pt jump shot from 14 ft,,6,4
18,1,9:04.0,,Defensive rebound by D. Nowitzki,6,4
19,1,8:50.0,,J. Barea makes 2-pt jump shot from 9 ft,6,6
20,1,8:31.0,S. Livingston makes 2-pt jump shot from 16 ft,,8,6
21,1,8:06.0,,W. Matthews misses 2-pt jump shot from 9 ft,8,6
22,1,8:05.0,,Offensive rebound by Z. Pachulia,8,6
23,1,8:00.0,,J. Barea makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),8,9
24,1,7:38.0,K. Thompson misses 2-pt jump shot from 13 ft,,8,9
25,1,7:37.0,,Defensive rebound by D. Nowitzki,8,9
26,1,7:25.0,,Z. Pachulia misses 2-pt layup from 2 ft,8,9
27,1,7:24.0,Defensive rebound by A. Bogut,,8,9
28,1,7:11.0,D. Green misses 2-pt layup from 3 ft,,8,9
29,1,7:09.0,,Defensive rebound by Z. Pachulia,8,9
30,1,7:05.0,,Turnover by C. Parsons (bad pass; steal by D. Green),8,9
31,1,6:58.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),,10,9
32,1,6:35.0,,D. Nowitzki makes 2-pt layup from 2 ft,10,11
33,1,6:18.0,S. Livingston misses 2-pt jump shot from 8 ft,,10,11
34,1,6:17.0,,Defensive rebound by C. Parsons,10,11
35,1,6:09.0,,W. Matthews makes 3-pt jump shot from 22 ft (assist by C. Parsons),10,14
36,1,5:46.0,K. Thompson misses 3-pt jump shot from 24 ft,,10,14
37,1,5:45.0,Offensive rebound by S. Livingston,,10,14
