,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
0,1,11:37.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by T. Prince),,3,0
1,1,11:17.0,,K. Bryant misses 3-pt jump shot from 25 ft,3,0
2,1,11:16.0,Defensive rebound by K. Towns,,3,0
3,1,11:07.0,R. Rubio misses 2-pt jump shot from 14 ft (block by R. Hibbert),,3,0
4,1,11:07.0,,Defensive rebound by Team,3,0
5,1,10:51.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by J. Randle),3,2
6,1,10:36.0,A. Wiggins makes 2-pt layup from 3 ft (assist by K. Garnett),,5,2
7,1,10:19.0,,R. Hibbert misses 2-pt hook shot from 13 ft,5,2
8,1,10:15.0,Defensive rebound by K. Garnett,,5,2
9,1,10:02.0,K. Towns misses 2-pt hook shot from 3 ft,,5,2
10,1,10:02.0,,Defensive rebound by J. Randle,5,2
11,1,9:56.0,,J. Randle misses 2-pt jump shot from 17 ft,5,2
12,1,9:55.0,,Offensive rebound by Team,5,2
13,1,9:43.0,,J. Randle misses 2-pt layup from 1 ft,5,2
14,1,9:41.0,Defensive rebound by K. Garnett,,5,2
15,1,9:40.0,Shooting foul by D. Russell (drawn by R. Rubio),,5,2
16,1,9:40.0,R. Rubio makes free throw 1 of 2,,6,2
17,1,9:40.0,R. Rubio makes free throw 2 of 2,,7,2
18,1,9:23.0,,J. Clarkson makes 2-pt jump shot from 9 ft,7,4
19,1,9:14.0,R. Rubio misses 2-pt layup from 2 ft,,7,4
20,1,9:09.0,Offensive rebound by K. Towns,,7,4
21,1,9:09.0,K. Towns makes 2-pt dunk at rim,,9,4
22,1,8:54.0,,K. Bryant makes 2-pt jump shot from 15 ft (assist by R. Hibbert),9,6
23,1,8:44.0,Turnover by A. Wiggins (traveling),,9,6
24,1,8:31.0,,K. Bryant misses 2-pt jump shot from 18 ft,9,6
25,1,8:30.0,Defensive rebound by T. Prince,,9,6
26,1,8:16.0,K. Garnett misses 2-pt jump shot from 18 ft,,9,6
27,1,8:15.0,,Defensive rebound by J. Clarkson,9,6
28,1,8:07.0,,K. Bryant misses 2-pt jump shot from 19 ft,9,6
29,1,8:07.0,,Offensive rebound by D. Russell,9,6
30,1,8:04.0,,D. Russell misses 2-pt layup from 2 ft,9,6
31,1,8:02.0,Defensive rebound by K. Garnett,,9,6
32,1,7:56.0,R. Rubio makes 2-pt layup from 1 ft (assist by K. Garnett),,11,6
33,1,7:40.0,,J. Clarkson misses 2-pt jump shot from 4 ft,11,6
34,1,7:39.0,Defensive rebound by K. Garnett,,11,6
35,1,7:25.0,A. Wiggins misses 2-pt jump shot from 5 ft,,11,6
36,1,7:24.0,,Defensive rebound by J. Randle,11,6
37,1,7:15.0,,K. Bryant misses 2-pt jump shot from 15 ft,11,6
38,1,7:14.0,Defensive rebound by K. Towns,,11,6
39,1,7:09.0,Minnesota full timeout,,11,6
40,1,7:09.0,N. Bjelica enters the game for K. Garnett,,11,6
41,1,7:02.0,K. Towns misses 2-pt jump shot from 17 ft,,11,6
42,1,7:01.0,,Defensive rebound by K. Bryant,11,6
43,1,6:50.0,,Shooting foul by N. Bjelica (drawn by J. Randle),11,6
44,1,6:50.0,,J. Randle makes free throw 1 of 2,11,7
45,1,6:50.0,,J. Randle makes free throw 2 of 2,11,8
46,1,6:35.0,A. Wiggins misses 2-pt jump shot from 15 ft,,11,8
47,1,6:33.0,,Defensive rebound by K. Bryant,11,8
48,1,6:23.0,,K. Bryant misses 3-pt jump shot from 22 ft,11,8
49,1,6:22.0,,Offensive rebound by R. Hibbert,11,8
50,1,6:17.0,,Turnover by R. Hibbert (traveling),11,8
51,1,6:17.0,K. Martin enters the game for T. Prince,,11,8
52,1,6:04.0,Personal foul by D. Russell (drawn by R. Rubio),,11,8
53,1,6:04.0,,L. Williams enters the game for D. Russell,11,8
54,1,5:49.0,R. Rubio makes 3-pt jump shot from 25 ft,,14,8
55,1,5:39.0,,K. Bryant makes 2-pt jump shot from 6 ft (assist by J. Clarkson),14,10
56,1,5:22.0,A. Wiggins misses 3-pt jump shot from 25 ft,,14,10
57,1,5:22.0,Offensive rebound by Team,,14,10
58,1,5:22.0,,N. Young enters the game for K. Bryant,14,10
59,1,5:13.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by R. Rubio),,17,10
60,1,5:04.0,,Personal foul by R. Rubio (drawn by J. Clarkson),17,10
61,1,5:04.0,S. Muhammad enters the game for A. Wiggins,,17,10
62,1,5:04.0,Z. LaVine enters the game for R. Rubio,,17,10
63,1,4:53.0,,J. Randle misses 2-pt layup from 2 ft,17,10
64,1,4:52.0,,Offensive rebound by R. Hibbert,17,10
65,1,4:48.0,,R. Hibbert makes 2-pt layup from 1 ft,17,12
66,1,4:39.0,K. Martin misses 3-pt jump shot from 26 ft,,17,12
67,1,4:38.0,,Defensive rebound by R. Hibbert,17,12
68,1,4:34.0,,Shooting foul by K. Martin (drawn by L. Williams),17,12
69,1,4:34.0,,L. Williams makes free throw 1 of 2,17,13
70,1,4:34.0,G. Dieng enters the game for K. Towns,,17,13
71,1,4:34.0,,L. Williams makes free throw 2 of 2,17,14
72,1,4:21.0,Z. LaVine misses 2-pt jump shot from 15 ft,,17,14
73,1,4:21.0,,Defensive rebound by J. Randle,17,14
74,1,4:11.0,,N. Young misses 3-pt jump shot from 24 ft,17,14
75,1,4:10.0,Defensive rebound by Z. LaVine,,17,14
76,1,3:55.0,G. Dieng misses 2-pt jump shot from 19 ft,,17,14
77,1,3:54.0,,Defensive rebound by N. Young,17,14
78,1,3:40.0,,J. Randle makes 2-pt dunk at rim (assist by R. Hibbert),17,16
79,1,3:23.0,K. Martin misses 3-pt jump shot from 26 ft,,17,16
80,1,3:23.0,,Defensive rebound by N. Young,17,16
81,1,3:11.0,,N. Young makes 2-pt jump shot from 12 ft,17,18
82,1,2:56.0,G. Dieng misses 2-pt jump shot from 4 ft (block by R. Hibbert),,17,18
83,1,2:55.0,,Defensive rebound by R. Hibbert,17,18
84,1,2:40.0,,J. Randle misses 2-pt layup from 2 ft (block by G. Dieng),17,18
85,1,2:40.0,,Offensive rebound by Team,17,18
86,1,2:40.0,,LA Lakers full timeout,17,18
87,1,2:40.0,,R. Kelly enters the game for J. Randle,17,18
88,1,2:40.0,,B. Bass enters the game for R. Hibbert,17,18
89,1,2:37.0,,L. Williams misses 2-pt jump shot from 20 ft,17,18
90,1,2:37.0,,Offensive rebound by Team,17,18
91,1,2:37.0,Loose ball foul by N. Bjelica (drawn by R. Kelly),,17,18
92,1,2:29.0,,L. Williams makes 3-pt jump shot from 23 ft (assist by J. Clarkson),17,21
93,1,2:07.0,G. Dieng misses 2-pt jump shot from 14 ft,,17,21
94,1,2:06.0,,Defensive rebound by L. Williams,17,21
95,1,1:59.0,,Shooting block foul by N. Bjelica (drawn by J. Clarkson),17,21
96,1,1:59.0,,J. Clarkson misses free throw 1 of 2,17,21
97,1,1:59.0,,Offensive rebound by Team,17,21
98,1,1:59.0,A. Payne enters the game for N. Bjelica,,17,21
99,1,1:59.0,,J. Clarkson makes free throw 2 of 2,17,22
100,1,1:36.0,S. Muhammad makes 3-pt jump shot from 24 ft (assist by Z. LaVine),,20,22
101,1,1:19.0,,L. Williams makes 2-pt layup from 2 ft,20,24
102,1,0:54.0,Z. LaVine misses 3-pt jump shot from 24 ft,,20,24
103,1,0:53.0,,Defensive rebound by B. Bass,20,24
104,1,0:47.0,,J. Clarkson makes 2-pt layup from 2 ft,20,26
105,1,0:32.0,Turnover by S. Muhammad (bad pass),,20,26
106,1,0:23.0,,L. Williams makes 2-pt jump shot from 15 ft (assist by J. Clarkson),20,28
107,1,0:03.0,Z. LaVine misses 2-pt layup from 1 ft,,20,28
108,1,0:03.0,Offensive rebound by Z. LaVine,,20,28
109,1,0:03.0,Z. LaVine makes 2-pt layup from 1 ft,,22,28
110,1,0:00.0,,N. Young makes 3-pt jump shot from 40 ft (assist by R. Kelly),22,31
111,2,11:36.0,,B. Bass misses 2-pt jump shot from 9 ft,22,31
112,2,11:36.0,Defensive rebound by G. Dieng,,22,31
113,2,11:17.0,Personal foul by L. Williams,,22,31
