,QUARTER,TIME_REMAINING,MIAMI_ACTION,DETROIT_ACTION,MIAMI_SCORE,DETROIT_SCORE
0,1,11:40.0,,A. Drummond misses 2-pt hook shot from 5 ft,0,0
1,1,11:39.0,Defensive rebound by L. Deng,,0,0
2,1,11:19.0,G. Dragić misses 3-pt jump shot from 23 ft,,0,0
3,1,11:18.0,,Defensive rebound by A. Drummond,0,0
4,1,10:59.0,,T. Harris misses 2-pt jump shot from 8 ft,0,0
5,1,10:59.0,Defensive rebound by L. Deng,,0,0
6,1,10:39.0,D. Wade misses 2-pt jump shot from 5 ft,,0,0
7,1,10:38.0,Offensive rebound by H. Whiteside,,0,0
8,1,10:36.0,H. Whiteside misses 2-pt layup at rim,,0,0
9,1,10:34.0,,Defensive rebound by M. Morris,0,0
10,1,10:28.0,,A. Drummond misses 2-pt dunk at rim,0,0
11,1,10:25.0,,Offensive rebound by M. Morris,0,0
12,1,10:15.0,,M. Morris misses 3-pt jump shot from 25 ft,0,0
13,1,10:15.0,Defensive rebound by L. Deng,,0,0
14,1,9:54.0,G. Dragić makes 2-pt layup at rim,,2,0
15,1,9:35.0,,M. Morris makes 2-pt jump shot from 17 ft,2,2
16,1,9:17.0,H. Whiteside misses 2-pt jump shot from 8 ft,,2,2
17,1,9:17.0,,Defensive rebound by M. Morris,2,2
18,1,9:04.0,,K. Caldwell-Pope misses 2-pt jump shot from 7 ft,2,2
19,1,9:03.0,Defensive rebound by J. Johnson,,2,2
20,1,8:52.0,J. Johnson misses 2-pt jump shot from 6 ft,,2,2
21,1,8:50.0,,Defensive rebound by A. Drummond,2,2
22,1,8:44.0,,Personal foul by G. Dragić,2,2
23,1,8:40.0,,K. Caldwell-Pope misses 2-pt layup at rim,2,2
24,1,8:39.0,Defensive rebound by H. Whiteside,,2,2
25,1,8:26.0,Turnover by L. Deng (lost ball; steal by T. Harris),,2,2
26,1,8:19.0,,T. Harris makes 2-pt layup from 1 ft,2,4
27,1,7:46.0,L. Deng misses 3-pt jump shot from 22 ft,,2,4
28,1,7:45.0,,Defensive rebound by S. Blake,2,4
29,1,7:43.0,,Turnover by S. Blake (traveling),2,4
30,1,7:27.0,D. Wade misses 2-pt jump shot from 16 ft,,2,4
