,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DETROIT_ACTION,MINNESOTA_SCORE,DETROIT_SCORE
0,1,11:42.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,0,0
1,1,11:41.0,Defensive rebound by K. Towns,,0,0
2,1,11:29.0,G. Dieng makes 2-pt dunk at rim (assist by K. Towns),,2,0
3,1,11:15.0,,E. İlyasova misses 2-pt jump shot from 21 ft,2,0
4,1,11:15.0,Defensive rebound by R. Rubio,,2,0
5,1,10:57.0,A. Wiggins makes 3-pt jump shot from 26 ft,,5,0
6,1,10:31.0,,M. Morris makes 2-pt jump shot from 16 ft,5,2
7,1,10:15.0,A. Wiggins misses 2-pt jump shot from 20 ft,,5,2
8,1,10:14.0,,Defensive rebound by A. Drummond,5,2
9,1,10:08.0,,Turnover by M. Morris (bad pass; steal by G. Dieng),5,2
10,1,9:54.0,R. Rubio makes 2-pt layup at rim (assist by K. Towns),,7,2
11,1,9:32.0,,E. İlyasova misses 2-pt layup from 1 ft,7,2
12,1,9:31.0,Defensive rebound by G. Dieng,,7,2
13,1,9:20.0,A. Wiggins misses 2-pt jump shot from 6 ft,,7,2
14,1,9:18.0,,Defensive rebound by A. Drummond,7,2
15,1,9:09.0,,M. Morris misses 3-pt jump shot from 25 ft,7,2
16,1,9:08.0,Defensive rebound by G. Dieng,,7,2
17,1,8:59.0,Turnover by R. Rubio (bad pass; steal by K. Caldwell-Pope),,7,2
18,1,8:56.0,,Shooting foul by R. Rubio (drawn by K. Caldwell-Pope),7,2
19,1,8:56.0,,K. Caldwell-Pope misses free throw 1 of 2,7,2
20,1,8:56.0,,Offensive rebound by Team,7,2
21,1,8:56.0,,K. Caldwell-Pope makes free throw 2 of 2,7,3
22,1,8:41.0,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),,9,3
23,1,8:32.0,,Offensive foul by M. Morris (drawn by K. Towns),9,3
24,1,8:32.0,,Turnover by M. Morris (offensive foul),9,3
25,1,8:18.0,K. Towns makes 2-pt jump shot from 12 ft,,11,3
26,1,8:12.0,,Detroit full timeout,11,3
