,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MILWAUKEE_ACTION,HOUSTON_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,J. Parker makes 2-pt jump shot from 6 ft (assist by O. Mayo),0,2
1,1,11:21.0,J. Smith misses 2-pt jump shot from 22 ft,,0,2
2,1,11:20.0,,Defensive rebound by O. Mayo,0,2
3,1,11:13.0,,K. Middleton misses 2-pt jump shot from 17 ft,0,2
4,1,11:11.0,,Offensive rebound by J. Parker,0,2
5,1,11:05.0,,J. Parker makes 2-pt layup at rim,0,4
6,1,11:01.0,J. Smith makes 2-pt layup from 2 ft (assist by T. Ariza),,2,4
7,1,11:01.0,Shooting foul by O. Mayo (drawn by J. Smith),,2,4
8,1,11:01.0,J. Smith misses free throw 1 of 1,,2,4
9,1,10:58.0,,Defensive rebound by G. Antetokounmpo,2,4
10,1,10:51.0,,G. Antetokounmpo makes 2-pt jump shot from 16 ft,2,6
11,1,10:35.0,D. Howard misses 2-pt layup from 2 ft (block by M. Plumlee),,2,6
12,1,10:32.0,Offensive rebound by T. Ariza,,2,6
13,1,10:25.0,T. Ariza misses 3-pt jump shot from 24 ft,,2,6
14,1,10:23.0,,Defensive rebound by G. Antetokounmpo,2,6
15,1,10:06.0,,J. Parker makes 2-pt jump shot from 17 ft,2,8
16,1,9:49.0,P. Beverley makes 2-pt jump shot from 8 ft,,4,8
17,1,9:32.0,,Def 3 sec tech foul by D. Howard,4,8
18,1,9:32.0,,K. Middleton makes technical free throw,4,9
19,1,9:22.0,,J. Parker misses 2-pt dunk at rim,4,9
20,1,9:20.0,Defensive rebound by T. Ariza,,4,9
21,1,9:05.0,J. Smith misses 3-pt jump shot from 23 ft,,4,9
22,1,9:03.0,,Defensive rebound by G. Antetokounmpo,4,9
23,1,8:58.0,,Shooting foul by J. Smith (drawn by G. Antetokounmpo),4,9
24,1,8:58.0,,G. Antetokounmpo makes free throw 1 of 2,4,10
25,1,8:58.0,,G. Antetokounmpo misses free throw 2 of 2,4,10
26,1,8:56.0,Defensive rebound by J. Harden,,4,10
27,1,8:46.0,D. Howard makes 2-pt layup from 1 ft (assist by J. Harden),,6,10
28,1,8:33.0,,M. Plumlee makes 2-pt hook shot from 4 ft,6,12
29,1,8:21.0,P. Beverley misses 2-pt layup from 1 ft,,6,12
30,1,8:21.0,Offensive rebound by D. Howard,,6,12
31,1,8:21.0,Shooting foul by O. Mayo (drawn by D. Howard),,6,12
32,1,8:21.0,D. Howard makes free throw 1 of 2,,7,12
33,1,8:21.0,,J. Bayless enters the game for O. Mayo,7,12
34,1,8:21.0,D. Howard makes free throw 2 of 2,,8,12
35,1,7:59.0,,J. Parker makes 2-pt jump shot from 11 ft (assist by K. Middleton),8,14
36,1,7:47.0,Def 3 sec tech foul by G. Antetokounmpo,,8,14
37,1,7:47.0,J. Harden makes technical free throw,,9,14
38,1,7:38.0,D. Howard makes 2-pt dunk at rim (assist by T. Ariza),,11,14
39,1,7:23.0,,J. Parker misses 2-pt jump shot from 19 ft,11,14
40,1,7:21.0,Defensive rebound by J. Harden,,11,14
41,1,7:09.0,Turnover by J. Smith (lost ball; steal by J. Parker),,11,14
42,1,7:06.0,Violation by T. Ariza (kicked ball),,11,14
43,1,6:48.0,,J. Parker makes 2-pt jump shot from 7 ft (assist by M. Plumlee),11,16
44,1,6:40.0,D. Howard makes 2-pt dunk at rim (assist by J. Harden),,13,16
45,1,6:40.0,Shooting foul by M. Plumlee (drawn by D. Howard),,13,16
46,1,6:40.0,D. Motiejūnas enters the game for J. Smith,,13,16
47,1,6:40.0,,G. Monroe enters the game for M. Plumlee,13,16
48,1,6:40.0,D. Howard makes free throw 1 of 1,,14,16
49,1,6:28.0,,Turnover by J. Parker (bad pass),14,16
50,1,6:13.0,D. Motiejūnas makes 3-pt jump shot from 23 ft (assist by T. Ariza),,17,16
51,1,5:45.0,,K. Middleton makes 2-pt jump shot from 22 ft,17,18
52,1,5:19.0,D. Howard misses 2-pt hook shot from 7 ft,,17,18
53,1,5:18.0,,Defensive rebound by Team,17,18
54,1,5:18.0,,Milwaukee full timeout,17,18
55,1,5:18.0,T. Jones enters the game for D. Howard,,17,18
56,1,5:02.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Middleton),17,20
57,1,4:37.0,T. Jones makes 2-pt layup from 2 ft (assist by T. Ariza),,19,20
58,1,4:26.0,Offensive charge foul by G. Antetokounmpo (drawn by D. Motiejūnas),,19,20
59,1,4:26.0,,Turnover by G. Antetokounmpo (offensive foul),19,20
60,1,4:10.0,T. Ariza makes 2-pt jump shot from 9 ft (assist by J. Harden),,21,20
61,1,3:49.0,,K. Middleton misses 3-pt jump shot from 23 ft,21,20
62,1,3:48.0,,Offensive rebound by G. Monroe,21,20
63,1,3:45.0,,G. Monroe makes 2-pt layup from 2 ft,21,22
64,1,3:25.0,P. Beverley misses 2-pt jump shot from 8 ft,,21,22
65,1,3:24.0,Offensive rebound by T. Jones,,21,22
66,1,3:24.0,T. Jones misses 2-pt layup from 1 ft,,21,22
67,1,3:23.0,,Defensive rebound by G. Monroe,21,22
68,1,3:17.0,,Shooting foul by P. Beverley (drawn by K. Middleton),21,22
69,1,3:17.0,,K. Middleton makes free throw 1 of 2,21,23
70,1,3:17.0,C. Brewer enters the game for P. Beverley,,21,23
71,1,3:17.0,T. Lawson enters the game for T. Ariza,,21,23
72,1,3:17.0,,K. Middleton makes free throw 2 of 2,21,24
73,1,3:03.0,Turnover by D. Motiejūnas (bad pass),,21,24
74,1,2:45.0,,G. Antetokounmpo makes 2-pt jump shot from 20 ft,21,26
75,1,2:26.0,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Brewer),,24,26
76,1,2:04.0,,G. Monroe misses 2-pt jump shot from 14 ft,24,26
77,1,2:02.0,Defensive rebound by D. Motiejūnas,,24,26
78,1,1:57.0,C. Brewer misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,24,26
79,1,1:54.0,Offensive rebound by D. Motiejūnas,,24,26
80,1,1:50.0,J. Harden misses 2-pt layup from 1 ft,,24,26
81,1,1:50.0,,Defensive rebound by G. Antetokounmpo,24,26
82,1,1:44.0,,Turnover by G. Antetokounmpo (bad pass; steal by T. Lawson),24,26
83,1,1:33.0,T. Lawson misses 3-pt jump shot from 24 ft,,24,26
84,1,1:31.0,,Defensive rebound by G. Antetokounmpo,24,26
85,1,1:21.0,,J. Parker makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),24,28
86,1,1:21.0,Houston full timeout,,24,28
87,1,1:21.0,D. Howard enters the game for J. Harden,,24,28
88,1,1:21.0,J. Terry enters the game for D. Motiejūnas,,24,28
89,1,0:58.0,T. Jones misses 2-pt jump shot from 16 ft,,24,28
90,1,0:57.0,,Defensive rebound by G. Antetokounmpo,24,28
91,1,0:52.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,24,28
92,1,0:50.0,Defensive rebound by C. Brewer,,24,28
93,1,0:44.0,J. Terry misses 3-pt jump shot from 25 ft,,24,28
94,1,0:40.0,,Defensive rebound by G. Antetokounmpo,24,28
95,1,0:31.0,,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),24,30
96,1,0:08.0,T. Jones makes 2-pt jump shot from 8 ft (assist by T. Lawson),,26,30
97,1,0:02.0,,Shooting foul by J. Terry (drawn by K. Middleton),26,30
98,1,0:02.0,,K. Middleton makes free throw 1 of 2,26,31
99,1,0:02.0,,J. O'Bryant enters the game for J. Parker,26,31
100,1,0:02.0,,R. Vaughn enters the game for G. Antetokounmpo,26,31
101,1,0:02.0,,K. Middleton makes free throw 2 of 2,26,32
102,1,0:00.0,C. Brewer misses 3-pt jump shot from 47 ft,,26,32
103,1,0:00.0,Offensive rebound by Team,,26,32
104,2,11:47.0,Turnover by J. Terry (bad pass; steal by G. Antetokounmpo),,26,32
105,2,11:34.0,,G. Antetokounmpo misses 3-pt jump shot from 23 ft,26,32
106,2,11:33.0,,Offensive rebound by J. Bayless,26,32
107,2,11:28.0,,R. Vaughn makes 2-pt jump shot from 14 ft (assist by J. Bayless),26,34
