,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
0,1,11:45.0,Offensive foul by A. Horford (drawn by E. Turner),,0,0
1,1,11:45.0,Turnover by A. Horford (offensive foul),,0,0
2,1,11:35.0,,J. Crowder misses 3-pt jump shot from 26 ft,0,0
3,1,11:34.0,Defensive rebound by P. Millsap,,0,0
4,1,11:23.0,P. Millsap misses 3-pt jump shot from 25 ft,,0,0
5,1,11:22.0,,Defensive rebound by A. Johnson,0,0
6,1,11:10.0,,J. Jerebko makes 3-pt jump shot from 25 ft (assist by I. Thomas),0,3
7,1,10:50.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by J. Teague),,3,3
8,1,10:36.0,,J. Jerebko makes 2-pt jump shot from 17 ft,3,5
9,1,10:21.0,A. Horford misses 2-pt jump shot from 19 ft,,3,5
10,1,10:20.0,,Defensive rebound by J. Jerebko,3,5
11,1,10:08.0,,Turnover by A. Johnson (3 sec),3,5
12,1,9:51.0,K. Bazemore misses 2-pt layup from 1 ft,,3,5
13,1,9:50.0,,Defensive rebound by I. Thomas,3,5
14,1,9:42.0,,I. Thomas misses 3-pt jump shot from 26 ft (block by K. Bazemore),3,5
15,1,9:40.0,Defensive rebound by K. Korver,,3,5
16,1,9:34.0,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),,5,5
17,1,9:19.0,,E. Turner makes 2-pt jump shot from 11 ft,5,7
18,1,9:14.0,Turnover by J. Teague (bad pass),,5,7
19,1,9:14.0,D. Schröder enters the game for J. Teague,,5,7
20,1,8:53.0,,J. Crowder misses 2-pt layup from 3 ft (block by P. Millsap),5,7
21,1,8:52.0,Defensive rebound by K. Korver,,5,7
22,1,8:28.0,Turnover by Team (shot clock),,5,7
23,1,8:11.0,,J. Jerebko misses 2-pt jump shot from 22 ft,5,7
24,1,8:10.0,Defensive rebound by K. Bazemore,,5,7
25,1,7:53.0,P. Millsap misses 2-pt jump shot from 19 ft,,5,7
26,1,7:53.0,,Defensive rebound by A. Johnson,5,7
27,1,7:32.0,,J. Jerebko misses 3-pt jump shot from 25 ft,5,7
28,1,7:31.0,,Offensive rebound by E. Turner,5,7
29,1,7:30.0,,E. Turner misses 2-pt layup from 1 ft (block by K. Bazemore),5,7
30,1,7:29.0,,Offensive rebound by E. Turner,5,7
31,1,7:29.0,,E. Turner misses 2-pt layup from 1 ft,5,7
32,1,7:28.0,Defensive rebound by K. Korver,,5,7
33,1,7:22.0,Turnover by P. Millsap (bad pass),,5,7
34,1,7:22.0,J. Teague enters the game for D. Schröder,,5,7
35,1,7:12.0,,E. Turner misses 2-pt jump shot from 16 ft,5,7
36,1,7:12.0,Defensive rebound by K. Korver,,5,7
37,1,6:56.0,K. Bazemore misses 3-pt jump shot from 24 ft,,5,7
38,1,6:55.0,Offensive rebound by J. Teague,,5,7
39,1,6:45.0,J. Teague misses 2-pt jump shot from 10 ft (block by I. Thomas),,5,7
40,1,6:43.0,,Defensive rebound by J. Crowder,5,7
41,1,6:33.0,,E. Turner makes 2-pt layup from 2 ft (assist by I. Thomas),5,9
42,1,6:33.0,Atlanta full timeout,,5,9
43,1,6:33.0,M. Scott enters the game for A. Horford,,5,9
44,1,6:22.0,Personal foul by E. Turner,,5,9
45,1,6:11.0,P. Millsap makes 2-pt jump shot from 8 ft,,7,9
46,1,5:57.0,,I. Thomas misses 2-pt layup from 1 ft,7,9
47,1,5:56.0,Defensive rebound by P. Millsap,,7,9
48,1,5:53.0,Turnover by P. Millsap (lost ball),,7,9
49,1,5:53.0,,M. Smart enters the game for A. Johnson,7,9
50,1,5:53.0,,K. Olynyk enters the game for J. Jerebko,7,9
51,1,5:53.0,T. Sefolosha enters the game for K. Bazemore,,7,9
52,1,5:50.0,,K. Olynyk misses 2-pt layup from 2 ft (block by P. Millsap),7,9
53,1,5:49.0,Defensive rebound by T. Sefolosha,,7,9
54,1,5:36.0,J. Teague makes 2-pt jump shot from 4 ft,,9,9
55,1,5:16.0,,I. Thomas misses 2-pt layup from 2 ft,9,9
56,1,5:15.0,Defensive rebound by T. Sefolosha,,9,9
57,1,4:55.0,J. Teague misses 2-pt layup from 3 ft,,9,9
58,1,4:54.0,,Defensive rebound by M. Smart,9,9
59,1,4:48.0,,J. Crowder misses 2-pt jump shot from 16 ft,9,9
60,1,4:46.0,Defensive rebound by K. Korver,,9,9
61,1,4:33.0,M. Scott makes 2-pt jump shot from 4 ft,,11,9
62,1,4:11.0,,J. Crowder misses 2-pt layup from 2 ft (block by P. Millsap),11,9
63,1,4:10.0,Defensive rebound by T. Sefolosha,,11,9
