,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DALLAS_ACTION,ORLANDO_SCORE,DALLAS_SCORE
0,1,11:35.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,0,0
1,1,11:34.0,Defensive rebound by M. Hezonja,,0,0
2,1,11:10.0,N. Vučević makes 2-pt jump shot from 21 ft (assist by A. Gordon),,2,0
3,1,10:54.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by Z. Pachulia),2,2
4,1,10:36.0,N. Vučević makes 2-pt dunk at rim (assist by A. Gordon),,4,2
5,1,10:25.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Nowitzki),4,4
6,1,10:15.0,N. Vučević misses 2-pt jump shot from 20 ft,,4,4
7,1,10:14.0,,Defensive rebound by Z. Pachulia,4,4
8,1,9:59.0,,Z. Pachulia makes 2-pt jump shot from 7 ft (assist by C. Parsons),4,6
9,1,9:42.0,N. Vučević misses 2-pt jump shot from 1 ft,,4,6
10,1,9:41.0,Offensive rebound by N. Vučević,,4,6
11,1,9:41.0,N. Vučević misses 2-pt layup from 1 ft,,4,6
12,1,9:40.0,,Defensive rebound by Z. Pachulia,4,6
13,1,9:34.0,,Personal foul by V. Oladipo (drawn by W. Matthews),4,6
14,1,9:25.0,,W. Matthews misses 3-pt jump shot from 22 ft,4,6
15,1,9:24.0,,Offensive rebound by W. Matthews,4,6
16,1,9:24.0,,Personal foul by M. Hezonja (drawn by W. Matthews),4,6
17,1,9:15.0,,Turnover by Z. Pachulia (bad pass; steal by E. Payton),4,6
18,1,9:15.0,Personal take foul by D. Williams (drawn by E. Payton),,4,6
19,1,9:06.0,V. Oladipo misses 2-pt jump shot from 3 ft,,4,6
20,1,9:05.0,Offensive rebound by A. Gordon,,4,6
21,1,9:02.0,Turnover by A. Gordon (lost ball; steal by W. Matthews),,4,6
22,1,8:51.0,,Z. Pachulia misses 2-pt jump shot from 5 ft (block by N. Vučević),4,6
23,1,8:48.0,Defensive rebound by N. Vučević,,4,6
24,1,8:47.0,M. Hezonja makes 2-pt dunk at rim (assist by V. Oladipo),,6,6
25,1,8:34.0,,D. Williams misses 2-pt layup from 2 ft,6,6
26,1,8:32.0,Defensive rebound by N. Vučević,,6,6
27,1,8:27.0,N. Vučević makes 2-pt layup from 1 ft (assist by V. Oladipo),,8,6
28,1,8:05.0,,Personal foul by N. Vučević (drawn by Z. Pachulia),8,6
29,1,7:58.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Nowitzki),8,8
30,1,7:47.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),,10,8
31,1,7:34.0,,Turnover by D. Williams (lost ball; steal by E. Payton),10,8
32,1,7:29.0,V. Oladipo makes 2-pt layup from 1 ft (assist by M. Hezonja),,12,8
33,1,7:29.0,,Dallas full timeout,12,8
34,1,7:13.0,,W. Matthews misses 2-pt jump shot from 5 ft,12,8
35,1,7:12.0,Defensive rebound by N. Vučević,,12,8
36,1,7:07.0,A. Gordon makes 2-pt layup from 5 ft,,14,8
37,1,6:55.0,,Offensive foul by Z. Pachulia (drawn by E. Payton),14,8
38,1,6:55.0,,Turnover by Z. Pachulia (offensive foul),14,8
39,1,6:55.0,,R. Felton enters the game for D. Nowitzki,14,8
40,1,6:44.0,V. Oladipo makes 2-pt layup from 1 ft,,16,8
41,1,6:32.0,,Def 3 sec tech foul by N. Vučević,16,8
42,1,6:32.0,,D. Williams makes technical free throw,16,9
43,1,6:26.0,,C. Parsons misses 2-pt jump shot from 16 ft,16,9
44,1,6:26.0,Defensive rebound by N. Vučević,,16,9
45,1,6:16.0,E. Payton makes 2-pt layup at rim (assist by A. Gordon),,18,9
46,1,6:06.0,,Shooting foul by A. Gordon (drawn by D. Williams),18,9
47,1,6:06.0,,D. Williams misses free throw 1 of 2,18,9
48,1,6:06.0,,Offensive rebound by Team,18,9
49,1,6:06.0,,D. Williams makes free throw 2 of 2,18,10
50,1,5:55.0,,Offensive charge foul by M. Hezonja (drawn by D. Williams),18,10
51,1,5:55.0,Turnover by M. Hezonja (offensive foul),,18,10
52,1,5:55.0,C. Watson enters the game for M. Hezonja,,18,10
53,1,5:42.0,,C. Parsons makes 2-pt jump shot from 12 ft,18,12
54,1,5:26.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by A. Gordon),,20,12
55,1,5:13.0,,R. Felton misses 3-pt jump shot from 23 ft,20,12
56,1,5:12.0,Defensive rebound by A. Gordon,,20,12
