,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:46.0,D. Green makes 2-pt jump shot from 14 ft (assist by S. Curry),,2,0
1,1,11:31.0,,A. Wiggins misses 2-pt jump shot from 19 ft,2,0
2,1,11:30.0,Defensive rebound by S. Curry,,2,0
3,1,11:15.0,K. Thompson makes 2-pt jump shot at rim (assist by F. Ezeli),,4,0
4,1,11:02.0,,Turnover by K. Towns (lost ball; steal by S. Curry),4,0
5,1,10:54.0,S. Curry makes 3-pt jump shot from 27 ft,,7,0
6,1,10:36.0,,Turnover by K. Garnett (bad pass; steal by S. Curry),7,0
7,1,10:32.0,Shooting foul by K. Garnett (drawn by S. Curry),,7,0
8,1,10:32.0,S. Curry makes free throw 1 of 3,,8,0
9,1,10:32.0,S. Curry makes free throw 2 of 3,,9,0
10,1,10:32.0,S. Curry makes free throw 3 of 3,,10,0
11,1,10:10.0,,K. Towns misses 2-pt jump shot from 22 ft,10,0
12,1,10:09.0,,Offensive rebound by K. Garnett,10,0
13,1,10:06.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by K. Garnett),10,2
14,1,9:48.0,S. Curry makes 3-pt jump shot from 24 ft (assist by H. Barnes),,13,2
15,1,9:33.0,,Z. LaVine misses 3-pt jump shot from 25 ft,13,2
16,1,9:32.0,Defensive rebound by F. Ezeli,,13,2
17,1,9:23.0,H. Barnes misses 3-pt jump shot from 23 ft,,13,2
18,1,9:22.0,,Defensive rebound by K. Garnett,13,2
19,1,9:14.0,,Shooting foul by F. Ezeli (drawn by K. Towns),13,2
20,1,9:14.0,,K. Towns makes free throw 1 of 2,13,3
21,1,9:14.0,,K. Towns makes free throw 2 of 2,13,4
22,1,8:58.0,K. Thompson makes 2-pt jump shot from 7 ft (assist by S. Curry),,15,4
23,1,8:41.0,,T. Prince makes 2-pt jump shot from 20 ft (assist by A. Wiggins),15,6
24,1,8:28.0,H. Barnes misses 3-pt jump shot from 23 ft,,15,6
25,1,8:27.0,,Defensive rebound by K. Towns,15,6
26,1,8:18.0,,K. Towns misses 2-pt jump shot from 19 ft,15,6
27,1,8:17.0,Defensive rebound by D. Green,,15,6
28,1,8:07.0,S. Curry misses 2-pt layup from 2 ft,,15,6
29,1,8:06.0,Offensive rebound by F. Ezeli,,15,6
30,1,8:06.0,F. Ezeli makes 2-pt dunk at rim,,17,6
31,1,8:04.0,,Turnover by Z. LaVine (lost ball),17,6
32,1,7:57.0,D. Green misses 3-pt jump shot from 23 ft,,17,6
33,1,7:55.0,,Defensive rebound by T. Prince,17,6
34,1,7:43.0,,K. Towns misses 2-pt layup from 2 ft (block by D. Green),17,6
35,1,7:42.0,,Offensive rebound by Team,17,6
36,1,7:39.0,,A. Wiggins makes 2-pt jump shot from 21 ft (assist by K. Garnett),17,8
37,1,7:20.0,F. Ezeli makes 2-pt hook shot from 6 ft,,19,8
38,1,7:06.0,,Z. LaVine makes 2-pt jump shot from 19 ft,19,10
39,1,6:51.0,S. Curry makes 3-pt jump shot from 24 ft (assist by F. Ezeli),,22,10
40,1,6:44.0,,Minnesota full timeout,22,10
41,1,6:44.0,,N. Bjelica enters the game for K. Garnett,22,10
42,1,6:27.0,,T. Prince makes 2-pt jump shot from 20 ft (assist by N. Bjelica),22,12
43,1,6:13.0,K. Thompson misses 2-pt jump shot from 16 ft,,22,12
44,1,6:12.0,,Defensive rebound by Z. LaVine,22,12
45,1,6:04.0,,Z. LaVine misses 2-pt jump shot from 21 ft,22,12
46,1,6:03.0,Defensive rebound by H. Barnes,,22,12
47,1,5:58.0,K. Thompson misses 3-pt jump shot from 25 ft,,22,12
48,1,5:57.0,,Defensive rebound by K. Towns,22,12
49,1,5:51.0,,A. Wiggins misses 2-pt layup from 2 ft,22,12
50,1,5:50.0,,Offensive rebound by T. Prince,22,12
51,1,5:47.0,,T. Prince makes 2-pt jump shot from 5 ft,22,14
52,1,5:29.0,F. Ezeli makes 2-pt dunk at rim (assist by D. Green),,24,14
53,1,5:11.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by N. Bjelica),24,16
54,1,5:04.0,Personal foul by N. Bjelica (drawn by S. Curry),,24,16
55,1,5:04.0,A. Bogut enters the game for F. Ezeli,,24,16
56,1,5:04.0,A. Iguodala enters the game for H. Barnes,,24,16
57,1,5:04.0,,K. Martin enters the game for T. Prince,24,16
58,1,5:00.0,K. Thompson misses 3-pt jump shot from 25 ft,,24,16
59,1,4:59.0,,Defensive rebound by K. Martin,24,16
60,1,4:49.0,,Z. LaVine misses 2-pt jump shot from 16 ft,24,16
61,1,4:48.0,Defensive rebound by A. Iguodala,,24,16
62,1,4:37.0,Shooting foul by K. Towns (drawn by S. Curry),,24,16
63,1,4:37.0,S. Curry makes free throw 1 of 2,,25,16
64,1,4:37.0,S. Curry makes free throw 2 of 2,,26,16
65,1,4:16.0,,Shooting foul by A. Bogut (drawn by N. Bjelica),26,16
66,1,4:16.0,,N. Bjelica makes free throw 1 of 2,26,17
67,1,4:16.0,,N. Bjelica misses free throw 2 of 2,26,17
68,1,4:16.0,Defensive rebound by A. Bogut,,26,17
69,1,4:06.0,D. Green makes 2-pt layup from 1 ft (assist by K. Thompson),,28,17
70,1,3:46.0,,A. Wiggins misses 2-pt jump shot from 17 ft,28,17
71,1,3:45.0,Defensive rebound by D. Green,,28,17
72,1,3:38.0,S. Curry makes 2-pt jump shot from 17 ft,,30,17
73,1,3:12.0,,Turnover by K. Towns (lost ball; steal by A. Bogut),30,17
74,1,3:02.0,A. Iguodala makes 3-pt jump shot from 22 ft (assist by D. Green),,33,17
75,1,2:55.0,,Minnesota full timeout,33,17
76,1,2:55.0,Golden State full timeout,,33,17
77,1,2:55.0,,A. Miller enters the game for Z. LaVine,33,17
78,1,2:55.0,H. Barnes enters the game for K. Thompson,,33,17
79,1,2:55.0,S. Livingston enters the game for D. Green,,33,17
80,1,2:37.0,,K. Martin misses 2-pt jump shot from 12 ft,33,17
81,1,2:35.0,,Offensive rebound by K. Towns,33,17
82,1,2:33.0,,K. Towns makes 2-pt layup from 1 ft,33,19
83,1,2:13.0,S. Curry misses 3-pt jump shot from 23 ft,,33,19
84,1,2:12.0,,Defensive rebound by K. Towns,33,19
85,1,2:04.0,,K. Towns makes 2-pt jump shot from 16 ft (assist by K. Martin),33,21
86,1,2:02.0,Personal foul by A. Wiggins (drawn by S. Curry),,33,21
87,1,2:02.0,,G. Dieng enters the game for K. Towns,33,21
88,1,1:50.0,S. Curry makes 2-pt layup at rim (assist by A. Bogut),,35,21
89,1,1:37.0,,A. Wiggins makes 2-pt jump shot from 4 ft,35,23
90,1,1:27.0,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),,37,23
91,1,1:01.0,,G. Dieng makes 2-pt jump shot from 19 ft (assist by K. Martin),37,25
92,1,0:54.0,S. Curry misses 2-pt jump shot from 6 ft,,37,25
93,1,0:52.0,,Defensive rebound by Team,37,25
94,1,0:52.0,,S. Muhammad enters the game for A. Wiggins,37,25
95,1,0:42.0,,G. Dieng makes 2-pt jump shot from 17 ft (assist by K. Martin),37,27
96,1,0:32.0,H. Barnes misses 3-pt jump shot from 23 ft,,37,27
97,1,0:30.0,Offensive rebound by A. Bogut,,37,27
98,1,0:13.0,S. Curry makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,40,27
99,1,0:02.0,,A. Miller misses 2-pt layup at rim (block by A. Bogut),40,27
100,1,0:01.0,,Offensive rebound by Team,40,27
101,1,0:00.0,,Turnover by A. Miller (bad pass; steal by A. Iguodala),40,27
102,2,11:48.0,,K. Martin misses 2-pt jump shot from 12 ft,40,27
103,2,11:47.0,Defensive rebound by I. Clark,,40,27
104,2,11:32.0,I. Clark makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,43,27
105,2,11:17.0,,Personal foul by I. Clark (drawn by S. Muhammad),43,27
106,2,11:04.0,,G. Dieng misses 2-pt dunk from 4 ft (block by A. Bogut),43,27
107,2,11:03.0,,Offensive rebound by A. Miller,43,27
108,2,11:03.0,,Shooting foul by I. Clark (drawn by A. Miller),43,27
109,2,11:03.0,,A. Miller misses free throw 1 of 2,43,27
110,2,11:03.0,,Offensive rebound by Team,43,27
111,2,11:03.0,,A. Miller makes free throw 2 of 2,43,28
112,2,10:49.0,I. Clark misses 2-pt layup from 1 ft (block by G. Dieng),,43,28
113,2,10:49.0,Offensive rebound by Team,,43,28
114,2,10:47.0,I. Clark makes 3-pt jump shot from 25 ft (assist by S. Livingston),,46,28
115,2,10:34.0,,A. Miller makes 2-pt jump shot from 1 ft (assist by K. Martin),46,30
116,2,10:12.0,H. Barnes makes 2-pt jump shot from 6 ft (assist by I. Clark),,48,30
117,2,10:04.0,,Shooting foul by A. Bogut (drawn by K. Martin),48,30
118,2,10:04.0,,K. Martin makes free throw 1 of 2,48,31
119,2,10:04.0,,K. Martin makes free throw 2 of 2,48,32
120,2,9:48.0,I. Clark misses 3-pt jump shot from 25 ft,,48,32
121,2,9:47.0,Offensive rebound by H. Barnes,,48,32
122,2,9:34.0,A. Iguodala misses 2-pt jump shot from 17 ft,,48,32
