,QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
0,1,11:39.0,A. Drummond makes 2-pt dunk at rim (assist by E. İlyasova),,2,0
1,1,11:18.0,,Turnover by D. Gallinari (lost ball; steal by M. Morris),2,0
2,1,11:12.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Jackson),,4,0
3,1,10:53.0,,D. Gallinari misses 2-pt jump shot from 16 ft,4,0
4,1,10:52.0,Defensive rebound by A. Drummond,,4,0
5,1,10:37.0,E. İlyasova makes 2-pt layup from 2 ft (assist by A. Drummond),,6,0
6,1,10:20.0,,G. Harris misses 2-pt layup from 1 ft,6,0
7,1,10:19.0,Defensive rebound by A. Drummond,,6,0
8,1,10:08.0,M. Morris makes 3-pt jump shot from 24 ft (assist by E. İlyasova),,9,0
9,1,9:45.0,,Shooting foul by A. Drummond (drawn by D. Gallinari),9,0
10,1,9:45.0,,D. Gallinari makes free throw 1 of 2,9,1
11,1,9:45.0,,D. Gallinari misses free throw 2 of 2,9,1
12,1,9:44.0,,Offensive rebound by N. Jokić,9,1
13,1,9:44.0,,Shooting foul by A. Drummond (drawn by D. Gallinari),9,1
14,1,9:44.0,,N. Jokić makes free throw 1 of 2,9,2
15,1,9:44.0,A. Baynes enters the game for A. Drummond,,9,2
16,1,9:44.0,,N. Jokić makes free throw 2 of 2,9,3
17,1,9:26.0,Turnover by E. İlyasova (bad pass; steal by D. Gallinari),,9,3
18,1,9:16.0,,D. Gallinari makes 2-pt jump shot from 21 ft,9,5
19,1,8:59.0,Turnover by K. Caldwell-Pope (lost ball; steal by E. Mudiay),,9,5
20,1,8:55.0,,Turnover by E. Mudiay (lost ball; steal by R. Jackson),9,5
21,1,8:42.0,E. İlyasova makes 2-pt jump shot from 4 ft,,11,5
22,1,8:29.0,,Shooting block foul by E. İlyasova (drawn by G. Harris),11,5
23,1,8:29.0,,G. Harris makes free throw 1 of 2,11,6
24,1,8:29.0,,G. Harris makes free throw 2 of 2,11,7
25,1,8:14.0,K. Caldwell-Pope makes 2-pt jump shot from 21 ft,,13,7
26,1,8:05.0,,Turnover by E. Mudiay (bad pass; steal by E. İlyasova),13,7
27,1,7:59.0,M. Morris misses 2-pt layup from 1 ft,,13,7
28,1,7:58.0,Offensive rebound by E. İlyasova,,13,7
