,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,R. Vaughn misses 2-pt jump shot from 6 ft,0,0
1,1,11:42.0,Defensive rebound by L. James,,0,0
2,1,11:29.0,J. Smith misses 2-pt jump shot from 17 ft,,0,0
3,1,11:28.0,,Defensive rebound by G. Antetokounmpo,0,0
4,1,11:20.0,,J. O'Bryant misses 2-pt jump shot from 17 ft,0,0
5,1,11:19.0,Defensive rebound by L. James,,0,0
6,1,11:12.0,J. Smith makes 3-pt jump shot from 27 ft (assist by L. James),,3,0
7,1,10:57.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,3,0
8,1,10:56.0,Defensive rebound by K. Irving,,3,0
9,1,10:41.0,K. Love misses 2-pt jump shot from 14 ft,,3,0
10,1,10:40.0,,Defensive rebound by J. O'Bryant,3,0
11,1,10:29.0,,J. Parker makes 2-pt jump shot from 6 ft (assist by G. Antetokounmpo),3,2
12,1,10:10.0,K. Love makes 3-pt jump shot from 22 ft (assist by T. Mozgov),,6,2
13,1,9:49.0,,J. Parker misses 2-pt jump shot from 10 ft,6,2
14,1,9:47.0,,Offensive rebound by J. O'Bryant,6,2
15,1,9:46.0,,J. O'Bryant makes 2-pt layup from 1 ft,6,4
16,1,9:24.0,L. James makes 2-pt dunk at rim (assist by K. Love),,8,4
17,1,8:59.0,,G. Antetokounmpo misses 2-pt jump shot from 21 ft,8,4
18,1,8:57.0,,Offensive rebound by J. O'Bryant,8,4
19,1,8:53.0,,Personal foul by K. Irving,8,4
20,1,8:49.0,,R. Vaughn misses 3-pt jump shot from 26 ft,8,4
21,1,8:47.0,Defensive rebound by K. Love,,8,4
22,1,8:38.0,J. Smith misses 3-pt jump shot from 26 ft,,8,4
23,1,8:37.0,,Defensive rebound by G. Antetokounmpo,8,4
24,1,8:26.0,,G. Monroe misses 2-pt layup at rim (block by T. Mozgov),8,4
25,1,8:24.0,Defensive rebound by T. Mozgov,,8,4
26,1,8:13.0,Turnover by L. James (bad pass),,8,4
27,1,8:02.0,,Offensive foul by J. O'Bryant (drawn by J. Smith),8,4
28,1,8:02.0,,Turnover by J. O'Bryant (offensive foul),8,4
29,1,7:52.0,Turnover by K. Irving (bad pass; steal by R. Vaughn),,8,4
30,1,7:48.0,,G. Antetokounmpo makes 2-pt layup at rim,8,6
31,1,7:29.0,T. Mozgov misses 2-pt jump shot from 10 ft,,8,6
