,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DETROIT_ACTION,NEW ORLEANS_SCORE,DETROIT_SCORE
0,1,12:00.0,,Violation by Team (delay of game),0,0
1,1,11:38.0,,A. Drummond misses 2-pt hook shot from 8 ft,0,0
2,1,11:35.0,Defensive rebound by A. Davis,,0,0
3,1,11:24.0,A. Davis makes 2-pt jump shot from 5 ft (assist by B. Dejean-Jones),,2,0
4,1,11:10.0,,M. Morris misses 3-pt jump shot from 25 ft,2,0
5,1,11:09.0,Defensive rebound by B. Dejean-Jones,,2,0
6,1,10:46.0,D. Cunningham misses 2-pt jump shot from 16 ft,,2,0
7,1,10:46.0,,Defensive rebound by A. Drummond,2,0
8,1,10:39.0,,A. Tolliver misses 3-pt jump shot from 26 ft,2,0
9,1,10:39.0,Defensive rebound by Team,,2,0
10,1,10:21.0,Ö. Aşık makes 2-pt dunk at rim (assist by N. Cole),,4,0
11,1,10:21.0,Violation by Team (delay of game),,4,0
12,1,10:08.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,4,0
13,1,10:08.0,Defensive rebound by Ö. Aşık,,4,0
14,1,10:02.0,Turnover by N. Cole (bad pass; steal by A. Tolliver),,4,0
15,1,9:58.0,,K. Caldwell-Pope misses 2-pt layup at rim,4,0
16,1,9:58.0,,Offensive rebound by R. Jackson,4,0
17,1,9:57.0,,R. Jackson misses 2-pt layup from 1 ft,4,0
18,1,9:57.0,Defensive rebound by A. Davis,,4,0
19,1,9:46.0,Shooting foul by A. Drummond (drawn by N. Cole),,4,0
20,1,9:46.0,N. Cole misses free throw 1 of 2,,4,0
21,1,9:46.0,Offensive rebound by Team,,4,0
22,1,9:46.0,N. Cole makes free throw 2 of 2,,5,0
23,1,9:31.0,,M. Morris misses 2-pt jump shot from 15 ft,5,0
24,1,9:30.0,,Offensive rebound by A. Drummond,5,0
25,1,9:30.0,,Shooting foul by Ö. Aşık (drawn by A. Drummond),5,0
26,1,9:30.0,,A. Drummond makes 2-pt layup at rim,5,2
27,1,9:30.0,,A. Drummond makes free throw 1 of 1,5,3
28,1,9:19.0,A. Davis misses 2-pt jump shot from 20 ft,,5,3
29,1,9:18.0,,Defensive rebound by R. Jackson,5,3
30,1,9:08.0,,A. Drummond makes 2-pt dunk at rim (assist by A. Tolliver),5,5
31,1,8:54.0,Shooting foul by A. Tolliver (drawn by D. Cunningham),,5,5
32,1,8:54.0,D. Cunningham makes free throw 1 of 2,,6,5
33,1,8:54.0,D. Cunningham makes free throw 2 of 2,,7,5
34,1,8:42.0,,R. Jackson misses 2-pt jump shot from 1 ft,7,5
35,1,8:42.0,,Offensive rebound by R. Jackson,7,5
36,1,8:41.0,,R. Jackson misses 2-pt layup from 1 ft,7,5
37,1,8:40.0,,Offensive rebound by A. Drummond,7,5
38,1,8:39.0,,A. Drummond makes 2-pt layup from 1 ft,7,7
39,1,8:21.0,A. Davis misses 2-pt jump shot from 5 ft,,7,7
40,1,8:20.0,,Defensive rebound by A. Tolliver,7,7
41,1,8:09.0,,M. Morris misses 2-pt jump shot from 15 ft,7,7
42,1,8:08.0,Defensive rebound by N. Cole,,7,7
43,1,7:51.0,A. Davis makes 2-pt jump shot from 15 ft (assist by N. Cole),,9,7
44,1,7:39.0,,A. Tolliver misses 3-pt jump shot from 25 ft,9,7
45,1,7:38.0,Defensive rebound by B. Dejean-Jones,,9,7
46,1,7:30.0,B. Dejean-Jones makes 2-pt dunk at rim (assist by A. Davis),,11,7
47,1,7:13.0,,R. Jackson makes 2-pt jump shot from 10 ft,11,9
48,1,7:00.0,N. Cole makes 2-pt jump shot from 8 ft,,13,9
49,1,6:58.0,,Detroit full timeout,13,9
50,1,6:42.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,13,9
51,1,6:42.0,Defensive rebound by A. Davis,,13,9
52,1,6:23.0,Ö. Aşık misses 2-pt jump shot from 4 ft (block by A. Drummond),,13,9
53,1,6:23.0,Offensive rebound by Team,,13,9
54,1,6:16.0,Ö. Aşık makes 2-pt jump shot from 5 ft (assist by D. Cunningham),,15,9
55,1,6:02.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by R. Jackson),15,12
56,1,5:40.0,A. Davis makes 2-pt hook shot from 7 ft,,17,12
57,1,5:28.0,,R. Jackson misses 2-pt jump shot from 12 ft,17,12
58,1,5:28.0,Defensive rebound by A. Davis,,17,12
59,1,5:22.0,N. Cole misses 3-pt jump shot from 26 ft,,17,12
60,1,5:21.0,,Defensive rebound by K. Caldwell-Pope,17,12
61,1,5:14.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by M. Morris),17,15
62,1,4:58.0,Shooting foul by R. Jackson (drawn by Ö. Aşık),,17,15
63,1,4:58.0,Ö. Aşık misses free throw 1 of 2,,17,15
64,1,4:58.0,Offensive rebound by Team,,17,15
65,1,4:58.0,,T. Harris enters the game for M. Morris,17,15
66,1,4:58.0,J. Holiday enters the game for B. Dejean-Jones,,17,15
67,1,4:58.0,Ö. Aşık makes free throw 2 of 2,,18,15
68,1,4:49.0,,Shooting foul by N. Cole (drawn by R. Jackson),18,15
69,1,4:49.0,,R. Jackson makes free throw 1 of 2,18,16
70,1,4:49.0,A. Ajinça enters the game for Ö. Aşık,,18,16
71,1,4:49.0,,R. Jackson makes free throw 2 of 2,18,17
72,1,4:38.0,Turnover by J. Holiday (lost ball; steal by K. Caldwell-Pope),,18,17
73,1,4:24.0,,T. Harris misses 3-pt jump shot from 25 ft,18,17
74,1,4:24.0,Defensive rebound by A. Davis,,18,17
75,1,4:16.0,N. Cole makes 2-pt layup at rim (assist by A. Davis),,20,17
76,1,4:13.0,,Detroit full timeout,20,17
77,1,4:13.0,,M. Morris enters the game for A. Tolliver,20,17
