,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ORLANDO_ACTION,OKLAHOMA CITY_SCORE,ORLANDO_SCORE
0,1,11:40.0,S. Ibaka makes 2-pt jump shot from 13 ft (assist by R. Westbrook),,2,0
1,1,11:26.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by T. Harris),2,2
2,1,11:13.0,Turnover by A. Roberson (bad pass),,2,2
3,1,10:59.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by E. Payton),2,4
4,1,10:54.0,Personal foul by E. Payton (drawn by R. Westbrook),,2,4
5,1,10:42.0,Turnover by A. Roberson (bad pass),,2,4
6,1,10:27.0,,E. Payton makes 2-pt jump shot from 15 ft (assist by E. Fournier),2,6
7,1,10:12.0,K. Durant makes 2-pt jump shot from 16 ft (assist by R. Westbrook),,4,6
8,1,10:02.0,,Turnover by E. Fournier (traveling),4,6
9,1,9:53.0,R. Westbrook misses 2-pt layup from 2 ft,,4,6
10,1,9:47.0,,Defensive rebound by E. Fournier,4,6
11,1,9:42.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by E. Fournier),4,8
12,1,9:24.0,Personal foul by E. Fournier (drawn by K. Durant),,4,8
13,1,9:17.0,K. Durant misses 2-pt jump shot from 17 ft,,4,8
14,1,9:16.0,,Defensive rebound by Team,4,8
15,1,9:16.0,Loose ball foul by S. Adams (drawn by N. Vučević),,4,8
16,1,9:16.0,A. Morrow enters the game for A. Roberson,,4,8
17,1,9:05.0,,Turnover by N. Vučević (lost ball; steal by A. Morrow),4,8
18,1,9:02.0,Shooting foul by E. Payton (drawn by R. Westbrook),,4,8
19,1,9:02.0,R. Westbrook makes free throw 1 of 2,,5,8
20,1,9:02.0,R. Westbrook makes free throw 2 of 2,,6,8
21,1,8:41.0,,T. Harris makes 3-pt jump shot from 22 ft (assist by V. Oladipo),6,11
22,1,8:25.0,R. Westbrook makes 2-pt jump shot from 7 ft,,8,11
23,1,8:13.0,,E. Fournier misses 2-pt jump shot from 21 ft,8,11
24,1,8:13.0,Defensive rebound by S. Ibaka,,8,11
25,1,8:03.0,S. Ibaka misses 2-pt layup at rim (block by N. Vučević),,8,11
26,1,7:59.0,,Defensive rebound by T. Harris,8,11
27,1,7:56.0,,N. Vučević makes 2-pt layup from 1 ft (assist by T. Harris),8,13
28,1,7:39.0,Turnover by S. Ibaka (bad pass; steal by V. Oladipo),,8,13
29,1,7:32.0,,T. Harris makes 2-pt layup from 1 ft,8,15
30,1,7:25.0,Oklahoma City full timeout,,8,15
31,1,7:19.0,S. Adams makes 2-pt dunk at rim (assist by K. Durant),,10,15
32,1,7:02.0,,T. Harris misses 2-pt jump shot from 10 ft,10,15
33,1,7:01.0,Defensive rebound by R. Westbrook,,10,15
34,1,6:48.0,R. Westbrook misses 2-pt jump shot from 13 ft,,10,15
35,1,6:48.0,Offensive rebound by S. Ibaka,,10,15
36,1,6:39.0,S. Ibaka misses 2-pt jump shot from 17 ft,,10,15
37,1,6:37.0,Offensive rebound by S. Adams,,10,15
38,1,6:32.0,A. Morrow makes 3-pt jump shot from 24 ft (assist by S. Adams),,13,15
39,1,6:18.0,,E. Fournier misses 2-pt layup from 1 ft,13,15
40,1,6:16.0,Defensive rebound by S. Ibaka,,13,15
41,1,6:10.0,K. Durant misses 2-pt layup from 2 ft,,13,15
42,1,6:08.0,Offensive rebound by K. Durant,,13,15
43,1,6:08.0,K. Durant makes 2-pt dunk at rim,,15,15
44,1,5:52.0,,E. Fournier makes 2-pt layup from 1 ft (assist by V. Oladipo),15,17
45,1,5:52.0,,Shooting foul by S. Ibaka (drawn by E. Fournier),15,17
46,1,5:52.0,,E. Fournier makes free throw 1 of 1,15,18
47,1,5:41.0,R. Westbrook makes 2-pt layup from 1 ft,,17,18
48,1,5:33.0,,V. Oladipo makes 3-pt jump shot from 24 ft,17,21
49,1,5:17.0,S. Ibaka misses 2-pt jump shot from 21 ft,,17,21
50,1,5:16.0,,Defensive rebound by E. Fournier,17,21
51,1,5:08.0,,C. Watson enters the game for E. Payton,17,21
52,1,5:08.0,,Turnover by E. Fournier (lost ball; steal by S. Adams),17,21
53,1,5:01.0,Personal foul by V. Oladipo (drawn by R. Westbrook),,17,21
54,1,4:57.0,Turnover by S. Adams (bad pass; steal by V. Oladipo),,17,21
55,1,4:52.0,,V. Oladipo misses 2-pt layup from 1 ft,17,21
56,1,4:49.0,,Offensive rebound by N. Vučević,17,21
57,1,4:49.0,,N. Vučević makes 2-pt dunk at rim,17,23
58,1,4:36.0,K. Durant misses 2-pt jump shot from 12 ft,,17,23
59,1,4:34.0,Offensive rebound by S. Ibaka,,17,23
60,1,4:33.0,S. Ibaka makes 2-pt hook shot from 6 ft,,19,23
61,1,4:22.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by C. Watson),19,25
62,1,4:10.0,K. Durant makes 2-pt jump shot from 16 ft,,21,25
63,1,3:58.0,,V. Oladipo misses 3-pt jump shot from 24 ft,21,25
64,1,3:56.0,Defensive rebound by S. Adams,,21,25
65,1,3:49.0,Personal foul by E. Fournier (drawn by K. Durant),,21,25
66,1,3:49.0,K. Durant makes free throw 1 of 2,,22,25
67,1,3:49.0,,M. Hezonja enters the game for E. Fournier,22,25
68,1,3:49.0,K. Durant makes free throw 2 of 2,,23,25
69,1,3:32.0,,N. Vučević makes 2-pt jump shot from 14 ft,23,27
70,1,3:20.0,Turnover by K. Durant (bad pass; steal by M. Hezonja),,23,27
71,1,3:16.0,,Shooting block foul by K. Durant (drawn by T. Harris),23,27
72,1,3:16.0,,T. Harris makes free throw 1 of 2,23,28
73,1,3:16.0,A. Roberson enters the game for A. Morrow,,23,28
74,1,3:16.0,,T. Harris makes free throw 2 of 2,23,29
75,1,3:03.0,R. Westbrook misses 2-pt jump shot from 11 ft,,23,29
76,1,3:01.0,,Defensive rebound by T. Harris,23,29
77,1,2:53.0,,T. Harris makes 2-pt dunk at rim (assist by V. Oladipo),23,31
78,1,2:40.0,R. Westbrook misses 2-pt layup from 1 ft (block by T. Harris),,23,31
79,1,2:38.0,Offensive rebound by S. Ibaka,,23,31
80,1,2:34.0,S. Ibaka makes 2-pt hook shot from 6 ft,,25,31
81,1,2:23.0,,N. Vučević makes 2-pt hook shot from 7 ft,25,33
82,1,2:08.0,K. Durant makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,27,33
83,1,2:08.0,,Orlando full timeout,27,33
84,1,2:08.0,D. Augustin enters the game for K. Durant,,27,33
85,1,2:08.0,D. Waiters enters the game for R. Westbrook,,27,33
86,1,2:08.0,,A. Gordon enters the game for T. Harris,27,33
87,1,1:54.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by V. Oladipo),27,35
88,1,1:24.0,S. Ibaka misses 2-pt jump shot from 15 ft,,27,35
89,1,1:24.0,Offensive rebound by Team,,27,35
90,1,1:24.0,Turnover by Team (shot clock),,27,35
91,1,1:10.0,,V. Oladipo misses 2-pt layup from 1 ft (block by S. Ibaka),27,35
92,1,1:07.0,Defensive rebound by D. Waiters,,27,35
93,1,0:54.0,Personal foul by A. Gordon (drawn by D. Augustin),,27,35
94,1,0:54.0,D. Augustin makes free throw 1 of 2,,28,35
95,1,0:54.0,,E. Fournier enters the game for V. Oladipo,28,35
96,1,0:54.0,,D. Dedmon enters the game for N. Vučević,28,35
97,1,0:54.0,E. Freedom enters the game for S. Adams,,28,35
98,1,0:54.0,D. Augustin makes free throw 2 of 2,,29,35
99,1,0:37.0,,Turnover by M. Hezonja (traveling),29,35
100,1,0:26.0,Turnover by D. Waiters (lost ball; steal by E. Fournier),,29,35
101,1,0:07.0,,E. Fournier misses 2-pt jump shot from 17 ft,29,35
102,1,0:04.0,Defensive rebound by D. Augustin,,29,35
103,1,0:01.0,S. Ibaka misses 2-pt layup from 1 ft,,29,35
104,1,0:01.0,Offensive rebound by D. Augustin,,29,35
105,1,0:01.0,D. Augustin makes 2-pt layup at rim,,31,35
106,2,11:41.0,,C. Watson misses 3-pt jump shot from 25 ft,31,35
107,2,11:40.0,,Offensive rebound by D. Dedmon,31,35
108,2,11:35.0,,M. Hezonja misses 3-pt jump shot from 24 ft,31,35
109,2,11:34.0,Defensive rebound by D. Waiters,,31,35
110,2,11:25.0,D. Waiters misses 2-pt layup from 2 ft,,31,35
111,2,11:23.0,Offensive rebound by E. Freedom,,31,35
112,2,11:23.0,E. Freedom misses 2-pt layup from 2 ft,,31,35
113,2,11:22.0,,Defensive rebound by C. Watson,31,35
114,2,11:06.0,,E. Fournier makes 2-pt layup from 1 ft,31,37
115,2,11:06.0,,Shooting foul by E. Freedom (drawn by E. Fournier),31,37
116,2,11:06.0,,E. Fournier makes free throw 1 of 1,31,38
117,2,10:51.0,Shooting foul by D. Dedmon (drawn by E. Freedom),,31,38
118,2,10:51.0,E. Freedom makes free throw 1 of 2,,32,38
119,2,10:51.0,E. Freedom misses free throw 2 of 2,,32,38
120,2,10:50.0,,Defensive rebound by A. Gordon,32,38
121,2,10:34.0,,C. Watson misses 2-pt jump shot from 9 ft,32,38
122,2,10:33.0,,Offensive rebound by A. Gordon,32,38
123,2,10:33.0,,A. Gordon makes 2-pt dunk at rim,32,40
124,2,10:20.0,D. Augustin makes 3-pt jump shot from 24 ft,,35,40
