,QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
0,1,11:46.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,0,0
1,1,11:45.0,,Defensive rebound by K. Garnett,0,0
2,1,11:29.0,,A. Wiggins misses 2-pt jump shot from 19 ft,0,0
3,1,11:28.0,Defensive rebound by M. Morris,,0,0
4,1,11:14.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by E. İlyasova),,3,0
5,1,10:54.0,,K. Towns makes 2-pt jump shot from 22 ft,3,2
6,1,10:28.0,E. İlyasova makes 2-pt layup from 1 ft,,5,2
7,1,10:08.0,,K. Towns makes 2-pt jump shot from 13 ft (assist by R. Rubio),5,4
8,1,9:50.0,A. Drummond makes 2-pt hook shot from 6 ft,,7,4
9,1,9:38.0,Offensive charge foul by K. Towns (drawn by A. Drummond),,7,4
10,1,9:38.0,,Turnover by K. Towns (offensive foul),7,4
11,1,9:29.0,R. Jackson makes 2-pt layup from 1 ft,,9,4
12,1,9:16.0,,R. Rubio makes 2-pt layup from 1 ft,9,6
13,1,9:07.0,Turnover by A. Drummond (offensive goaltending),,9,6
14,1,8:55.0,,A. Wiggins misses 2-pt jump shot from 9 ft,9,6
15,1,8:54.0,,Offensive rebound by A. Wiggins,9,6
16,1,8:53.0,,Shooting foul by R. Jackson (drawn by A. Wiggins),9,6
17,1,8:53.0,,A. Wiggins makes free throw 1 of 2,9,7
18,1,8:53.0,,A. Wiggins misses free throw 2 of 2,9,7
19,1,8:53.0,Defensive rebound by M. Morris,,9,7
20,1,8:31.0,M. Morris makes 2-pt layup at rim,,11,7
21,1,8:16.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by K. Towns),11,10
22,1,7:59.0,Offensive foul by E. İlyasova (drawn by K. Garnett),,11,10
23,1,7:59.0,Turnover by E. İlyasova (offensive foul),,11,10
24,1,7:43.0,,K. Towns misses 2-pt hook shot from 7 ft,11,10
25,1,7:42.0,Defensive rebound by M. Morris,,11,10
26,1,7:35.0,R. Jackson misses 3-pt jump shot from 25 ft,,11,10
27,1,7:33.0,,Defensive rebound by K. Towns,11,10
28,1,7:25.0,,R. Rubio misses 2-pt jump shot from 19 ft,11,10
29,1,7:24.0,Defensive rebound by A. Drummond,,11,10
30,1,7:11.0,A. Drummond misses 2-pt hook shot from 9 ft,,11,10
31,1,7:10.0,,Defensive rebound by K. Towns,11,10
32,1,6:57.0,,K. Towns makes 2-pt jump shot from 22 ft (assist by R. Rubio),11,12
33,1,6:41.0,Shooting foul by A. Wiggins (drawn by E. İlyasova),,11,12
34,1,6:41.0,E. İlyasova misses free throw 1 of 2,,11,12
35,1,6:41.0,Offensive rebound by Team,,11,12
36,1,6:41.0,E. İlyasova makes free throw 2 of 2,,12,12
37,1,6:36.0,,Minnesota full timeout,12,12
38,1,6:28.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),12,14
39,1,6:11.0,K. Caldwell-Pope makes 2-pt jump shot from 20 ft,,14,14
40,1,5:45.0,,R. Rubio misses 3-pt jump shot from 26 ft,14,14
41,1,5:44.0,Defensive rebound by M. Morris,,14,14
42,1,5:36.0,M. Morris makes 2-pt jump shot from 19 ft,,16,14
43,1,5:19.0,,Shooting foul by K. Caldwell-Pope (drawn by A. Wiggins),16,14
44,1,5:19.0,,A. Wiggins makes free throw 1 of 2,16,15
45,1,5:19.0,,A. Payne enters the game for K. Garnett,16,15
46,1,5:19.0,,A. Wiggins makes free throw 2 of 2,16,16
47,1,5:10.0,E. İlyasova misses 2-pt jump shot from 19 ft,,16,16
48,1,5:09.0,,Defensive rebound by K. Towns,16,16
49,1,4:58.0,,R. Rubio makes 2-pt jump shot from 18 ft,16,18
50,1,4:43.0,R. Jackson misses 2-pt jump shot from 9 ft,,16,18
51,1,4:42.0,Offensive rebound by A. Drummond,,16,18
52,1,4:41.0,A. Drummond misses 2-pt layup from 3 ft,,16,18
53,1,4:39.0,,Defensive rebound by K. Towns,16,18
54,1,4:34.0,,Personal foul by R. Jackson (drawn by R. Rubio),16,18
55,1,4:34.0,A. Tolliver enters the game for E. İlyasova,,16,18
56,1,4:34.0,S. Dinwiddie enters the game for R. Jackson,,16,18
57,1,4:24.0,,Turnover by R. Rubio (bad pass; steal by K. Caldwell-Pope),16,18
58,1,4:21.0,K. Caldwell-Pope makes 2-pt layup at rim,,18,18
59,1,4:03.0,,A. Wiggins misses 2-pt jump shot from 11 ft,18,18
60,1,4:02.0,Defensive rebound by M. Morris,,18,18
61,1,3:56.0,M. Morris makes 2-pt jump shot from 12 ft,,20,18
62,1,3:39.0,,K. Towns makes 2-pt jump shot from 1 ft (assist by R. Rubio),20,20
63,1,3:32.0,Detroit full timeout,,20,20
64,1,3:32.0,,K. Martin enters the game for T. Prince,20,20
65,1,3:32.0,,Z. LaVine enters the game for R. Rubio,20,20
66,1,3:17.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,20,20
67,1,3:16.0,,Defensive rebound by A. Wiggins,20,20
68,1,2:59.0,,A. Payne misses 2-pt jump shot from 17 ft,20,20
69,1,2:58.0,Defensive rebound by A. Drummond,,20,20
70,1,2:45.0,Turnover by A. Drummond (lost ball; steal by K. Towns),,20,20
71,1,2:40.0,,Turnover by K. Towns (lost ball; steal by S. Dinwiddie),20,20
72,1,2:30.0,M. Morris misses 3-pt jump shot from 22 ft,,20,20
