,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHARLOTTE_ACTION,SACRAMENTO_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,,P. Hairston makes 3-pt jump shot from 27 ft (assist by K. Walker),0,3
1,1,11:28.0,Turnover by B. McLemore (bad pass; steal by A. Jefferson),,0,3
2,1,11:21.0,,P. Hairston misses 3-pt jump shot from 28 ft,0,3
3,1,11:20.0,Defensive rebound by R. Rondo,,0,3
4,1,11:12.0,D. Cousins misses 3-pt jump shot from 25 ft,,0,3
5,1,11:12.0,Offensive rebound by R. Rondo,,0,3
6,1,11:09.0,Shooting foul by A. Jefferson (drawn by B. McLemore),,0,3
7,1,11:09.0,B. McLemore makes free throw 1 of 2,,1,3
8,1,11:09.0,B. McLemore makes free throw 2 of 2,,2,3
9,1,10:55.0,,A. Jefferson misses 2-pt jump shot from 10 ft,2,3
10,1,10:54.0,Defensive rebound by R. Gay,,2,3
11,1,10:49.0,Shooting foul by P. Hairston (drawn by R. Rondo),,2,3
12,1,10:49.0,R. Rondo makes free throw 1 of 2,,3,3
13,1,10:49.0,R. Rondo misses free throw 2 of 2,,3,3
14,1,10:46.0,,Defensive rebound by N. Batum,3,3
15,1,10:30.0,,Turnover by A. Jefferson (bad pass; steal by B. McLemore),3,3
16,1,10:28.0,Turnover by B. McLemore (offensive foul),,3,3
17,1,10:28.0,,Offensive charge foul by B. McLemore (drawn by K. Walker),3,3
18,1,10:14.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),3,6
19,1,9:58.0,B. McLemore makes 2-pt layup from 1 ft (assist by R. Rondo),,5,6
20,1,9:35.0,,N. Batum misses 3-pt jump shot from 25 ft,5,6
21,1,9:34.0,Defensive rebound by R. Rondo,,5,6
22,1,9:29.0,B. McLemore misses 3-pt jump shot from 24 ft,,5,6
23,1,9:27.0,,Defensive rebound by K. Walker,5,6
24,1,9:21.0,,A. Jefferson makes 2-pt jump shot from 8 ft (assist by N. Batum),5,8
25,1,9:06.0,R. Gay makes 2-pt layup from 1 ft,,7,8
26,1,8:47.0,,M. Williams misses 3-pt jump shot from 25 ft,7,8
27,1,8:46.0,Defensive rebound by D. Cousins,,7,8
28,1,8:39.0,D. Cousins misses 3-pt jump shot from 25 ft,,7,8
29,1,8:38.0,,Defensive rebound by P. Hairston,7,8
30,1,8:27.0,,K. Walker makes 2-pt jump shot from 20 ft,7,10
