,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
0,1,11:48.0,T. Chandler makes 2-pt hook shot from 4 ft (assist by D. Booker),,2,0
1,1,11:31.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),2,2
2,1,11:19.0,D. Booker misses 2-pt jump shot from 19 ft,,2,2
3,1,11:18.0,,Defensive rebound by N. Vučević,2,2
4,1,11:11.0,,A. Gordon misses 3-pt jump shot from 24 ft,2,2
5,1,11:10.0,Defensive rebound by D. Booker,,2,2
6,1,11:03.0,D. Booker misses 2-pt jump shot from 15 ft,,2,2
7,1,11:01.0,Offensive rebound by D. Booker,,2,2
8,1,11:01.0,D. Booker misses 2-pt layup from 1 ft,,2,2
9,1,10:59.0,,Defensive rebound by N. Vučević,2,2
10,1,10:53.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),2,5
11,1,10:33.0,Turnover by T. Chandler (traveling),,2,5
12,1,10:23.0,,N. Vučević misses 2-pt jump shot from 9 ft,2,5
13,1,10:22.0,Defensive rebound by P. Tucker,,2,5
14,1,10:11.0,A. Len makes 2-pt jump shot from 3 ft (assist by P. Tucker),,4,5
15,1,10:03.0,,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),4,7
16,1,9:51.0,A. Len misses 2-pt hook shot from 8 ft,,4,7
17,1,9:50.0,,Defensive rebound by A. Gordon,4,7
18,1,9:46.0,Offensive charge foul by A. Gordon (drawn by R. Price),,4,7
19,1,9:46.0,,Turnover by A. Gordon (offensive foul),4,7
20,1,9:26.0,A. Len makes 2-pt jump shot from 15 ft,,6,7
21,1,9:12.0,,M. Hezonja misses 3-pt jump shot from 27 ft,6,7
22,1,9:10.0,,Offensive rebound by E. Payton,6,7
23,1,9:07.0,,Turnover by E. Payton (bad pass; steal by R. Price),6,7
24,1,9:00.0,A. Len makes 2-pt jump shot from 17 ft (assist by D. Booker),,8,7
25,1,8:44.0,,E. Payton makes 2-pt layup from 1 ft,8,9
26,1,8:33.0,A. Len misses 2-pt layup from 1 ft,,8,9
27,1,8:31.0,,Defensive rebound by N. Vučević,8,9
28,1,8:22.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),8,11
29,1,8:00.0,Personal foul by A. Gordon (drawn by T. Chandler),,8,11
30,1,8:00.0,,E. İlyasova enters the game for A. Gordon,8,11
31,1,7:55.0,T. Chandler misses 2-pt jump shot from 17 ft,,8,11
32,1,7:54.0,,Defensive rebound by M. Hezonja,8,11
33,1,7:48.0,,E. İlyasova misses 2-pt layup from 1 ft (block by T. Chandler),8,11
34,1,7:45.0,Defensive rebound by A. Len,,8,11
35,1,7:35.0,A. Len makes 2-pt jump shot from 16 ft,,10,11
36,1,7:20.0,,N. Vučević misses 2-pt jump shot from 15 ft,10,11
37,1,7:19.0,Defensive rebound by P. Tucker,,10,11
38,1,7:11.0,R. Price makes 3-pt jump shot from 26 ft (assist by P. Tucker),,13,11
39,1,6:56.0,,E. Fournier misses 2-pt layup from 1 ft,13,11
40,1,6:55.0,Defensive rebound by T. Chandler,,13,11
41,1,6:45.0,A. Len makes 2-pt hook shot from 7 ft (assist by R. Price),,15,11
42,1,6:35.0,,E. Payton makes 2-pt layup from 1 ft,15,13
43,1,6:21.0,Turnover by A. Len (bad pass),,15,13
44,1,6:11.0,,E. Payton makes 2-pt jump shot from 19 ft,15,15
45,1,5:50.0,T. Chandler makes 2-pt layup from 1 ft (assist by P. Tucker),,17,15
46,1,5:35.0,,N. Vučević misses 2-pt jump shot from 14 ft,17,15
47,1,5:33.0,Defensive rebound by T. Chandler,,17,15
48,1,5:26.0,Personal foul by E. Fournier (drawn by D. Booker),,17,15
49,1,5:26.0,,Orlando full timeout,17,15
50,1,5:19.0,Turnover by D. Booker (bad pass; steal by N. Vučević),,17,15
51,1,4:53.0,,E. Fournier misses 3-pt jump shot from 25 ft,17,15
52,1,4:53.0,,Offensive rebound by Team,17,15
53,1,4:53.0,Loose ball foul by T. Chandler (drawn by E. İlyasova),,17,15
54,1,4:41.0,,Turnover by E. Fournier (bad pass; steal by R. Price),17,15
55,1,4:36.0,R. Price misses 2-pt layup from 1 ft (block by E. İlyasova),,17,15
56,1,4:34.0,,Defensive rebound by M. Hezonja,17,15
57,1,4:33.0,,Personal foul by D. Booker (drawn by M. Hezonja),17,15
58,1,4:17.0,,N. Vučević makes 2-pt hook shot from 8 ft,17,17
59,1,4:05.0,D. Booker makes 2-pt jump shot from 14 ft,,19,17
60,1,3:59.0,,E. Payton makes 2-pt layup from 2 ft,19,19
61,1,3:40.0,D. Booker misses 2-pt jump shot from 16 ft,,19,19
62,1,3:39.0,Offensive rebound by Team,,19,19
63,1,3:39.0,,J. Smith enters the game for N. Vučević,19,19
64,1,3:39.0,,C. Watson enters the game for E. Fournier,19,19
65,1,3:31.0,T. Chandler misses 2-pt layup from 2 ft,,19,19
66,1,3:30.0,Offensive rebound by A. Len,,19,19
67,1,3:30.0,A. Len makes 2-pt dunk at rim,,21,19
68,1,3:16.0,,E. İlyasova misses 3-pt jump shot from 24 ft,21,19
69,1,3:14.0,Defensive rebound by R. Price,,21,19
70,1,3:08.0,Turnover by T. Chandler (3 sec),,21,19
71,1,2:53.0,,M. Hezonja misses 3-pt jump shot from 26 ft,21,19
72,1,2:52.0,,Offensive rebound by C. Watson,21,19
73,1,2:50.0,,C. Watson misses 3-pt jump shot from 25 ft,21,19
74,1,2:48.0,Defensive rebound by R. Price,,21,19
75,1,2:44.0,D. Booker makes 2-pt layup at rim (assist by R. Price),,23,19
76,1,2:26.0,,E. Payton makes 3-pt jump shot from 23 ft,23,22
77,1,2:03.0,P. Tucker makes 2-pt hook shot from 7 ft,,25,22
78,1,2:03.0,,Flagrant foul type 1 by T. Chandler (drawn by E. İlyasova),25,22
79,1,2:03.0,Phoenix full timeout,,25,22
80,1,2:03.0,J. Jenkins enters the game for T. Chandler,,25,22
81,1,2:03.0,M. Teletović enters the game for R. Price,,25,22
82,1,2:03.0,,E. İlyasova misses flagrant free throw 1 of 2,25,22
83,1,2:03.0,,Offensive rebound by Team,25,22
84,1,2:03.0,,M. Hezonja makes 2-pt jump shot from 14 ft,25,24
85,1,2:03.0,,E. İlyasova makes flagrant free throw 2 of 2,25,25
86,1,1:28.0,A. Len misses 2-pt hook shot from 6 ft,,25,25
87,1,1:28.0,Offensive rebound by Team,,25,25
