,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:36.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Fournier),,2,0
1,1,11:12.0,,Shooting foul by E. İlyasova (drawn by L. Deng),2,0
2,1,11:12.0,,L. Deng misses free throw 1 of 2,2,0
3,1,11:12.0,,Offensive rebound by Team,2,0
4,1,11:12.0,,L. Deng misses free throw 2 of 2,2,0
5,1,11:11.0,Defensive rebound by E. İlyasova,,2,0
6,1,10:56.0,N. Vučević makes 2-pt hook shot from 6 ft (assist by E. Fournier),,4,0
7,1,10:35.0,,Turnover by H. Whiteside (offensive goaltending),4,0
8,1,10:24.0,Turnover by E. Fournier (lost ball; steal by L. Deng),,4,0
9,1,10:12.0,,L. Deng makes 2-pt layup from 1 ft,4,2
10,1,10:05.0,E. Payton misses 2-pt jump shot from 4 ft (block by H. Whiteside),,4,2
11,1,10:04.0,Offensive rebound by Team,,4,2
12,1,9:55.0,E. Fournier misses 2-pt jump shot from 4 ft,,4,2
13,1,9:54.0,,Defensive rebound by H. Whiteside,4,2
14,1,9:34.0,,L. Deng makes 3-pt jump shot from 23 ft (assist by D. Wade),4,5
15,1,9:16.0,E. Fournier misses 2-pt jump shot from 16 ft,,4,5
16,1,9:15.0,,Defensive rebound by H. Whiteside,4,5
17,1,9:10.0,,L. Deng makes 2-pt layup from 2 ft (assist by G. Dragić),4,7
18,1,8:46.0,E. Payton misses 2-pt jump shot from 5 ft (block by G. Dragić),,4,7
19,1,8:45.0,Offensive rebound by E. Payton,,4,7
20,1,8:43.0,E. Payton makes 2-pt layup at rim,,6,7
21,1,8:22.0,,G. Dragić makes 2-pt layup from 2 ft,6,9
22,1,8:08.0,M. Hezonja makes 2-pt jump shot from 8 ft (assist by E. Payton),,8,9
23,1,7:55.0,,G. Dragić makes 2-pt layup from 1 ft,8,11
24,1,7:36.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,10,11
25,1,7:17.0,,Shooting foul by M. Hezonja (drawn by H. Whiteside),10,11
26,1,7:17.0,,H. Whiteside makes free throw 1 of 2,10,12
27,1,7:17.0,,H. Whiteside makes free throw 2 of 2,10,13
28,1,7:00.0,E. İlyasova misses 3-pt jump shot from 24 ft,,10,13
29,1,6:59.0,,Defensive rebound by H. Whiteside,10,13
30,1,6:49.0,,J. Johnson misses 2-pt layup from 2 ft,10,13
31,1,6:48.0,Defensive rebound by N. Vučević,,10,13
32,1,6:35.0,Turnover by E. İlyasova (3 sec),,10,13
33,1,6:30.0,Violation by E. Fournier (kicked ball),,10,13
34,1,6:24.0,,D. Wade makes 2-pt jump shot from 6 ft,10,15
35,1,6:05.0,N. Vučević makes 2-pt hook shot from 10 ft,,12,15
36,1,5:51.0,,Turnover by L. Deng (bad pass; steal by E. Payton),12,15
37,1,5:51.0,Personal foul by L. Deng,,12,15
38,1,5:51.0,,Miami full timeout,12,15
39,1,5:51.0,,J. Richardson enters the game for L. Deng,12,15
40,1,5:51.0,,J. Winslow enters the game for G. Dragić,12,15
41,1,5:42.0,E. Fournier misses 2-pt layup from 2 ft (block by H. Whiteside),,12,15
42,1,5:42.0,Offensive rebound by Team,,12,15
43,1,5:38.0,M. Hezonja makes 3-pt jump shot from 23 ft (assist by E. Fournier),,15,15
44,1,5:17.0,,Turnover by H. Whiteside (traveling),15,15
45,1,5:10.0,Personal foul by J. Johnson,,15,15
46,1,4:53.0,E. Fournier makes 2-pt jump shot from 19 ft,,17,15
47,1,4:32.0,,J. Winslow makes 3-pt jump shot from 23 ft (assist by J. Johnson),17,18
48,1,4:22.0,N. Vučević misses 2-pt jump shot from 18 ft,,17,18
49,1,4:21.0,,Defensive rebound by J. Winslow,17,18
50,1,4:14.0,,D. Wade makes 2-pt jump shot from 8 ft,17,20
51,1,3:56.0,E. İlyasova misses 2-pt jump shot from 15 ft,,17,20
52,1,3:55.0,,Defensive rebound by D. Wade,17,20
53,1,3:43.0,,J. Richardson misses 3-pt jump shot from 22 ft,17,20
54,1,3:42.0,Defensive rebound by E. Payton,,17,20
55,1,3:36.0,E. Payton makes 2-pt layup from 1 ft,,19,20
56,1,3:15.0,,J. Richardson misses 2-pt jump shot from 18 ft,19,20
57,1,3:14.0,Defensive rebound by E. Payton,,19,20
58,1,3:10.0,E. Fournier makes 2-pt layup at rim (assist by E. Payton),,21,20
59,1,2:47.0,,Turnover by D. Wade (bad pass; steal by N. Vučević),21,20
60,1,2:42.0,E. İlyasova misses 2-pt layup from 1 ft,,21,20
61,1,2:41.0,,Defensive rebound by J. Johnson,21,20
62,1,2:34.0,,J. Johnson makes 2-pt jump shot from 3 ft (assist by J. Richardson),21,22
63,1,2:34.0,Orlando full timeout,,21,22
64,1,2:34.0,D. Marble enters the game for E. Fournier,,21,22
65,1,2:34.0,J. Smith enters the game for N. Vučević,,21,22
66,1,2:34.0,C. Watson enters the game for E. Payton,,21,22
67,1,2:34.0,,J. McRoberts enters the game for J. Johnson,21,22
68,1,2:34.0,,G. Dragić enters the game for H. Whiteside,21,22
69,1,2:34.0,,L. Deng enters the game for D. Wade,21,22
70,1,2:20.0,Turnover by J. Smith (bad pass; steal by L. Deng),,21,22
71,1,2:09.0,,G. Dragić makes 2-pt layup at rim (assist by J. McRoberts),21,24
72,1,1:54.0,J. Smith misses 2-pt jump shot from 16 ft,,21,24
73,1,1:53.0,Offensive rebound by J. Smith,,21,24
74,1,1:49.0,J. Smith misses 2-pt jump shot from 6 ft,,21,24
75,1,1:47.0,Offensive rebound by J. Smith,,21,24
76,1,1:43.0,E. İlyasova misses 3-pt jump shot from 24 ft,,21,24
77,1,1:41.0,,Defensive rebound by J. McRoberts,21,24
78,1,1:32.0,,G. Dragić makes 2-pt jump shot from 21 ft (assist by J. McRoberts),21,26
79,1,1:18.0,J. Smith misses 2-pt jump shot from 21 ft,,21,26
80,1,1:17.0,,Defensive rebound by G. Dragić,21,26
81,1,1:08.0,,L. Deng misses 3-pt jump shot from 24 ft,21,26
82,1,1:06.0,Defensive rebound by D. Marble,,21,26
83,1,1:00.0,M. Hezonja makes 2-pt jump shot from 16 ft,,23,26
84,1,0:51.0,,G. Dragić makes 2-pt layup from 1 ft (assist by J. Richardson),23,28
85,1,0:51.0,,Shooting foul by C. Watson (drawn by G. Dragić),23,28
86,1,0:51.0,A. Nicholson enters the game for E. İlyasova,,23,28
