,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:42.0,C. Anthony misses 2-pt jump shot from 19 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Bradley,0,0
2,1,11:27.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by A. Bradley),0,3
3,1,11:08.0,J. Calderón misses 2-pt jump shot from 16 ft,,0,3
4,1,11:07.0,,Defensive rebound by Team,0,3
5,1,10:55.0,,I. Thomas misses 3-pt jump shot from 24 ft,0,3
6,1,10:54.0,Defensive rebound by K. Porziņģis,,0,3
7,1,10:38.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,0,3
8,1,10:37.0,Offensive rebound by R. Lopez,,0,3
9,1,10:37.0,R. Lopez makes 2-pt layup at rim,,2,3
10,1,10:21.0,,J. Sullinger misses 2-pt jump shot from 18 ft,2,3
11,1,10:20.0,Defensive rebound by A. Afflalo,,2,3
12,1,10:04.0,C. Anthony misses 2-pt jump shot from 20 ft,,2,3
13,1,10:02.0,,Defensive rebound by I. Thomas,2,3
14,1,9:53.0,,A. Bradley makes 2-pt jump shot from 21 ft,2,5
15,1,9:40.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,2,5
16,1,9:39.0,,Defensive rebound by J. Sullinger,2,5
17,1,9:31.0,,Turnover by I. Thomas (bad pass; steal by K. Porziņģis),2,5
18,1,9:23.0,K. Porziņģis misses 2-pt layup from 1 ft,,2,5
19,1,9:22.0,,Defensive rebound by A. Johnson,2,5
20,1,9:16.0,,J. Crowder misses 2-pt jump shot from 22 ft,2,5
21,1,9:15.0,Defensive rebound by K. Porziņģis,,2,5
22,1,9:09.0,C. Anthony makes 2-pt layup at rim,,4,5
23,1,8:55.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by I. Thomas),4,7
24,1,8:40.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by J. Calderón),,6,7
25,1,8:28.0,,A. Johnson misses 3-pt jump shot from 25 ft,6,7
26,1,8:27.0,Defensive rebound by C. Anthony,,6,7
27,1,8:16.0,R. Lopez misses 2-pt jump shot from 15 ft,,6,7
28,1,8:15.0,Offensive rebound by K. Porziņģis,,6,7
29,1,8:08.0,Shooting foul by J. Sullinger (drawn by R. Lopez),,6,7
30,1,8:08.0,R. Lopez makes free throw 1 of 2,,7,7
31,1,8:08.0,R. Lopez makes free throw 2 of 2,,8,7
32,1,7:48.0,,J. Sullinger misses 2-pt layup from 2 ft (block by K. Porziņģis),8,7
33,1,7:47.0,Defensive rebound by C. Anthony,,8,7
34,1,7:39.0,Personal foul by I. Thomas (drawn by J. Calderón),,8,7
35,1,7:39.0,,K. Olynyk enters the game for A. Johnson,8,7
36,1,7:39.0,L. Galloway enters the game for J. Calderón,,8,7
