,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by A. Davis),0,3
1,1,11:29.0,J. McGee misses 2-pt jump shot from 18 ft,,0,3
2,1,11:29.0,,Defensive rebound by A. Davis,0,3
3,1,11:22.0,,Personal foul by R. Felton (drawn by T. Evans),0,3
4,1,11:14.0,,T. Evans misses 2-pt layup from 1 ft (block by J. McGee),0,3
5,1,11:13.0,Defensive rebound by C. Parsons,,0,3
6,1,10:58.0,C. Parsons makes 2-pt layup from 2 ft,,2,3
7,1,10:48.0,,E. Gordon misses 3-pt jump shot from 24 ft,2,3
8,1,10:47.0,Defensive rebound by C. Villanueva,,2,3
9,1,10:41.0,Turnover by J. Barea (lost ball; steal by T. Evans),,2,3
10,1,10:38.0,,Shooting foul by C. Villanueva (drawn by A. Davis),2,3
11,1,10:38.0,,A. Davis makes free throw 1 of 2,2,4
12,1,10:38.0,,A. Davis makes free throw 2 of 2,2,5
13,1,10:22.0,C. Parsons makes 2-pt layup from 2 ft,,4,5
14,1,10:18.0,,New Orleans full timeout,4,5
15,1,10:06.0,,A. Gee misses 3-pt jump shot from 24 ft,4,5
16,1,10:05.0,Defensive rebound by C. Parsons,,4,5
17,1,9:53.0,C. Parsons misses 3-pt jump shot from 24 ft,,4,5
18,1,9:52.0,,Defensive rebound by A. Davis,4,5
19,1,9:45.0,,Ö. Aşık misses 2-pt layup from 1 ft (block by J. McGee),4,5
20,1,9:44.0,,Offensive rebound by Ö. Aşık,4,5
21,1,9:43.0,,Ö. Aşık makes 2-pt layup from 2 ft,4,7
22,1,9:22.0,C. Villanueva misses 2-pt jump shot from 9 ft,,4,7
23,1,9:22.0,,Defensive rebound by T. Evans,4,7
24,1,9:10.0,,A. Davis misses 2-pt jump shot from 4 ft,4,7
25,1,9:09.0,Defensive rebound by C. Parsons,,4,7
26,1,9:02.0,J. Barea makes 2-pt layup from 2 ft,,6,7
27,1,9:02.0,Shooting foul by T. Evans (drawn by J. Barea),,6,7
28,1,9:02.0,J. Barea makes free throw 1 of 1,,7,7
29,1,8:48.0,,Personal foul by J. Barea,7,7
30,1,8:40.0,,Ö. Aşık misses 2-pt jump shot from 3 ft,7,7
31,1,8:33.0,,Offensive rebound by A. Davis,7,7
32,1,8:33.0,,A. Davis makes 2-pt layup from 2 ft (assist by T. Evans),7,9
33,1,8:19.0,C. Parsons makes 2-pt layup from 2 ft,,9,9
34,1,8:07.0,,T. Evans makes 2-pt jump shot from 18 ft (assist by A. Davis),9,11
35,1,7:48.0,J. McGee misses 2-pt dunk at rim,,9,11
36,1,7:47.0,,Defensive rebound by T. Evans,9,11
37,1,7:41.0,,E. Gordon makes 3-pt jump shot from 23 ft (assist by T. Evans),9,14
38,1,7:21.0,Turnover by J. Barea (bad pass; steal by A. Davis),,9,14
39,1,7:15.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Gordon),9,16
40,1,7:09.0,Dallas full timeout,,9,16
41,1,7:04.0,Def 3 sec tech foul by Ö. Aşık,,9,16
42,1,7:04.0,J. Barea misses technical free throw,,9,16
43,1,7:04.0,Offensive rebound by Team,,9,16
44,1,6:56.0,C. Villanueva misses 3-pt jump shot from 24 ft,,9,16
45,1,6:55.0,,Defensive rebound by Team,9,16
46,1,6:36.0,,T. Evans misses 3-pt jump shot from 23 ft,9,16
47,1,6:35.0,Defensive rebound by C. Parsons,,9,16
48,1,6:27.0,R. Felton misses 2-pt jump shot from 15 ft,,9,16
49,1,6:26.0,Offensive rebound by C. Villanueva,,9,16
50,1,6:26.0,C. Villanueva misses 2-pt layup from 1 ft (block by Ö. Aşık),,9,16
51,1,6:24.0,Offensive rebound by J. Barea,,9,16
52,1,6:22.0,C. Villanueva misses 2-pt jump shot from 20 ft,,9,16
53,1,6:20.0,Offensive rebound by J. McGee,,9,16
54,1,6:06.0,J. Barea makes 2-pt jump shot from 12 ft,,11,16
55,1,5:39.0,,Ö. Aşık misses 2-pt jump shot from 13 ft,11,16
56,1,5:39.0,,Offensive rebound by A. Gee,11,16
57,1,5:28.0,,A. Davis misses 3-pt jump shot from 22 ft,11,16
58,1,5:27.0,,Offensive rebound by Ö. Aşık,11,16
59,1,5:25.0,Violation by J. McGee (def goaltending),,11,16
60,1,5:25.0,,Ö. Aşık makes 2-pt layup at rim,11,18
61,1,5:09.0,C. Villanueva misses 3-pt jump shot from 23 ft,,11,18
62,1,5:08.0,,Defensive rebound by A. Gee,11,18
63,1,5:05.0,,Personal foul by C. Parsons (drawn by A. Davis),11,18
64,1,5:05.0,D. Powell enters the game for J. McGee,,11,18
65,1,5:05.0,D. Harris enters the game for J. Barea,,11,18
66,1,5:05.0,J. Anderson enters the game for C. Parsons,,11,18
67,1,5:05.0,J. Evans enters the game for C. Villanueva,,11,18
68,1,5:05.0,,J. Holiday enters the game for T. Evans,11,18
69,1,5:05.0,,N. Cole enters the game for A. Gee,11,18
70,1,4:57.0,,A. Davis misses 2-pt jump shot from 15 ft,11,18
71,1,4:55.0,Defensive rebound by D. Harris,,11,18
72,1,4:39.0,J. Anderson misses 3-pt jump shot from 24 ft,,11,18
73,1,4:38.0,,Defensive rebound by Ö. Aşık,11,18
74,1,4:32.0,,J. Holiday misses 3-pt jump shot from 24 ft,11,18
75,1,4:29.0,Defensive rebound by D. Powell,,11,18
76,1,4:14.0,D. Powell makes 2-pt jump shot from 19 ft (assist by R. Felton),,13,18
77,1,4:00.0,,N. Cole misses 2-pt layup from 1 ft,13,18
78,1,4:00.0,Defensive rebound by D. Harris,,13,18
79,1,3:54.0,D. Harris makes 2-pt jump shot from 7 ft,,15,18
80,1,3:39.0,,J. Holiday misses 2-pt jump shot from 4 ft,15,18
81,1,3:38.0,Defensive rebound by R. Felton,,15,18
82,1,3:26.0,D. Powell makes 2-pt jump shot from 21 ft (assist by R. Felton),,17,18
83,1,3:19.0,,New Orleans full timeout,17,18
84,1,3:19.0,,R. Anderson enters the game for Ö. Aşık,17,18
85,1,3:07.0,,A. Davis makes 2-pt jump shot from 4 ft (assist by J. Holiday),17,20
86,1,2:46.0,D. Harris misses 2-pt jump shot from 15 ft,,17,20
87,1,2:45.0,,Defensive rebound by N. Cole,17,20
88,1,2:35.0,,E. Gordon misses 3-pt jump shot from 24 ft,17,20
89,1,2:34.0,Defensive rebound by D. Harris,,17,20
90,1,2:21.0,R. Felton misses 2-pt jump shot from 22 ft,,17,20
91,1,2:20.0,,Defensive rebound by N. Cole,17,20
92,1,2:11.0,,Personal foul by J. Evans (drawn by A. Davis),17,20
93,1,2:11.0,,A. Davis makes free throw 1 of 2,17,21
94,1,2:11.0,J. Barea enters the game for R. Felton,,17,21
95,1,2:11.0,,A. Davis makes free throw 2 of 2,17,22
96,1,2:01.0,Shooting foul by E. Gordon (drawn by D. Harris),,17,22
97,1,2:01.0,D. Harris makes free throw 1 of 2,,18,22
98,1,2:01.0,,D. Cunningham enters the game for E. Gordon,18,22
99,1,2:01.0,D. Harris misses free throw 2 of 2,,18,22
100,1,2:00.0,,Defensive rebound by J. Holiday,18,22
101,1,1:43.0,,A. Davis makes 2-pt jump shot from 7 ft,18,24
102,1,1:30.0,D. Harris makes 2-pt jump shot from 19 ft (assist by J. Barea),,20,24
103,1,1:17.0,,R. Anderson misses 3-pt jump shot from 25 ft,20,24
104,1,1:16.0,Defensive rebound by D. Powell,,20,24
105,1,1:07.0,J. Evans makes 2-pt layup from 2 ft (assist by D. Harris),,22,24
106,1,0:50.0,,Turnover by A. Davis (bad pass; steal by J. Anderson),22,24
107,1,0:46.0,Offensive foul by D. Powell (drawn by D. Cunningham),,22,24
108,1,0:46.0,Turnover by D. Powell (offensive foul),,22,24
109,1,0:31.0,,R. Anderson misses 2-pt jump shot from 15 ft,22,24
110,1,0:30.0,Defensive rebound by J. Anderson,,22,24
111,1,0:12.0,D. Powell misses 2-pt jump shot from 19 ft,,22,24
112,1,0:11.0,,Defensive rebound by R. Anderson,22,24
113,1,0:06.0,,A. Davis misses 2-pt dunk at rim,22,24
114,1,0:05.0,,Offensive rebound by N. Cole,22,24
115,1,0:02.0,,R. Anderson misses 3-pt jump shot from 25 ft,22,24
116,1,0:00.0,,Offensive rebound by Team,22,24
117,2,11:46.0,J. Evans misses 2-pt jump shot from 16 ft,,22,24
118,2,11:45.0,,Defensive rebound by J. Holiday,22,24
119,2,11:27.0,,A. Davis misses 2-pt jump shot from 7 ft,22,24
120,2,11:26.0,Defensive rebound by J. Anderson,,22,24
121,2,11:17.0,J. Barea misses 2-pt layup from 2 ft,,22,24
122,2,11:16.0,,Defensive rebound by J. Holiday,22,24
123,2,11:11.0,,A. Davis makes 2-pt jump shot from 8 ft (assist by J. Holiday),22,26
124,2,10:53.0,Shooting foul by A. Davis (drawn by D. Powell),,22,26
125,2,10:53.0,D. Powell makes free throw 1 of 2,,23,26
126,2,10:53.0,D. Powell makes free throw 2 of 2,,24,26
