,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW ORLEANS_ACTION,WASHINGTON_SCORE,NEW ORLEANS_SCORE
0,1,11:35.0,G. Temple misses 3-pt jump shot from 26 ft,,0,0
1,1,11:35.0,,Defensive rebound by A. Davis,0,0
2,1,11:16.0,,Turnover by E. Gordon (bad pass; steal by J. Dudley),0,0
3,1,11:02.0,M. Gortat makes 2-pt jump shot from 16 ft (assist by G. Temple),,2,0
4,1,10:33.0,,T. Evans misses 2-pt jump shot from 19 ft,2,0
5,1,10:33.0,Defensive rebound by O. Porter,,2,0
6,1,10:27.0,M. Gortat makes 2-pt layup at rim (assist by J. Wall),,4,0
7,1,10:09.0,,A. Davis misses 2-pt jump shot from 13 ft,4,0
8,1,10:08.0,Defensive rebound by J. Wall,,4,0
9,1,10:00.0,J. Wall makes 2-pt jump shot from 20 ft,,6,0
10,1,9:41.0,,A. Davis misses 2-pt jump shot from 8 ft,6,0
11,1,9:40.0,,Offensive rebound by A. Gee,6,0
12,1,9:34.0,,T. Evans makes 3-pt jump shot from 24 ft (assist by A. Gee),6,3
13,1,9:18.0,J. Wall misses 3-pt jump shot from 26 ft,,6,3
14,1,9:17.0,,Defensive rebound by E. Gordon,6,3
15,1,9:08.0,,E. Gordon misses 3-pt jump shot from 24 ft,6,3
16,1,9:07.0,,Offensive rebound by A. Davis,6,3
17,1,9:04.0,,A. Davis makes 2-pt jump shot from 4 ft,6,5
18,1,8:57.0,Personal block foul by A. Gee (drawn by O. Porter),,6,5
19,1,8:50.0,Turnover by J. Wall (bad pass; steal by E. Gordon),,6,5
20,1,8:43.0,,E. Gordon misses 2-pt layup from 1 ft,6,5
21,1,8:43.0,,Offensive rebound by Team,6,5
22,1,8:34.0,,T. Evans misses 2-pt jump shot from 5 ft,6,5
23,1,8:33.0,,Offensive rebound by Ö. Aşık,6,5
24,1,8:31.0,,Ö. Aşık misses 2-pt layup from 1 ft,6,5
25,1,8:30.0,,Offensive rebound by A. Davis,6,5
26,1,8:27.0,,T. Evans makes 2-pt layup from 1 ft (assist by A. Davis),6,7
27,1,8:00.0,O. Porter misses 2-pt jump shot from 21 ft,,6,7
28,1,7:59.0,,Defensive rebound by A. Gee,6,7
29,1,7:41.0,,T. Evans makes 3-pt jump shot from 25 ft,6,10
30,1,7:20.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Dudley),,9,10
31,1,7:06.0,,E. Gordon makes 2-pt jump shot from 20 ft,9,12
32,1,6:57.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,12,12
33,1,6:33.0,,E. Gordon makes 2-pt layup from 2 ft,12,14
34,1,6:22.0,J. Wall makes 2-pt jump shot from 15 ft (assist by M. Gortat),,14,14
35,1,6:05.0,,E. Gordon makes 3-pt jump shot from 25 ft,14,17
36,1,5:47.0,J. Dudley misses 2-pt jump shot from 19 ft,,14,17
37,1,5:46.0,Offensive rebound by M. Gortat,,14,17
38,1,5:46.0,M. Gortat misses 2-pt layup from 1 ft,,14,17
39,1,5:45.0,,Defensive rebound by Ö. Aşık,14,17
40,1,5:38.0,,Shooting foul by G. Temple (drawn by T. Evans),14,17
41,1,5:38.0,,New Orleans full timeout,14,17
42,1,5:38.0,,A. Ajinça enters the game for Ö. Aşık,14,17
43,1,5:38.0,,T. Evans misses free throw 1 of 2,14,17
44,1,5:38.0,,Offensive rebound by Team,14,17
45,1,5:38.0,,T. Evans makes free throw 2 of 2,14,18
46,1,5:21.0,Turnover by M. Gortat (lost ball; steal by T. Evans),,14,18
47,1,5:13.0,,Turnover by T. Evans (bad pass; steal by O. Porter),14,18
48,1,5:04.0,M. Gortat makes 2-pt jump shot from 18 ft (assist by J. Wall),,16,18
49,1,4:47.0,,A. Ajinça makes 2-pt jump shot from 19 ft (assist by T. Evans),16,20
50,1,4:37.0,O. Porter misses 3-pt jump shot from 24 ft,,16,20
51,1,4:37.0,,Defensive rebound by T. Evans,16,20
52,1,4:15.0,,E. Gordon misses 3-pt jump shot from 24 ft,16,20
53,1,4:14.0,Defensive rebound by J. Wall,,16,20
54,1,4:07.0,J. Wall misses 2-pt jump shot from 19 ft,,16,20
55,1,4:06.0,,Defensive rebound by A. Ajinça,16,20
56,1,4:01.0,,Personal foul by J. Dudley (drawn by A. Davis),16,20
57,1,4:01.0,G. Neal enters the game for G. Temple,,16,20
58,1,4:01.0,,J. Holiday enters the game for T. Evans,16,20
59,1,3:44.0,,E. Gordon misses 3-pt jump shot from 25 ft,16,20
60,1,3:43.0,Defensive rebound by O. Porter,,16,20
61,1,3:28.0,M. Gortat misses 2-pt jump shot from 6 ft,,16,20
62,1,3:27.0,,Defensive rebound by A. Ajinça,16,20
63,1,3:10.0,,Offensive foul by A. Davis (drawn by J. Dudley),16,20
64,1,3:10.0,,Turnover by A. Davis (offensive foul),16,20
65,1,3:10.0,R. Sessions enters the game for J. Dudley,,16,20
66,1,3:10.0,Washington full timeout,,16,20
67,1,2:54.0,G. Neal makes 3-pt jump shot from 23 ft (assist by M. Gortat),,19,20
68,1,2:35.0,,A. Gee misses 2-pt jump shot from 20 ft,19,20
69,1,2:35.0,Defensive rebound by G. Neal,,19,20
70,1,2:23.0,O. Porter misses 3-pt jump shot from 24 ft,,19,20
71,1,2:23.0,,Defensive rebound by A. Davis,19,20
72,1,2:14.0,,A. Davis misses 2-pt jump shot from 19 ft,19,20
73,1,2:13.0,Defensive rebound by J. Wall,,19,20
74,1,2:05.0,J. Wall makes 2-pt jump shot from 11 ft,,21,20
75,1,1:49.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by J. Holiday),21,22
76,1,1:34.0,Shooting foul by E. Gordon (drawn by R. Sessions),,21,22
77,1,1:34.0,R. Sessions makes free throw 1 of 2,,22,22
78,1,1:34.0,K. Oubre enters the game for J. Wall,,22,22
79,1,1:34.0,,N. Cole enters the game for A. Gee,22,22
80,1,1:34.0,R. Sessions makes free throw 2 of 2,,23,22
81,1,1:22.0,,A. Davis makes 2-pt jump shot from 21 ft (assist by N. Cole),23,24
82,1,1:05.0,M. Gortat misses 2-pt jump shot from 10 ft,,23,24
83,1,1:05.0,,Defensive rebound by Team,23,24
84,1,1:05.0,Loose ball foul by K. Oubre (drawn by A. Davis),,23,24
85,1,1:05.0,R. Hollins enters the game for M. Gortat,,23,24
86,1,0:58.0,,N. Cole makes 2-pt jump shot from 21 ft,23,26
87,1,0:45.0,R. Sessions makes 2-pt layup from 1 ft,,25,26
88,1,0:45.0,,Violation by A. Ajinça (def goaltending),25,26
89,1,0:27.0,,A. Ajinça misses 2-pt jump shot from 18 ft,25,26
90,1,0:26.0,Defensive rebound by Team,,25,26
91,1,0:25.0,J. Wall enters the game for K. Oubre,,25,26
92,1,0:03.0,R. Sessions makes 2-pt jump shot from 18 ft (assist by J. Wall),,27,26
93,1,0:00.0,,J. Holiday makes 3-pt jump shot from 44 ft,27,29
94,2,11:39.0,,A. Ajinça misses 2-pt jump shot from 16 ft,27,29
95,2,11:38.0,,Offensive rebound by A. Davis,27,29
96,2,11:36.0,,A. Davis makes 2-pt layup from 1 ft,27,31
97,2,11:15.0,R. Sessions misses 2-pt jump shot from 14 ft,,27,31
98,2,11:14.0,,Defensive rebound by A. Ajinça,27,31
99,2,11:08.0,,N. Cole makes 2-pt jump shot from 19 ft (assist by J. Holiday),27,33
100,2,10:44.0,R. Sessions misses 3-pt jump shot from 25 ft,,27,33
101,2,10:43.0,,Defensive rebound by I. Smith,27,33
102,2,10:35.0,,A. Ajinça misses 2-pt jump shot from 8 ft,27,33
103,2,10:34.0,,Offensive rebound by A. Ajinça,27,33
104,2,10:31.0,,A. Ajinça makes 2-pt jump shot from 12 ft,27,35
105,2,10:08.0,R. Hollins makes 2-pt jump shot from 9 ft (assist by J. Dudley),,29,35
106,2,9:58.0,,J. Holiday makes 3-pt jump shot from 25 ft,29,38
107,2,9:30.0,Turnover by Team (shot clock),,29,38
108,2,9:30.0,,D. Cunningham enters the game for A. Davis,29,38
109,2,9:15.0,,Shooting foul by K. Oubre (drawn by A. Ajinça),29,38
110,2,9:15.0,,A. Ajinça misses free throw 1 of 2,29,38
111,2,9:15.0,,Offensive rebound by Team,29,38
112,2,9:15.0,,A. Ajinça makes free throw 2 of 2,29,39
113,2,8:59.0,G. Neal misses 2-pt jump shot from 20 ft,,29,39
114,2,8:58.0,,Defensive rebound by N. Cole,29,39
115,2,8:48.0,,A. Ajinça misses 2-pt jump shot from 7 ft,29,39
116,2,8:47.0,Defensive rebound by J. Dudley,,29,39
117,2,8:41.0,R. Sessions makes 2-pt layup from 2 ft,,31,39
118,2,8:34.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by N. Cole),31,42
119,2,8:13.0,G. Neal makes 2-pt jump shot from 7 ft (assist by K. Oubre),,33,42
120,2,8:01.0,,J. Holiday makes 2-pt jump shot from 12 ft,33,44
121,2,7:52.0,Personal take foul by I. Smith (drawn by R. Sessions),,33,44
122,2,7:52.0,Official timeout,,33,44
123,2,7:52.0,M. Gortat enters the game for R. Hollins,,33,44
124,2,7:52.0,,Ö. Aşık enters the game for A. Ajinça,33,44
125,2,7:39.0,Shooting foul by J. Holiday (drawn by G. Neal),,33,44
126,2,7:39.0,G. Neal makes free throw 1 of 2,,34,44
127,2,7:39.0,G. Neal makes free throw 2 of 2,,35,44
128,2,7:30.0,,Turnover by J. Holiday (bad pass),35,44
129,2,7:30.0,,T. Evans enters the game for I. Smith,35,44
130,2,7:13.0,G. Neal misses 3-pt jump shot from 26 ft,,35,44
131,2,7:12.0,,Defensive rebound by T. Evans,35,44
132,2,7:00.0,,N. Cole misses 3-pt jump shot from 24 ft,35,44
133,2,6:59.0,Defensive rebound by Team,,35,44
134,2,6:59.0,J. Wall enters the game for R. Sessions,,35,44
135,2,6:59.0,G. Temple enters the game for G. Neal,,35,44
136,2,6:37.0,Turnover by J. Wall (bad pass; steal by D. Cunningham),,35,44
137,2,6:32.0,,N. Cole misses 2-pt jump shot from 19 ft,35,44
138,2,6:31.0,Defensive rebound by Team,,35,44
139,2,6:15.0,J. Wall makes 2-pt jump shot from 5 ft,,37,44
140,2,6:02.0,,J. Holiday misses 2-pt jump shot from 18 ft,37,44
141,2,6:01.0,Defensive rebound by M. Gortat,,37,44
142,2,5:50.0,Turnover by J. Wall (bad pass; steal by D. Cunningham),,37,44
143,2,5:38.0,,Turnover by Ö. Aşık (lost ball; steal by J. Dudley),37,44
144,2,5:24.0,,Violation by Ö. Aşık (kicked ball),37,44
145,2,5:24.0,,New Orleans full timeout,37,44
146,2,5:24.0,R. Sessions enters the game for K. Oubre,,37,44
147,2,5:24.0,,A. Ajinça enters the game for Ö. Aşık,37,44
148,2,5:24.0,,E. Gordon enters the game for N. Cole,37,44
149,2,5:14.0,J. Wall makes 2-pt jump shot from 12 ft,,39,44
150,2,4:55.0,,T. Evans makes 2-pt jump shot from 19 ft,39,46
151,2,4:46.0,Personal foul by A. Ajinça (drawn by J. Wall),,39,46
152,2,4:31.0,G. Temple makes 2-pt jump shot from 9 ft (assist by R. Sessions),,41,46
153,2,4:28.0,,Turnover by T. Evans (discontinued dribble),41,46
154,2,4:16.0,R. Sessions misses 2-pt layup from 2 ft,,41,46
155,2,4:15.0,,Defensive rebound by A. Ajinça,41,46
156,2,4:09.0,,T. Evans makes 2-pt layup at rim,41,48
157,2,3:52.0,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Wall),,44,48
158,2,3:42.0,,Personal foul by G. Temple (drawn by T. Evans),44,48
