,QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
0,1,11:50.0,Personal foul by I. Canaan (drawn by R. Neto),,0,0
1,1,11:34.0,R. Neto misses 2-pt jump shot from 3 ft (block by N. Noel),,0,0
2,1,11:34.0,Offensive rebound by Team,,0,0
3,1,11:34.0,Turnover by Team (shot clock),,0,0
4,1,11:19.0,,Turnover by I. Canaan (bad pass; steal by D. Favors),0,0
5,1,11:16.0,Personal foul by J. Sampson (drawn by R. Hood),,0,0
6,1,11:16.0,R. Hood makes free throw 1 of 2,,1,0
7,1,11:16.0,R. Hood makes free throw 2 of 2,,2,0
8,1,10:57.0,,J. Okafor misses 2-pt jump shot from 5 ft,2,0
9,1,10:56.0,Defensive rebound by D. Favors,,2,0
10,1,10:43.0,Shooting foul by H. Thompson (drawn by G. Hayward),,2,0
11,1,10:43.0,G. Hayward makes free throw 1 of 2,,3,0
12,1,10:43.0,G. Hayward makes free throw 2 of 2,,4,0
13,1,10:27.0,,I. Canaan makes 3-pt jump shot from 26 ft,4,3
14,1,10:08.0,Shooting foul by H. Thompson (drawn by D. Favors),,4,3
15,1,10:08.0,D. Favors makes free throw 1 of 2,,5,3
16,1,10:08.0,D. Favors makes free throw 2 of 2,,6,3
17,1,9:50.0,,J. Sampson makes 2-pt layup from 2 ft (assist by N. Noel),6,5
18,1,9:39.0,R. Gobert misses 2-pt jump shot from 8 ft,,6,5
19,1,9:38.0,Offensive rebound by D. Favors,,6,5
20,1,9:32.0,D. Favors misses 2-pt jump shot from 14 ft,,6,5
21,1,9:31.0,,Defensive rebound by J. Sampson,6,5
22,1,9:20.0,,N. Noel misses 2-pt hook shot from 7 ft,6,5
23,1,9:19.0,Defensive rebound by D. Favors,,6,5
24,1,9:10.0,G. Hayward misses 3-pt jump shot from 24 ft,,6,5
25,1,9:08.0,,Defensive rebound by I. Canaan,6,5
26,1,9:01.0,,Personal block foul by R. Hood (drawn by J. Sampson),6,5
27,1,8:52.0,,Shooting foul by R. Hood (drawn by J. Sampson),6,5
28,1,8:52.0,,J. Sampson misses free throw 1 of 2,6,5
29,1,8:52.0,,Offensive rebound by Team,6,5
30,1,8:52.0,E. Millsap enters the game for R. Hood,,6,5
31,1,8:52.0,,J. Sampson makes free throw 2 of 2,6,6
32,1,8:42.0,G. Hayward misses 2-pt jump shot from 18 ft,,6,6
33,1,8:40.0,,Defensive rebound by N. Noel,6,6
34,1,8:32.0,,N. Noel misses 2-pt dunk at rim,6,6
35,1,8:30.0,Defensive rebound by G. Hayward,,6,6
36,1,8:22.0,D. Favors misses 2-pt jump shot from 11 ft,,6,6
37,1,8:20.0,,Defensive rebound by J. Sampson,6,6
38,1,8:03.0,,J. Okafor misses 2-pt jump shot from 4 ft (block by D. Favors),6,6
39,1,8:03.0,,Offensive rebound by Team,6,6
40,1,8:03.0,,N. Stauskas enters the game for H. Thompson,6,6
41,1,7:59.0,,Shooting foul by R. Neto (drawn by I. Canaan),6,6
42,1,7:59.0,,I. Canaan misses free throw 1 of 3,6,6
43,1,7:59.0,,Offensive rebound by Team,6,6
44,1,7:59.0,,I. Canaan misses free throw 2 of 3,6,6
45,1,7:59.0,,Offensive rebound by Team,6,6
46,1,7:59.0,,I. Canaan makes free throw 3 of 3,6,7
47,1,7:43.0,R. Neto makes 3-pt jump shot from 26 ft (assist by G. Hayward),,9,7
48,1,7:26.0,,J. Okafor makes 2-pt jump shot from 20 ft (assist by I. Canaan),9,9
49,1,7:08.0,D. Favors makes 2-pt layup from 1 ft,,11,9
50,1,6:40.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by N. Noel),11,12
51,1,6:20.0,G. Hayward makes 2-pt layup from 1 ft,,13,12
52,1,6:10.0,,Turnover by N. Noel (bad pass),13,12
53,1,6:10.0,A. Burks enters the game for E. Millsap,,13,12
54,1,6:10.0,,J. Grant enters the game for N. Noel,13,12
55,1,5:57.0,R. Neto misses 2-pt jump shot from 4 ft (block by J. Grant),,13,12
56,1,5:55.0,Offensive rebound by G. Hayward,,13,12
57,1,5:50.0,G. Hayward misses 2-pt jump shot from 22 ft,,13,12
58,1,5:49.0,,Defensive rebound by I. Canaan,13,12
59,1,5:46.0,,Turnover by I. Canaan (bad pass),13,12
60,1,5:46.0,,Philadelphia full timeout,13,12
