,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,,Turnover by N. Noel (lost ball; steal by E. Payton),0,0
1,1,11:36.0,V. Oladipo misses 2-pt jump shot from 5 ft (block by T. McConnell),,0,0
2,1,11:34.0,,Defensive rebound by N. Noel,0,0
3,1,11:26.0,,Personal foul by D. Dedmon (drawn by J. Okafor),0,0
4,1,11:15.0,,Shooting foul by T. Harris (drawn by J. Grant),0,0
5,1,11:15.0,,J. Grant makes 2-pt layup from 2 ft (assist by J. Okafor),0,2
6,1,11:15.0,,J. Grant makes free throw 1 of 1,0,3
7,1,11:04.0,T. Harris misses 2-pt jump shot from 17 ft,,0,3
8,1,11:03.0,,Defensive rebound by J. Grant,0,3
9,1,10:52.0,,N. Stauskas misses 2-pt layup from 2 ft,0,3
10,1,10:51.0,,Offensive rebound by N. Noel,0,3
11,1,10:46.0,,N. Stauskas misses 3-pt jump shot from 23 ft,0,3
12,1,10:42.0,Defensive rebound by D. Dedmon,,0,3
13,1,10:42.0,Turnover by E. Payton (bad pass; steal by T. McConnell),,0,3
14,1,10:34.0,,J. Okafor makes 2-pt dunk at rim (assist by T. McConnell),0,5
15,1,10:17.0,E. Fournier misses 2-pt jump shot from 5 ft (block by J. Okafor),,0,5
16,1,10:13.0,,Defensive rebound by J. Okafor,0,5
17,1,10:02.0,,Turnover by T. McConnell (bad pass; steal by T. Harris),0,5
18,1,9:56.0,T. Harris makes 2-pt layup at rim,,2,5
19,1,9:39.0,,J. Okafor misses 2-pt layup from 1 ft,2,5
20,1,9:38.0,Defensive rebound by T. Harris,,2,5
21,1,9:31.0,E. Payton makes 2-pt jump shot from 11 ft (assist by T. Harris),,4,5
22,1,9:12.0,,J. Okafor makes 2-pt hook shot from 3 ft,4,7
23,1,8:57.0,E. Payton misses 2-pt jump shot from 10 ft,,4,7
24,1,8:56.0,,Defensive rebound by N. Noel,4,7
25,1,8:41.0,,J. Okafor makes 2-pt layup at rim,4,9
26,1,8:25.0,T. Harris misses 3-pt jump shot from 26 ft,,4,9
27,1,8:24.0,,Defensive rebound by T. McConnell,4,9
28,1,8:14.0,,N. Stauskas makes 2-pt dunk at rim (assist by T. McConnell),4,11
29,1,7:57.0,V. Oladipo misses 2-pt jump shot from 20 ft,,4,11
30,1,7:56.0,,Defensive rebound by N. Noel,4,11
31,1,7:49.0,,T. McConnell makes 2-pt layup from 1 ft,4,13
32,1,7:43.0,,R. Holmes enters the game for J. Okafor,4,13
33,1,7:43.0,,J. Sampson enters the game for J. Grant,4,13
34,1,7:33.0,E. Payton makes 2-pt jump shot from 7 ft (assist by T. Harris),,6,13
35,1,7:09.0,,Turnover by N. Noel (bad pass; steal by E. Payton),6,13
36,1,7:03.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by E. Payton),,9,13
37,1,6:40.0,,R. Holmes makes 2-pt dunk at rim (assist by N. Stauskas),9,15
38,1,6:17.0,T. Harris makes 2-pt jump shot from 16 ft,,11,15
39,1,6:17.0,,Philadelphia full timeout,11,15
40,1,6:17.0,J. Smith enters the game for D. Dedmon,,11,15
41,1,6:17.0,,Philadelphia full timeout,11,15
42,1,5:54.0,,N. Stauskas misses 3-pt jump shot from 28 ft,11,15
43,1,5:52.0,Defensive rebound by T. Harris,,11,15
44,1,5:46.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by E. Payton),,14,15
45,1,5:25.0,,N. Noel makes 2-pt hook shot from 7 ft (assist by T. McConnell),14,17
46,1,5:11.0,Turnover by E. Fournier (bad pass; steal by T. McConnell),,14,17
47,1,5:05.0,,N. Stauskas misses 3-pt jump shot from 24 ft,14,17
48,1,5:02.0,Defensive rebound by J. Smith,,14,17
49,1,4:51.0,J. Smith makes 2-pt jump shot from 18 ft (assist by V. Oladipo),,16,17
50,1,4:43.0,,Personal foul by E. Payton (drawn by T. McConnell),16,17
51,1,4:43.0,,J. Okafor enters the game for N. Noel,16,17
52,1,4:43.0,M. Hezonja enters the game for E. Fournier,,16,17
53,1,4:43.0,A. Gordon enters the game for T. Harris,,16,17
54,1,4:43.0,,P. Pressey enters the game for T. McConnell,16,17
55,1,4:43.0,,H. Thompson enters the game for N. Stauskas,16,17
56,1,4:29.0,,H. Thompson misses 2-pt jump shot from 7 ft,16,17
57,1,4:25.0,Offensive rebound by Team,,16,17
