,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
0,1,11:46.0,,I. Mahinmi misses 2-pt layup from 1 ft,0,0
1,1,11:46.0,Defensive rebound by T. Mozgov,,0,0
2,1,11:33.0,K. Love misses 3-pt jump shot from 26 ft,,0,0
3,1,11:32.0,,Defensive rebound by I. Mahinmi,0,0
4,1,11:20.0,,L. Allen misses 2-pt hook shot from 7 ft,0,0
5,1,11:18.0,,Offensive rebound by G. Hill,0,0
6,1,11:18.0,,G. Hill misses 2-pt layup from 1 ft,0,0
7,1,11:17.0,,Offensive rebound by G. Hill,0,0
8,1,11:17.0,,G. Hill makes 2-pt layup from 1 ft,0,2
9,1,11:02.0,K. Love makes 2-pt jump shot from 18 ft (assist by K. Irving),,2,2
10,1,10:48.0,,M. Ellis makes 3-pt jump shot from 25 ft (assist by G. Hill),2,5
11,1,10:25.0,K. Love makes 2-pt jump shot from 18 ft (assist by K. Irving),,4,5
12,1,10:14.0,,G. Hill makes 2-pt jump shot from 9 ft,4,7
13,1,9:51.0,Shooting foul by I. Mahinmi (drawn by T. Mozgov),,4,7
14,1,9:51.0,T. Mozgov makes free throw 1 of 2,,5,7
15,1,9:51.0,T. Mozgov makes free throw 2 of 2,,6,7
16,1,9:31.0,,L. Allen makes 2-pt layup from 2 ft (assist by M. Ellis),6,9
17,1,9:17.0,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),,9,9
18,1,9:06.0,,Shooting block foul by T. Mozgov (drawn by I. Mahinmi),9,9
19,1,9:06.0,,I. Mahinmi makes free throw 1 of 2,9,10
20,1,9:06.0,,I. Mahinmi misses free throw 2 of 2,9,10
21,1,9:06.0,Defensive rebound by K. Love,,9,10
22,1,8:53.0,J. Smith makes 2-pt jump shot from 17 ft,,11,10
23,1,8:37.0,,P. George misses 3-pt jump shot from 22 ft,11,10
24,1,8:36.0,,Offensive rebound by I. Mahinmi,11,10
25,1,8:36.0,,I. Mahinmi makes 2-pt layup from 1 ft,11,12
26,1,8:27.0,Turnover by K. Irving (step out of bounds),,11,12
27,1,8:14.0,,P. George makes 2-pt jump shot from 4 ft,11,14
28,1,7:57.0,K. Love misses 2-pt jump shot from 14 ft,,11,14
29,1,7:56.0,Offensive rebound by T. Mozgov,,11,14
30,1,7:45.0,Shooting foul by I. Mahinmi (drawn by K. Love),,11,14
31,1,7:45.0,K. Love makes free throw 1 of 2,,12,14
32,1,7:45.0,,M. Turner enters the game for I. Mahinmi,12,14
33,1,7:45.0,K. Love makes free throw 2 of 2,,13,14
34,1,7:31.0,,P. George makes 2-pt jump shot from 18 ft,13,16
35,1,7:19.0,Shooting foul by M. Turner (drawn by K. Love),,13,16
36,1,7:19.0,K. Love makes free throw 1 of 2,,14,16
37,1,7:19.0,K. Love makes free throw 2 of 2,,15,16
38,1,7:04.0,,P. George makes 2-pt jump shot from 18 ft,15,18
39,1,6:38.0,K. Love makes 3-pt jump shot from 26 ft (assist by K. Irving),,18,18
40,1,6:22.0,,Shooting foul by K. Love (drawn by M. Ellis),18,18
41,1,6:22.0,,M. Ellis misses free throw 1 of 2,18,18
42,1,6:22.0,,Offensive rebound by Team,18,18
43,1,6:22.0,,S. Hill enters the game for L. Allen,18,18
44,1,6:22.0,,M. Ellis makes free throw 2 of 2,18,19
45,1,6:08.0,Shooting foul by M. Turner (drawn by T. Mozgov),,18,19
46,1,6:08.0,T. Mozgov makes free throw 1 of 2,,19,19
47,1,6:08.0,,L. Allen enters the game for M. Turner,19,19
48,1,6:08.0,T. Mozgov makes free throw 2 of 2,,20,19
49,1,5:53.0,,Turnover by M. Ellis (bad pass; steal by I. Shumpert),20,19
50,1,5:48.0,Turnover by I. Shumpert (bad pass; steal by G. Hill),,20,19
51,1,5:42.0,,Shooting foul by T. Mozgov (drawn by L. Allen),20,19
52,1,5:42.0,,Indiana full timeout,20,19
53,1,5:42.0,T. Thompson enters the game for T. Mozgov,,20,19
54,1,5:42.0,,L. Allen makes free throw 1 of 2,20,20
55,1,5:42.0,,L. Allen misses free throw 2 of 2,20,20
56,1,5:42.0,Defensive rebound by T. Thompson,,20,20
57,1,5:22.0,K. Love misses 2-pt jump shot from 13 ft,,20,20
58,1,5:21.0,,Defensive rebound by G. Hill,20,20
59,1,5:12.0,,P. George misses 3-pt jump shot from 25 ft,20,20
60,1,5:11.0,Defensive rebound by I. Shumpert,,20,20
61,1,5:05.0,K. Irving misses 2-pt layup at rim,,20,20
62,1,5:04.0,,Defensive rebound by P. George,20,20
63,1,4:52.0,,P. George misses 2-pt layup from 2 ft (block by K. Irving),20,20
64,1,4:51.0,Defensive rebound by K. Love,,20,20
65,1,4:38.0,Turnover by K. Love (bad pass; steal by M. Ellis),,20,20
66,1,4:32.0,,M. Ellis makes 2-pt layup at rim,20,22
67,1,4:32.0,,Shooting foul by J. Smith (drawn by M. Ellis),20,22
68,1,4:32.0,C. Frye enters the game for K. Love,,20,22
69,1,4:32.0,,M. Ellis makes free throw 1 of 1,20,23
70,1,4:18.0,T. Thompson makes 2-pt jump shot from 4 ft (assist by K. Irving),,22,23
71,1,3:59.0,,S. Hill makes 2-pt jump shot from 16 ft (assist by G. Hill),22,25
72,1,3:38.0,J. Smith makes 2-pt jump shot from 18 ft,,24,25
73,1,3:24.0,,P. George makes 2-pt jump shot from 5 ft,24,27
74,1,3:24.0,,Shooting foul by T. Thompson (drawn by P. George),24,27
75,1,3:24.0,M. Dellavedova enters the game for I. Shumpert,,24,27
76,1,3:24.0,,R. Stuckey enters the game for M. Ellis,24,27
77,1,3:24.0,,P. George makes free throw 1 of 1,24,28
78,1,3:07.0,Turnover by T. Thompson (lost ball; steal by P. George),,24,28
79,1,3:05.0,,Shooting foul by C. Frye (drawn by P. George),24,28
80,1,3:05.0,,P. George makes free throw 1 of 2,24,29
81,1,3:05.0,,P. George makes free throw 2 of 2,24,30
