,QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
0,1,11:43.0,,D. DeRozan misses 2-pt jump shot from 19 ft,0,0
1,1,11:43.0,,Offensive rebound by D. DeRozan,0,0
2,1,11:34.0,,Turnover by K. Lowry (bad pass),0,0
3,1,11:12.0,J. Teague makes 2-pt jump shot from 16 ft,,2,0
4,1,11:00.0,,Personal foul by P. Millsap,2,0
5,1,10:47.0,,K. Lowry misses 2-pt layup from 3 ft,2,0
6,1,10:46.0,Defensive rebound by J. Teague,,2,0
7,1,10:34.0,Turnover by P. Millsap (lost ball; steal by K. Lowry),,2,0
8,1,10:28.0,,N. Powell misses 2-pt jump shot from 14 ft,2,0
9,1,10:28.0,Defensive rebound by A. Horford,,2,0
10,1,10:19.0,P. Millsap misses 3-pt jump shot from 24 ft,,2,0
11,1,10:18.0,,Defensive rebound by K. Lowry,2,0
12,1,10:10.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by K. Lowry),2,2
13,1,9:53.0,J. Teague misses 2-pt jump shot from 8 ft,,2,2
14,1,9:52.0,,Defensive rebound by K. Lowry,2,2
15,1,9:40.0,,J. Valančiūnas misses 2-pt jump shot from 4 ft,2,2
16,1,9:38.0,,Offensive rebound by J. Thompson,2,2
17,1,9:36.0,,J. Thompson makes 2-pt layup from 2 ft,2,4
18,1,9:24.0,Personal foul by N. Powell,,2,4
19,1,9:12.0,A. Horford misses 2-pt jump shot from 3 ft (block by J. Thompson),,2,4
20,1,9:10.0,,Defensive rebound by K. Lowry,2,4
21,1,9:04.0,,J. Valančiūnas makes 2-pt jump shot from 1 ft (assist by K. Lowry),2,6
22,1,8:51.0,K. Korver misses 2-pt jump shot from 17 ft,,2,6
23,1,8:50.0,,Defensive rebound by J. Valančiūnas,2,6
24,1,8:39.0,,J. Valančiūnas makes 2-pt jump shot from 19 ft (assist by K. Lowry),2,8
25,1,8:19.0,J. Teague makes 2-pt jump shot from 9 ft,,4,8
26,1,7:53.0,,D. DeRozan makes 2-pt jump shot from 5 ft (assist by K. Lowry),4,10
27,1,7:38.0,A. Horford makes 2-pt jump shot from 13 ft (assist by J. Teague),,6,10
28,1,7:19.0,,J. Thompson misses 2-pt jump shot from 13 ft,6,10
29,1,7:19.0,Defensive rebound by P. Millsap,,6,10
30,1,7:11.0,J. Teague makes 2-pt layup at rim,,8,10
31,1,6:51.0,,Turnover by K. Lowry (lost ball),8,10
32,1,6:37.0,P. Millsap makes 3-pt jump shot from 22 ft (assist by A. Horford),,11,10
33,1,6:25.0,,Personal foul by K. Bazemore,11,10
34,1,6:16.0,,K. Lowry misses 2-pt jump shot from 7 ft,11,10
35,1,6:15.0,Defensive rebound by P. Millsap,,11,10
36,1,6:08.0,Turnover by J. Teague (lost ball; steal by N. Powell),,11,10
37,1,5:53.0,,J. Thompson misses 2-pt jump shot from 4 ft,11,10
38,1,5:53.0,Defensive rebound by A. Horford,,11,10
39,1,5:45.0,P. Millsap misses 3-pt jump shot from 26 ft,,11,10
40,1,5:45.0,Offensive rebound by J. Teague,,11,10
41,1,5:29.0,K. Bazemore misses 3-pt jump shot from 25 ft,,11,10
42,1,5:29.0,,Defensive rebound by J. Valančiūnas,11,10
43,1,5:15.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by K. Lowry),11,12
44,1,5:15.0,Atlanta full timeout,,11,12
45,1,5:15.0,T. Hardaway enters the game for K. Bazemore,,11,12
46,1,5:15.0,K. Humphries enters the game for A. Horford,,11,12
47,1,5:15.0,T. Sefolosha enters the game for K. Korver,,11,12
48,1,4:59.0,Turnover by P. Millsap (bad pass; steal by D. DeRozan),,11,12
49,1,4:46.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft (assist by D. DeRozan),11,14
50,1,4:42.0,Turnover by P. Millsap (bad pass; steal by K. Lowry),,11,14
51,1,4:30.0,,K. Lowry misses 2-pt layup from 2 ft (block by P. Millsap),11,14
52,1,4:26.0,Defensive rebound by T. Hardaway,,11,14
53,1,4:22.0,T. Hardaway misses 2-pt layup from 2 ft,,11,14
54,1,4:21.0,,Defensive rebound by J. Thompson,11,14
55,1,4:08.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,11,16
56,1,3:56.0,Personal foul by J. Thompson,,11,16
57,1,3:56.0,D. Schröder enters the game for J. Teague,,11,16
58,1,3:56.0,,P. Patterson enters the game for J. Thompson,11,16
59,1,3:56.0,,C. Joseph enters the game for K. Lowry,11,16
60,1,3:50.0,K. Humphries makes 3-pt jump shot from 26 ft (assist by D. Schröder),,14,16
61,1,3:31.0,,Turnover by N. Powell (traveling),14,16
62,1,3:31.0,M. Scott enters the game for P. Millsap,,14,16
63,1,3:13.0,Turnover by K. Humphries (lost ball; steal by J. Valančiūnas),,14,16
64,1,2:53.0,,N. Powell misses 3-pt jump shot from 23 ft,14,16
65,1,2:52.0,Defensive rebound by K. Humphries,,14,16
66,1,2:41.0,Personal foul by N. Powell,,14,16
67,1,2:41.0,,Toronto full timeout,14,16
68,1,2:41.0,,B. Biyombo enters the game for N. Powell,14,16
69,1,2:41.0,,T. Ross enters the game for J. Valančiūnas,14,16
70,1,2:30.0,K. Humphries misses 3-pt jump shot from 24 ft,,14,16
71,1,2:29.0,,Defensive rebound by P. Patterson,14,16
72,1,2:10.0,,Flagrant foul type 1 by K. Humphries,14,16
73,1,2:10.0,,D. DeRozan misses flagrant free throw 1 of 2,14,16
74,1,2:10.0,,Offensive rebound by Team,14,16
75,1,2:10.0,,D. DeRozan makes flagrant free throw 2 of 2,14,17
76,1,2:02.0,,D. DeRozan misses 2-pt jump shot from 18 ft,14,17
77,1,2:01.0,,Offensive rebound by B. Biyombo,14,17
78,1,1:50.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by D. DeRozan),14,20
79,1,1:37.0,M. Scott makes 3-pt jump shot from 25 ft (assist by T. Sefolosha),,17,20
