,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,HOUSTON_ACTION,BROOKLYN_SCORE,HOUSTON_SCORE
0,1,11:45.0,,T. Ariza misses 3-pt jump shot from 23 ft,0,0
1,1,11:44.0,Defensive rebound by J. Johnson,,0,0
2,1,11:25.0,B. Lopez misses 2-pt jump shot from 4 ft (block by M. Thornton),,0,0
3,1,11:21.0,,Defensive rebound by D. Howard,0,0
4,1,11:15.0,,J. Harden misses 3-pt jump shot from 25 ft,0,0
5,1,11:14.0,Defensive rebound by J. Jack,,0,0
6,1,10:52.0,B. Lopez misses 2-pt jump shot from 9 ft (block by D. Howard),,0,0
7,1,10:50.0,Offensive rebound by B. Lopez,,0,0
8,1,10:48.0,B. Lopez makes 2-pt jump shot from 8 ft,,2,0
9,1,10:39.0,,M. Thornton misses 3-pt jump shot from 24 ft,2,0
10,1,10:38.0,Defensive rebound by B. Lopez,,2,0
11,1,10:26.0,R. Hollis-Jefferson misses 2-pt jump shot from 18 ft,,2,0
12,1,10:25.0,,Defensive rebound by D. Howard,2,0
13,1,10:20.0,,J. Harden misses 2-pt jump shot from 4 ft (block by R. Hollis-Jefferson),2,0
14,1,10:20.0,,Offensive rebound by Team,2,0
15,1,10:13.0,,T. Lawson misses 3-pt jump shot from 25 ft,2,0
16,1,10:12.0,Defensive rebound by J. Jack,,2,0
17,1,10:01.0,Shooting foul by J. Harden (drawn by T. Young),,2,0
18,1,10:01.0,T. Young makes free throw 1 of 2,,3,0
19,1,10:01.0,T. Young makes free throw 2 of 2,,4,0
20,1,9:42.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by M. Thornton),4,3
21,1,9:35.0,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Thornton),,4,3
22,1,9:24.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),4,5
23,1,9:10.0,Turnover by T. Young (lost ball; steal by J. Harden),,4,5
24,1,8:57.0,,T. Lawson misses 3-pt jump shot from 25 ft,4,5
25,1,8:57.0,,Offensive rebound by Team,4,5
26,1,8:57.0,Loose ball foul by B. Lopez (drawn by D. Howard),,4,5
27,1,8:49.0,,Turnover by J. Harden (bad pass; steal by R. Hollis-Jefferson),4,5
28,1,8:37.0,B. Lopez makes 2-pt jump shot from 19 ft,,6,5
29,1,8:18.0,,D. Howard makes 2-pt dunk at rim (assist by M. Thornton),6,7
