,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
0,1,11:41.0,,G. Temple misses 3-pt jump shot from 26 ft,0,0
1,1,11:40.0,,Offensive rebound by Team,0,0
2,1,11:30.0,,J. Wall misses 2-pt jump shot from 17 ft,0,0
3,1,11:29.0,Defensive rebound by C. Paul,,0,0
4,1,11:20.0,J. Redick misses 3-pt jump shot from 25 ft,,0,0
5,1,11:19.0,,Defensive rebound by M. Gortat,0,0
6,1,11:11.0,,K. Oubre misses 2-pt layup from 1 ft (block by L. Mbah a Moute),0,0
7,1,11:10.0,Defensive rebound by J. Redick,,0,0
8,1,10:57.0,C. Paul makes 2-pt jump shot from 17 ft,,2,0
9,1,10:41.0,,Personal foul by L. Mbah a Moute (drawn by G. Temple),2,0
10,1,10:35.0,,G. Temple misses 2-pt jump shot from 20 ft,2,0
11,1,10:34.0,Defensive rebound by D. Jordan,,2,0
12,1,10:14.0,D. Jordan makes 2-pt layup from 2 ft (assist by C. Paul),,4,0
13,1,10:09.0,,Turnover by J. Wall (bad pass),4,0
14,1,9:47.0,P. Pierce makes 2-pt jump shot from 17 ft,,6,0
15,1,9:29.0,,M. Gortat makes 2-pt jump shot from 14 ft (assist by J. Wall),6,2
16,1,9:19.0,Personal foul by G. Temple (drawn by J. Redick),,6,2
17,1,9:13.0,C. Paul misses 2-pt jump shot from 18 ft,,6,2
18,1,9:11.0,Offensive rebound by Team,,6,2
19,1,8:59.0,J. Redick misses 3-pt jump shot from 27 ft,,6,2
20,1,8:58.0,,Defensive rebound by K. Oubre,6,2
21,1,8:49.0,,J. Wall misses 2-pt jump shot from 18 ft,6,2
22,1,8:48.0,Defensive rebound by P. Pierce,,6,2
23,1,8:42.0,C. Paul misses 2-pt jump shot from 17 ft,,6,2
24,1,8:40.0,Offensive rebound by C. Paul,,6,2
25,1,8:34.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,8,2
26,1,8:18.0,,J. Dudley misses 2-pt jump shot from 17 ft,8,2
27,1,8:17.0,,Offensive rebound by J. Wall,8,2
28,1,8:06.0,,J. Dudley misses 3-pt jump shot from 25 ft,8,2
29,1,8:05.0,Defensive rebound by C. Paul,,8,2
30,1,7:49.0,Def 3 sec tech foul by M. Gortat,,8,2
31,1,7:49.0,C. Paul makes technical free throw,,9,2
32,1,7:42.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,11,2
33,1,7:37.0,,Washington full timeout,11,2
34,1,7:16.0,,K. Oubre misses 3-pt jump shot from 25 ft,11,2
35,1,7:15.0,Defensive rebound by D. Jordan,,11,2
36,1,6:58.0,J. Redick makes 2-pt jump shot from 16 ft,,13,2
37,1,6:41.0,,M. Gortat makes 2-pt hook shot from 4 ft (assist by G. Temple),13,4
38,1,6:31.0,W. Johnson enters the game for P. Pierce,,13,4
39,1,6:31.0,,O. Porter enters the game for K. Oubre,13,4
40,1,6:23.0,W. Johnson makes 3-pt jump shot from 26 ft (assist by C. Paul),,16,4
41,1,6:06.0,,M. Gortat makes 2-pt jump shot from 10 ft (assist by O. Porter),16,6
42,1,5:48.0,C. Paul makes 3-pt jump shot from 27 ft,,19,6
43,1,5:37.0,,M. Gortat misses 2-pt jump shot from 16 ft,19,6
44,1,5:36.0,Defensive rebound by D. Jordan,,19,6
