,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
0,1,11:41.0,,Turnover by K. Porziņģis (lost ball; steal by J. Parker),0,0
1,1,11:38.0,Shooting foul by A. Afflalo (drawn by K. Middleton),,0,0
2,1,11:38.0,K. Middleton misses free throw 1 of 2,,0,0
3,1,11:38.0,Offensive rebound by Team,,0,0
4,1,11:38.0,K. Middleton misses free throw 2 of 2,,0,0
5,1,11:36.0,Offensive rebound by J. Parker,,0,0
6,1,11:24.0,J. Parker makes 2-pt jump shot from 20 ft (assist by M. Carter-Williams),,2,0
7,1,10:58.0,,R. Lopez misses 2-pt hook shot from 5 ft,2,0
8,1,10:57.0,Defensive rebound by G. Antetokounmpo,,2,0
9,1,10:52.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,2,0
10,1,10:50.0,Offensive rebound by G. Monroe,,2,0
11,1,10:50.0,G. Monroe makes 2-pt layup at rim,,4,0
12,1,10:44.0,,New York full timeout,4,0
13,1,10:38.0,,A. Afflalo misses 3-pt jump shot from 23 ft,4,0
14,1,10:35.0,Defensive rebound by M. Carter-Williams,,4,0
15,1,10:25.0,K. Middleton makes 2-pt jump shot from 18 ft,,6,0
16,1,10:06.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,6,0
17,1,10:05.0,,Offensive rebound by C. Anthony,6,0
18,1,10:04.0,,Personal foul by M. Carter-Williams (drawn by C. Anthony),6,0
19,1,9:55.0,,A. Afflalo makes 2-pt jump shot from 17 ft,6,2
20,1,9:43.0,M. Carter-Williams makes 2-pt layup from 1 ft,,8,2
21,1,9:29.0,,A. Afflalo misses 2-pt jump shot from 13 ft,8,2
22,1,9:27.0,Defensive rebound by G. Monroe,,8,2
23,1,9:19.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,8,2
24,1,9:17.0,,Defensive rebound by Team,8,2
25,1,8:55.0,,A. Afflalo misses 3-pt jump shot from 26 ft,8,2
26,1,8:53.0,Defensive rebound by G. Antetokounmpo,,8,2
27,1,8:44.0,Turnover by M. Carter-Williams (traveling),,8,2
28,1,8:22.0,,R. Lopez misses 2-pt jump shot from 20 ft,8,2
29,1,8:20.0,Defensive rebound by G. Antetokounmpo,,8,2
30,1,8:12.0,J. Parker makes 2-pt jump shot from 13 ft (assist by G. Antetokounmpo),,10,2
31,1,7:59.0,,A. Afflalo makes 2-pt dunk at rim (assist by J. Calderón),10,4
32,1,7:37.0,Turnover by G. Monroe (traveling),,10,4
33,1,7:37.0,,L. Thomas enters the game for K. Porziņģis,10,4
34,1,7:25.0,,C. Anthony makes 2-pt jump shot from 14 ft (assist by R. Lopez),10,6
35,1,7:11.0,J. Parker makes 2-pt jump shot from 19 ft (assist by M. Carter-Williams),,12,6
36,1,6:52.0,,Turnover by R. Lopez (lost ball; steal by M. Carter-Williams),12,6
37,1,6:46.0,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),,14,6
38,1,6:35.0,,C. Anthony makes 2-pt layup from 2 ft,14,8
39,1,6:35.0,,Shooting foul by G. Monroe (drawn by C. Anthony),14,8
40,1,6:35.0,J. Henson enters the game for G. Monroe,,14,8
41,1,6:35.0,,C. Anthony makes free throw 1 of 1,14,9
42,1,6:22.0,J. Parker misses 2-pt jump shot from 19 ft,,14,9
43,1,6:20.0,,Defensive rebound by R. Lopez,14,9
44,1,6:11.0,,Shooting foul by J. Henson (drawn by R. Lopez),14,9
45,1,6:11.0,,R. Lopez makes free throw 1 of 2,14,10
46,1,6:11.0,,R. Lopez makes free throw 2 of 2,14,11
47,1,6:03.0,K. Middleton makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),,16,11
48,1,5:46.0,,New York full timeout,16,11
49,1,5:46.0,R. Vaughn enters the game for G. Antetokounmpo,,16,11
50,1,5:39.0,,L. Thomas misses 2-pt layup from 2 ft (block by J. Parker),16,11
51,1,5:38.0,,Offensive rebound by R. Lopez,16,11
52,1,5:37.0,,R. Lopez makes 2-pt layup from 1 ft,16,13
53,1,5:37.0,,Shooting foul by J. Parker (drawn by R. Lopez),16,13
54,1,5:37.0,,R. Lopez makes free throw 1 of 1,16,14
55,1,5:26.0,K. Middleton misses 2-pt jump shot from 13 ft,,16,14
56,1,5:25.0,Offensive rebound by J. Parker,,16,14
57,1,5:10.0,J. Henson misses 2-pt layup from 2 ft (block by R. Lopez),,16,14
58,1,5:08.0,,Defensive rebound by C. Anthony,16,14
59,1,4:46.0,,C. Anthony misses 3-pt jump shot from 23 ft,16,14
60,1,4:44.0,Defensive rebound by M. Carter-Williams,,16,14
61,1,4:34.0,Turnover by M. Carter-Williams (lost ball; steal by J. Calderón),,16,14
62,1,4:29.0,,L. Thomas makes 2-pt layup from 2 ft (assist by J. Calderón),16,16
63,1,4:19.0,K. Middleton makes 2-pt jump shot from 8 ft,,18,16
64,1,4:03.0,,A. Afflalo misses 2-pt jump shot from 17 ft,18,16
65,1,4:01.0,,Offensive rebound by R. Lopez,18,16
66,1,4:00.0,,R. Lopez misses 2-pt layup from 1 ft (block by J. Henson),18,16
67,1,3:59.0,,Offensive rebound by C. Anthony,18,16
68,1,3:58.0,,C. Anthony makes 2-pt layup from 1 ft,18,18
69,1,3:44.0,Turnover by K. Middleton (bad pass; steal by J. Calderón),,18,18
70,1,3:38.0,,J. Calderón makes 2-pt layup from 1 ft,18,20
71,1,3:34.0,Milwaukee full timeout,,18,20
