,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
134,2,8:35.0,A. Bargnani makes 2-pt jump shot from 13 ft,,34,34
135,2,8:23.0,,Personal foul by T. Robinson (drawn by E. Freedom),34,34
136,2,8:23.0,Official timeout,,34,34
137,2,8:13.0,,Turnover by A. Morrow (lost ball; steal by T. Robinson),34,34
138,2,8:07.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,34,34
139,2,8:07.0,,Defensive rebound by N. Collison,34,34
140,2,7:52.0,,E. Freedom makes 2-pt layup from 2 ft (assist by N. Collison),34,36
141,2,7:38.0,T. Robinson makes 2-pt layup from 1 ft (assist by S. Larkin),,36,36
142,2,7:19.0,,A. Morrow misses 2-pt jump shot from 15 ft,36,36
143,2,7:18.0,Defensive rebound by A. Bargnani,,36,36
144,2,7:02.0,A. Bargnani makes 2-pt jump shot from 9 ft (assist by W. Ellington),,38,36
145,2,6:40.0,,D. Augustin makes 3-pt jump shot from 22 ft (assist by D. Waiters),38,39
146,2,6:19.0,A. Bargnani misses 3-pt jump shot from 24 ft,,38,39
147,2,6:18.0,,Defensive rebound by D. Waiters,38,39
148,2,6:08.0,,D. Waiters makes 2-pt jump shot from 8 ft,38,41
149,2,5:48.0,W. Ellington misses 2-pt jump shot from 16 ft,,38,41
150,2,5:47.0,,Defensive rebound by N. Collison,38,41
151,2,5:39.0,,Turnover by E. Freedom (lost ball; steal by W. Ellington),38,41
152,2,5:29.0,A. Bargnani makes 2-pt jump shot from 12 ft (assist by S. Larkin),,40,41
153,2,5:08.0,,D. Waiters misses 3-pt jump shot from 23 ft,40,41
154,2,5:07.0,Defensive rebound by T. Robinson,,40,41
155,2,5:02.0,S. Larkin makes 2-pt layup from 1 ft,,42,41
156,2,5:02.0,Shooting foul by D. Augustin (drawn by S. Larkin),,42,41
157,2,5:02.0,,Oklahoma City full timeout,42,41
158,2,5:02.0,,R. Westbrook enters the game for D. Waiters,42,41
159,2,5:02.0,,K. Durant enters the game for D. Augustin,42,41
160,2,5:02.0,B. Lopez enters the game for W. Ellington,,42,41
161,2,5:02.0,J. Johnson enters the game for T. Robinson,,42,41
162,2,5:02.0,S. Larkin misses free throw 1 of 1,,42,41
163,2,5:01.0,Offensive rebound by B. Lopez,,42,41
164,2,4:49.0,S. Larkin misses 2-pt jump shot from 9 ft,,42,41
165,2,4:49.0,,Defensive rebound by E. Freedom,42,41
166,2,4:43.0,,R. Westbrook makes 2-pt layup from 2 ft,42,43
167,2,4:35.0,J. Johnson misses 3-pt jump shot from 23 ft,,42,43
168,2,4:34.0,,Defensive rebound by A. Morrow,42,43
169,2,4:16.0,,R. Westbrook makes 2-pt dunk at rim,42,45
170,2,3:54.0,B. Bogdanović misses 2-pt jump shot from 9 ft (block by K. Durant),,42,45
171,2,3:53.0,Offensive rebound by B. Bogdanović,,42,45
172,2,3:48.0,B. Bogdanović makes 2-pt hook shot from 5 ft,,44,45
173,2,3:37.0,,Turnover by K. Durant (lost ball),44,45
174,2,3:37.0,J. Jack enters the game for B. Bogdanović,,44,45
175,2,3:37.0,T. Young enters the game for S. Larkin,,44,45
176,2,3:37.0,R. Hollis-Jefferson enters the game for A. Bargnani,,44,45
177,2,3:37.0,,S. Ibaka enters the game for E. Freedom,44,45
178,2,3:37.0,,S. Adams enters the game for N. Collison,44,45
179,2,3:18.0,T. Young makes 2-pt jump shot from 4 ft,,46,45
180,2,3:04.0,,A. Morrow makes 3-pt jump shot from 22 ft (assist by K. Durant),46,48
181,2,2:51.0,B. Lopez misses 2-pt jump shot from 13 ft,,46,48
182,2,2:51.0,,Defensive rebound by K. Durant,46,48
183,2,2:39.0,,S. Adams misses 2-pt hook shot from 7 ft,46,48
